NOMBRE_COMPLETO,NOMBRE_BREVE,LOCALIDAD,PROVINCIA,clave_normalizada
"Agrupación Musical Nuestro Padre Jesús de la Salud de Cádiz","AM Nuestro Padre Jesús de la Salud",Cádiz,Cádiz,"agrupacion musical nuestro padre jesus de la salud de cadiz"
"Agrupación Musical Ecce Mater de Cádiz","AM Ecce Mater",Cádiz,Cádiz,"agrupacion musical ecce mater de cadiz"
"Agrupación Musical Polillas de Cádiz","AM Polillas (Cádiz)",Cádiz,Cádiz,"agrupacion musical polillas de cadiz"
"Banda de Cornetas y Tambores Esencia de Sevilla","BCT Esencia (Sevilla)",Sevilla,Sevilla,"banda de cornetas y tambores esencia de sevilla"
"Banda de Cornetas y Tambores Santa Cruz de Almería","BCT Santa Cruz",Almería,Almería,"banda de cornetas y tambores santa cruz de almeria"
"Banda de Cornetas y Tambores Santísimo Cristo de la Columna – Los Coloraos – de Daimiel","BCT Santísimo Cristo de la Columna Los Coloraos",Daimiel,"Ciudad Real","banda de cornetas y tambores santisimo cristo de la columna los coloraos de daimiel"
"Banda de Cornetas y Tambores La Unión de Baena","BCT La Unión",Baena,Córdoba,"banda de cornetas y tambores la union de baena"
"Agrupación Musical Nuestro Padre Jesús Nazareno de Campo de Criptana","AM Nuestro Padre Jesús Nazareno","Campo de Criptana","Ciudad Real","agrupacion musical nuestro padre jesus nazareno de campo de criptana"
"Banda de Cornetas y Tambores Nuestra Señora del Rosario de Arriate","BCT Nuestra Señora del Rosario",Arriate,Málaga,"banda de cornetas y tambores nuestra senora del rosario de arriate"
"Banda de Cornetas y Tambores Vera-Cruz de Utrera","BCT Vera Cruz",Utrera,Sevilla,"banda de cornetas y tambores vera cruz de utrera"
"Banda de Cornetas y Tambores Nuestra Señora del Rosario Coronada de Cádiz","BCT Nuestra Señora del Rosario Coronada",Cádiz,Cádiz,"banda de cornetas y tambores nuestra senora del rosario coronada de cadiz"
"Banda de Cornetas y Tambores Nuestro Padre Jesús de la Columna y María Santísima de la O – Los Gitanos – de Málaga","BCT Nuestro Padre Jesús de la Columna y María Santísima de la O Los Gitanos",Málaga,Málaga,"banda de cornetas y tambores nuestro padre jesus de la columna y maria santisima de la o los gitanos de malaga"
"Agrupación Musical Virgen de la Oliva de Vejer de la Frontera","AM Virgen de la Oliva","Vejer de la Frontera",Cádiz,"agrupacion musical virgen de la oliva de vejer de la frontera"
"Banda de Cornetas y Tambores Santísima Trinidad de Palencia","BCT Santísima Trinidad",Palencia,Palencia,"banda de cornetas y tambores santisima trinidad de palencia"
"Banda de Cornetas y Tambores Santísimo Cristo de la Elevación de Campo de Criptana","BCT Santísimo Cristo de la Elevación","Campo de Criptana","Ciudad Real","banda de cornetas y tambores santisimo cristo de la elevacion de campo de criptana"
"Agrupación Musical Jesús Cautivo de Estepona","AM Jesús Cautivo",Estepona,Málaga,"agrupacion musical jesus cautivo de estepona"
