NOMBRE_COMPLETO,NOMBRE_BREVE,LOCALIDAD,PROVINCIA,clave_normalizada
"Banda de Cornetas y Tambores Nuestro Padre Jesús Despojado de sus Vestiduras de Granada","BCT Nuestro Padre Jesús Despojado de sus Vestiduras",Granada,Granada,"banda de cornetas y tambores nuestro padre jesus despojado de sus vestiduras de granada"
"Agrupación Musical María Santísima de la Estrella de Granada","AM María Santísima de la Estrella",Granada,Granada,"agrupacion musical maria santisima de la estrella de granada"
"Banda de Cornetas y Tambores María Santísima de la Victoria de Granada","BCT María Santísima de la Victoria",Granada,Granada,"banda de cornetas y tambores maria santisima de la victoria de granada"
"Agrupación Musical Virgen de la Cabeza de Exfiliana","AM Virgen de la Cabeza de Exfiliana","Valle del Zalabí",Granada,"agrupacion musical virgen de la cabeza de exfiliana"
"Agrupación Musical del Dulce Nombre de Jesús de Granada","AM del Dulce Nombre de Jesús",Granada,Granada,"agrupacion musical del dulce nombre de jesus de granada"
"Agrupación Musical Santa María de la Paz de El Ejido","AM Santa María de la Paz","Ejido (El)",Almería,"agrupacion musical santa maria de la paz de el ejido"
"Agrupación Musical Nuestro Padre Jesús del Rescate de Granada","AM Nuestro Padre Jesús del Rescate",Granada,Granada,"agrupacion musical nuestro padre jesus del rescate de granada"
"Banda de Cornetas y Tambores Nuestro Padre Jesús del Gran Poder de Granada","BCT Nuestro Padre Jesús del Gran Poder",Granada,Granada,"banda de cornetas y tambores nuestro padre jesus del gran poder de granada"
"Banda de Cornetas y Tambores Fe y Consuelo de Martos","BCT Fe y Consuelo",Martos,Jaén,"banda de cornetas y tambores fe y consuelo de martos"
"Agrupación Musical Nuestra Señora de las Angustias de Alcalá la Real","AM Nuestra Señora de las Angustias","Alcalá la Real",Jaén,"agrupacion musical nuestra senora de las angustias de alcala la real"
"Agrupación Musical Santa Cecilia de Aguilar de la Frontera","AM Santa Cecilia","Aguilar de la Frontera",Córdoba,"agrupacion musical santa cecilia de aguilar de la frontera"
"Agrupación Musical Nuestro Padre Jesús de la Pasión de Linares","AM Nuestro Padre Jesús de la Pasión",Linares,Jaén,"agrupacion musical nuestro padre jesus de la pasion de linares"
"Agrupación Musical Jesús Despojado de Jaén","AM Jesús Despojado",Jaén,Jaén,"agrupacion musical jesus despojado de jaen"
