NOMBRE_COMPLETO,NOMBRE_BREVE,LOCALIDAD,PROVINCIA,clave_normalizada
"Agrupación Musical Santa Cruz de Huelva","AM Santa Cruz",Huelva,Huelva,"agrupacion musical santa cruz de huelva"
"Banda de Cornetas y Tambores Santísimo Cristo de la Expiración – Salud y Esperanza – de Huelva","BCT Santísimo Cristo de la Expiración Salud y Esperanza",Huelva,Huelva,"banda de cornetas y tambores santisimo cristo de la expiracion salud y esperanza de huelva"
"Agrupación Musical Santísimo Cristo del Amor – La Cena – de Huelva","AM Santísimo Cristo del Amor La Cena",Huelva,Huelva,"agrupacion musical santisimo cristo del amor la cena de huelva"
"Banda de Cornetas y Tambores Jesús Nazareno de Huelva","BCT Jesús Nazareno",Huelva,Huelva,"banda de cornetas y tambores jesus nazareno de huelva"
"Banda de Cornetas y Tambores Santísimo Cristo de la Victoria de León","BCT Santísimo Cristo de la Victoria",León,León,"banda de cornetas y tambores santisimo cristo de la victoria de leon"
"Agrupación Musical Nuestro Padre Jesús de los Afligidos de Puente Genil","AM Nuestro Padre Jesús de los Afligidos","Puente Genil",Córdoba,"agrupacion musical nuestro padre jesus de los afligidos de puente genil"
"Agrupación Musical Nuestro Padre Jesús de la Salud – Los Gitanos – de Sevilla","AM Nuestro Padre Jesús de la Salud Los Gitanos",Sevilla,Sevilla,"agrupacion musical nuestro padre jesus de la salud los gitanos de sevilla"
"Banda de Cornetas y Tambores Santa María de la Granada de Moguer","BCT Santa María de la Granada",Moguer,Huelva,"banda de cornetas y tambores santa maria de la granada de moguer"
"Banda de Cornetas y Tambores Santísimo Cristo de la Vera-Cruz de Los Palacios y Villafranca","BCT Santísimo Cristo de la Vera Cruz","Palacios y Villafranca (Los)",Sevilla,"banda de cornetas y tambores santisimo cristo de la vera cruz de los palacios y villafranca"
"Banda de Cornetas y Tambores Nuestra Señora del Sol de Sevilla","BCT Nuestra Señora del Sol",Sevilla,Sevilla,"banda de cornetas y tambores nuestra senora del sol de sevilla"
