NOMBRE_COMPLETO,NOMBRE_BREVE,LOCALIDAD,PROVINCIA,clave_normalizada
"Banda de Cornetas y Tambores Paso y Esperanza de Málaga","BCT Paso y Esperanza",Málaga,Málaga,"banda de cornetas y tambores paso y esperanza de malaga"
"Banda de Cornetas y Tambores Nuestra Señora del Carmen de Málaga","BCT Nuestra Señora del Carmen (Málaga)",Málaga,Málaga,"banda de cornetas y tambores nuestra senora del carmen de malaga"
"Banda de Cornetas y Tambores Nuestro Padre Jesús Cautivo de Málaga","BCT Nuestro Padre Jesús Cautivo",Málaga,Málaga,"banda de cornetas y tambores nuestro padre jesus cautivo de malaga"
"Banda de Cornetas y Tambores Nuestro Padre Jesús Nazareno de Almogía","BCT Nuestro Padre Jesús Nazareno (Almogía)",Almogía,Málaga,"banda de cornetas y tambores nuestro padre jesus nazareno de almogia"
"Banda de Cornetas y Tambores del Real Cuerpo de Bomberos de Málaga","BCT Real Cuerpo de Bomberos",Málaga,Málaga,"banda de cornetas y tambores del real cuerpo de bomberos de malaga"
"Agrupación Musical Santísimo Cristo de la Vera Cruz de Campillos","AM Santísimo Cristo de la Vera Cruz",Campillos,Málaga,"agrupacion musical santisimo cristo de la vera cruz de campillos"
"Agrupación Musical San Lorenzo Mártir de Málaga","AM San Lorenzo Mártir",Málaga,Málaga,"agrupacion musical san lorenzo martir de malaga"
"Agrupación Musical de las Reales Cofradías Fusionadas de San Juan de Málaga","AM Reales Cofradías Fusionadas de San Juan",Málaga,Málaga,"agrupacion musical de las reales cofradias fusionadas de san juan de malaga"
"Banda de Cornetas y Tambores Lágrimas de Dolores de Churriana","BCT Lágrimas de Dolores (Churriana)",Málaga,Málaga,"banda de cornetas y tambores lagrimas de dolores de churriana"
"Agrupación Musical Nuestra Señora del Mar de Huércal de Almería","AM Nuestra Señora del Mar","Huércal de Almería",Almería,"agrupacion musical nuestra senora del mar de huercal de almeria"
"Banda de Cornetas y Tambores Monte Calvario de Martos","BCT Monte Calvario",Martos,Jaén,"banda de cornetas y tambores monte calvario de martos"
"Agrupación Musical Nuestro Padre Jesús Nazareno de La Roda de Andalucía","AM Nuestro Padre Jesús Nazareno (La Roda de Andalucía)","Roda de Andalucía (La)",Sevilla,"agrupacion musical nuestro padre jesus nazareno de la roda de andalucia"
"Agrupación Musical Lágrimas de Dolores de San Fernando","AM Lágrimas de Dolores","San Fernando",Cádiz,"agrupacion musical lagrimas de dolores de san fernando"
"Agrupación Musical Virgen de Gracia de Archidona","AM Virgen de Gracia",Archidona,Málaga,"agrupacion musical virgen de gracia de archidona"
"Banda de Cornetas y Tambores Flor entre Espinas de Loja","BCT Flor entre Espinas",Loja,Granada,"banda de cornetas y tambores flor entre espinas de loja"
"Banda de Cornetas y Tambores Dolores Coronada de Álora","BCT Dolores Coronada",Álora,Málaga,"banda de cornetas y tambores dolores coronada de alora"
"Banda de Cornetas y Tambores Suspiros de Pasión de Alameda","BCT Suspiros de Pasión",Alameda,Málaga,"banda de cornetas y tambores suspiros de pasion de alameda"
"Agrupación Musical Sagrada Resurrección de Sanlúcar de Barrameda","AM Sagrada Resurrección","Sanlúcar de Barrameda",Cádiz,"agrupacion musical sagrada resurreccion de sanlucar de barrameda"
"Banda de Cornetas y Tambores Vera-Cruz de Almogía","BCT Vera-Cruz (Almogía)",Almogía,Málaga,"banda de cornetas y tambores vera cruz de almogia"
"Banda de Cornetas y Tambores Coronación de Campillos","BCT Coronación",Campillos,Málaga,"banda de cornetas y tambores coronacion de campillos"
"Agrupación Musical Nuestra Señora de la Estrella de Dos Hermanas","AM Nuestra Señora de la Estrella","Dos Hermanas",Sevilla,"agrupacion musical nuestra senora de la estrella de dos hermanas"
