clave_normalizada,id,nombre_breve,estado
"banda de cornetas y tambores paso y esperanza de malaga",332,"BCT Paso y Esperanza",creada
"banda de cornetas y tambores nuestra senora del carmen de malaga",333,"BCT Nuestra Señora del Carmen (Málaga)",creada
"banda de cornetas y tambores nuestro padre jesus cautivo de malaga",334,"BCT Nuestro Padre Jesús Cautivo",creada
"banda de cornetas y tambores nuestro padre jesus nazareno de almogia",335,"BCT Nuestro Padre Jesús Nazareno (Almogía)",creada
"banda de cornetas y tambores del real cuerpo de bomberos de malaga",336,"BCT Real Cuerpo de Bomberos",creada
"agrupacion musical santisimo cristo de la vera cruz de campillos",337,"AM Santísimo Cristo de la Vera Cruz",creada
"agrupacion musical san lorenzo martir de malaga",338,"AM San Lorenzo Mártir",creada
"agrupacion musical de las reales cofradias fusionadas de san juan de malaga",339,"AM Reales Cofradías Fusionadas de San Juan",creada
"banda de cornetas y tambores lagrimas de dolores de churriana",340,"BCT Lágrimas de Dolores (Churriana)",creada
"agrupacion musical nuestra senora del mar de huercal de almeria",341,"AM Nuestra Señora del Mar",creada
"banda de cornetas y tambores monte calvario de martos",342,"BCT Monte Calvario",creada
"agrupacion musical nuestro padre jesus nazareno de la roda de andalucia",343,"AM Nuestro Padre Jesús Nazareno (La Roda de Andalucía)",creada
"agrupacion musical lagrimas de dolores de san fernando",344,"AM Lágrimas de Dolores",creada
"agrupacion musical virgen de gracia de archidona",345,"AM Virgen de Gracia",creada
"banda de cornetas y tambores flor entre espinas de loja",346,"BCT Flor entre Espinas",creada
"banda de cornetas y tambores dolores coronada de alora",347,"BCT Dolores Coronada",creada
"banda de cornetas y tambores suspiros de pasion de alameda",348,"BCT Suspiros de Pasión",creada
"agrupacion musical sagrada resurreccion de sanlucar de barrameda",349,"AM Sagrada Resurrección",creada
"banda de cornetas y tambores vera cruz de almogia",350,"BCT Vera-Cruz (Almogía)",creada
"banda de cornetas y tambores coronacion de campillos",351,"BCT Coronación",creada
"agrupacion musical nuestra senora de la estrella de dos hermanas",352,"AM Nuestra Señora de la Estrella",creada
