NOMBRE_COMPLETO,NOMBRE_BREVE,LOCALIDAD,PROVINCIA,clave_normalizada
"Agrupación Musical Bentomiz de Arenas","AM Bentomiz",Arenas,Málaga,"agrupacion musical bentomiz de arenas"
"Agrupación Musical El Carpio","AM El Carpio","Carpio (El)",Córdoba,"agrupacion musical el carpio"
"Agrupación Musical Jesús Despojado de Jaén","AM Jesús Despojado (Jaén)",Jaén,Jaén,"agrupacion musical jesus despojado de jaen"
"Agrupación Musical Nuestra Señora del Mar de Huércal de Almería","AM Nuestra Señora del Mar","Huércal de Almería",Almería,"agrupacion musical nuestra senora del mar de huercal de almeria"
"Agrupación Musical Nuestro Padre Jesús de la Piedad en su Presentación al Pueblo – La Estrella – de Jaén","AM La Estrella (Jaén)",Jaén,Jaén,"agrupacion musical nuestro padre jesus de la piedad en su presentacion al pueblo la estrella de jaen"
"Agrupación Musical Santísimo Cristo de Gracia de Córdoba","AM Cristo de Gracia",Córdoba,Córdoba,"agrupacion musical santisimo cristo de gracia de cordoba"
"Agrupación Musical Santísimo Cristo de la Salud de Alcalá la Real","AM Cristo de la Salud","Alcalá la Real",Jaén,"agrupacion musical santisimo cristo de la salud de alcala la real"
"Agrupación Musical Villa de Mancha Real","AM Villa de Mancha Real","Mancha Real",Jaén,"agrupacion musical villa de mancha real"
"Agrupación Musical Virgen de la Cabeza de Exfiliana","AM Virgen de la Cabeza",Exfiliana,Granada,"agrupacion musical virgen de la cabeza de exfiliana"
"Agrupación Musical del Dulce Nombre de Jesús de Granada","AM Dulce Nombre de Jesús (Granada)",Granada,Granada,"agrupacion musical del dulce nombre de jesus de granada"
"Asociación Cultural Musical Lázaro Rueda de Los Villares","ACM Lázaro Rueda","Villares (Los)",Jaén,"asociacion cultural musical lazaro rueda de los villares"
"Asociación Musical Blanco Nájera de Jaén","AM Blanco Nájera",Jaén,Jaén,"asociacion musical blanco najera de jaen"
"Asociación Musical El Castillo de Serón","AM El Castillo",Serón,Almería,"asociacion musical el castillo de seron"
"Asociación Musical Pedro Morales de Lopera","AM Pedro Morales",Lopera,Jaén,"asociacion musical pedro morales de lopera"
"Asociación Musical de Pitres","AM Pitres",Pitres,Granada,"asociacion musical de pitres"
"Asociación Musical-Cultural Maestro Miguel de Villargordo","AMC Maestro Miguel",Villargordo,Jaén,"asociacion musical cultural maestro miguel de villargordo"
"Asociación Músico Cultural La Mezquita de Alboloduy","AMC La Mezquita",Alboloduy,Almería,"asociacion musico cultural la mezquita de alboloduy"
"Asociación Músico-Cultural Sebastián Valero de Huelma","AMC Sebastián Valero",Huelma,Jaén,"asociacion musico cultural sebastian valero de huelma"
"Banda Municipal de Música Santa Cecilia de Arjonilla","BM Santa Cecilia (Arjonilla)",Arjonilla,Jaén,"banda municipal de musica santa cecilia de arjonilla"
"Banda Municipal de Música de Albox","BM Albox",Albox,Almería,"banda municipal de musica de albox"
"Banda Municipal de Música de Almería","BM Municipal de Almería",Almería,Almería,"banda municipal de musica de almeria"
"Banda Municipal de Música de Berja","BM Berja",Berja,Almería,"banda municipal de musica de berja"
"Banda Municipal de Música de Jaén","BM Municipal de Jaén",Jaén,Jaén,"banda municipal de musica de jaen"
"Banda Municipal de Música de Paterna del Campo","BM Paterna del Campo","Paterna del Campo",Huelva,"banda municipal de musica de paterna del campo"
"Banda Sinfónica Ciudad de Jaén","BS Ciudad de Jaén",Jaén,Jaén,"banda sinfonica ciudad de jaen"
"Banda Sinfónica de la Asociación Cultural de Níjar","BS Níjar",Níjar,Almería,"banda sinfonica de la asociacion cultural de nijar"
"Banda de Cornetas y Tambores Fe y Consuelo de Martos","BCT Fe y Consuelo",Martos,Jaén,"banda de cornetas y tambores fe y consuelo de martos"
"Banda de Cornetas y Tambores Maestro Valero de Aguilar de la Frontera","BCT Maestro Valero","Aguilar de la Frontera",Córdoba,"banda de cornetas y tambores maestro valero de aguilar de la frontera"
"Banda de Cornetas y Tambores María Santísima de la Victoria de Granada","BCT Victoria (Granada)",Granada,Granada,"banda de cornetas y tambores maria santisima de la victoria de granada"
"Banda de Cornetas y Tambores María Santísima de las Penas de Úbeda","BCT Penas (Úbeda)",Úbeda,Jaén,"banda de cornetas y tambores maria santisima de las penas de ubeda"
