ID_BANDA,BANDA,CLAVE_BANDA,HERMANDAD,TITULAR,ANIO,FUENTE,NOTA,LOCALIDAD
,Agrupación Musical Polillas,agrupacion musical polillas,La Merced,Paso de Misterio,2023,semanasantacadiz.com,,Cadiz
,Agrupación Musical La Salud (Cadiz),agrupacion musical la salud cadiz,La Borriquita,Paso de Misterio,2023,semanasantacadiz.com,,Cadiz
,Banda de Cornetas y Tambores Santa Cruz (Almeria),banda de cornetas y tambores santa cruz almeria,Despojado,Paso de Misterio,2023,semanasantacadiz.com,,Cadiz
,Banda de Cornetas y Tambores Santo Cristo de la Columna (Daimiel),banda de cornetas y tambores santo cristo de la columna daimiel,Despojado,Paso de Misterio,2023,semanasantacadiz.com,,Cadiz
,Banda de Cornetas y Tambores La Union (Baena),banda de cornetas y tambores la union baena,Las Penas,Paso de Misterio,2023,semanasantacadiz.com,,Cadiz
,Agrupación Musical Polillas (Cadiz),agrupacion musical polillas cadiz,Sagrada Cena,Paso de Misterio,2023,semanasantacadiz.com,,Cadiz
,Banda de Cornetas y Tambores Nuestra Senora del Rosario (Arriate),banda de cornetas y tambores nuestra senora del rosario arriate,Humildad y Paciencia,Paso de Misterio,2023,semanasantacadiz.com,,Cadiz
,Banda de Cornetas y Tambores Veracruz (Utrera),banda de cornetas y tambores veracruz utrera,La Palma,Paso de Misterio,2023,semanasantacadiz.com,,Cadiz
,Agrupación Musical La Salud (Cadiz),agrupacion musical la salud cadiz,Prendimiento,Paso de Misterio,2023,semanasantacadiz.com,,Cadiz
,Agrupación Musical Nuestra Senora de la Encarnacion de San Benito (Sevilla),agrupacion musical nuestra senora de la encarnacion de san benito sevilla,Nazareno del Amor,Paso de Misterio,2023,semanasantacadiz.com,,Cadiz
,Banda de Cornetas y Tambores Rosario de Cadiz,banda de cornetas y tambores rosario de cadiz,Columna,Paso de Misterio,2023,semanasantacadiz.com,,Cadiz
,Agrupación Musical Virgen de la Oliva (Vejer),agrupacion musical virgen de la oliva vejer,Caido,Paso de Misterio,2023,semanasantacadiz.com,,Cadiz
,Banda de Cornetas y Tambores Los Gitanos (Malaga),banda de cornetas y tambores los gitanos malaga,Ecce Homo,Paso de Cristo,2023,semanasantacadiz.com,,Cadiz
,Banda de Cornetas y Tambores La Humildad de Huelva,banda de cornetas y tambores la humildad de huelva,Piedad,Paso de Misterio,2023,semanasantacadiz.com,,Cadiz
,Banda de Cornetas y Tambores Rosario (Arriate),banda de cornetas y tambores rosario arriate,Las Aguas,Paso de Misterio,2023,semanasantacadiz.com,,Cadiz
,Agrupación Musical Sagrada Resurreccion (Chiclana),agrupacion musical sagrada resurreccion chiclana,Las Aguas,Paso de Palio,2023,semanasantacadiz.com,,Cadiz
,Agrupación Musical La Salud (Cadiz),agrupacion musical la salud cadiz,Las Cigarreras,Paso de Misterio,2023,semanasantacadiz.com,,Cadiz
,Banda de Cornetas y Tambores Jesus Nazareno (Huelva),banda de cornetas y tambores jesus nazareno huelva,Sentencia,Paso de Misterio,2023,semanasantacadiz.com,,Cadiz
,Agrupación Musical Jesus Cautivo (Estepona),agrupacion musical jesus cautivo estepona,El Nazareno,Paso de Cristo,2023,semanasantacadiz.com,,Cadiz
,Agrupación Musical Polillas (Cadiz),agrupacion musical polillas cadiz,El Perdon,Paso de Misterio,2023,semanasantacadiz.com,,Cadiz
,Agrupación Musical La Salud (Cadiz),agrupacion musical la salud cadiz,Siete Palabras,Paso de Misterio,2023,semanasantacadiz.com,,Cadiz
,Agrupación Musical Santa Cruz (Huelva),agrupacion musical santa cruz huelva,Expiracion,Paso de Misterio,2023,semanasantacadiz.com,,Cadiz
,Agrupación Musical Ecce Mater Tua,agrupacion musical ecce mater tua,El Resucitado,Paso de Misterio,2023,semanasantacadiz.com,,Cadiz
