ID_BANDA,BANDA,CLAVE_BANDA,HERMANDAD,TITULAR,ANIO,FUENTE,NOTA,LOCALIDAD
,Agrupación Musical Nuestro Padre Jesús de la Redención de Córdoba,agrupacion musical nuestro padre jesus de la redencion de cordoba,Presentación al Pueblo,Jesús de los Afligidos,2023,Paso a Paso (Canal Sur) Cordoba 2023,,Córdoba
,Agrupación Musical de Dos Torres,agrupacion musical de dos torres,Sangre,Jesús de la Sangre,2023,Paso a Paso (Canal Sur) Cordoba 2023,,Córdoba
,Banda de Cornetas y Tambores Nuestro Padre Jesús Caído y Nuestra Señora de la Fuensanta,banda de cornetas y tambores nuestro padre jesus caido y nuestra senora de la fuensanta,Entrada Triunfal,El Señor de los Reyes,2023,Paso a Paso (Canal Sur) Cordoba 2023,,Córdoba
,Agrupación Musical Santa Cecilia (Aguilar de la Frontera),agrupacion musical santa cecilia aguilar de la frontera,Penas de Santiago,Cristo de las Penas,2023,Paso a Paso (Canal Sur) Cordoba 2023,,Córdoba
,Banda de Cornetas y Tambores Coronación de Espinas,banda de cornetas y tambores coronacion de espinas,Rescatado,El Rescatado,2023,Paso a Paso (Canal Sur) Cordoba 2023,,Córdoba
,Agrupación Musical Nuestro Padre Jesús de la Pasión de Linares,agrupacion musical nuestro padre jesus de la pasion de linares,Esperanza,Jesús de las Penas,2023,Paso a Paso (Canal Sur) Cordoba 2023,,Córdoba
,Banda de Cornetas y Tambores Nuestra Señora de la Salud en el Silencio,banda de cornetas y tambores nuestra senora de la salud en el silencio,Amor,Jesús del Silencio,2023,Paso a Paso (Canal Sur) Cordoba 2023,,Córdoba
,"Banda de Cornetas y Tambores Maestro Valero, de Aguilar de la Frontera",banda de cornetas y tambores maestro valero de aguilar de la frontera,Amor,Jesús del Silencio,2023,Paso a Paso (Canal Sur) Cordoba 2023,,Córdoba
,Agrupación Musical Nuestro Padre Jesús de la Redención,agrupacion musical nuestro padre jesus de la redencion,Huerto,La Oración en el Huerto,2023,Paso a Paso (Canal Sur) Cordoba 2023,,Córdoba
,Banda de Cornetas y Tambores Coronación de Espinas,banda de cornetas y tambores coronacion de espinas,Merced,Jesús Humilde,2023,Paso a Paso (Canal Sur) Cordoba 2023,,Córdoba
,Agrupación Musical Nuestro Padre Jesús de la Redención,agrupacion musical nuestro padre jesus de la redencion,Redención,La Redención,2023,Paso a Paso (Canal Sur) Cordoba 2023,,Córdoba
,Banda de Cornetas y Tambores de Nuestra Señora del Rosario de Linares,banda de cornetas y tambores de nuestra senora del rosario de linares,Vera Cruz,Cristo del Amor,2023,Paso a Paso (Canal Sur) Cordoba 2023,,Córdoba
,Banda de Cornetas y Tambores Santísimo Cristo de la Victoria (León),banda de cornetas y tambores santisimo cristo de la victoria leon,Sentencia,La Sentencia,2023,Paso a Paso (Canal Sur) Cordoba 2023,,Córdoba
,Banda de Cornetas y Tambores Nuestra Señora de la Salud,banda de cornetas y tambores nuestra senora de la salud,Agonía,Cristo de la Agonía,2023,Paso a Paso (Canal Sur) Cordoba 2023,,Córdoba
,Banda de Cornetas y Tambores Nuestro Padre Jesús Cautivo (Málaga),banda de cornetas y tambores nuestro padre jesus cautivo malaga,Sangre,Jesús de la Sangre,2023,Paso a Paso (Canal Sur) Cordoba 2023,,Córdoba
,Banda de Cornetas y Tambores Monte Calvario (Martos),banda de cornetas y tambores monte calvario martos,Buen Suceso,Jesús del Buen Suceso,2023,Paso a Paso (Canal Sur) Cordoba 2023,,Córdoba
,Agrupación Musical Nuestro Padre Jesús de la Pasión (Linares),agrupacion musical nuestro padre jesus de la pasion linares,Santa Faz,La Santa Faz,2023,Paso a Paso (Canal Sur) Cordoba 2023,,Córdoba
,Agrupación Musical Santísimo Cristo de Gracia,agrupacion musical santisimo cristo de gracia,Prendimiento,El Prendimiento,2023,Paso a Paso (Canal Sur) Cordoba 2023,,Córdoba
,Banda de Cornetas y Tambores Coronación de Espinas,banda de cornetas y tambores coronacion de espinas,Perdón,El Perdón,2023,Paso a Paso (Canal Sur) Cordoba 2023,,Córdoba
,Banda de Cornetas y Tambores Nuestro Padre Jesús Nazareno (El Arahal),banda de cornetas y tambores nuestro padre jesus nazareno el arahal,Calvario,El Calvario,2023,Paso a Paso (Canal Sur) Cordoba 2023,,Córdoba
,Banda de Cornetas y Tambores Nuestra Señora de la Salud,banda de cornetas y tambores nuestra senora de la salud,Paz y Esperanza,Jesús de la Humildad y Paciencia,2023,Paso a Paso (Canal Sur) Cordoba 2023,,Córdoba
,Banda de Cornetas y Tambores Nuestro Padre Jesús Caído y Nuestra Señora de la Fuensanta,banda de cornetas y tambores nuestro padre jesus caido y nuestra senora de la fuensanta,Misericordia,Cristo de la Misericordia,2023,Paso a Paso (Canal Sur) Cordoba 2023,,Córdoba
,Agrupación Musical Santo Tomás de Villanueva (Ciudad Real),agrupacion musical santo tomas de villanueva ciudad real,Pasión,Jesús de la Pasión,2023,Paso a Paso (Canal Sur) Cordoba 2023,,Córdoba
,Agrupación Musical Santísimo Cristo de la Bondad de Alcalá de Guadaíra,agrupacion musical santisimo cristo de la bondad de alcala de guadaira,Piedad,Cristo de la Piedad,2023,Paso a Paso (Canal Sur) Cordoba 2023,,Córdoba
,Banda de Cornetas y Tambores Coronación de Espinas,banda de cornetas y tambores coronacion de espinas,Caridad,Cristo de la Caridad,2023,Paso a Paso (Canal Sur) Cordoba 2023,,Córdoba
,Banda de Cornetas y Tambores Caído y Fuensanta,banda de cornetas y tambores caido y fuensanta,Caído,Jesús Caído,2023,Paso a Paso (Canal Sur) Cordoba 2023,,Córdoba
,Agrupación Musical Nuestro Padre Jesús de la Fe en su Sagrada Cena,agrupacion musical nuestro padre jesus de la fe en su sagrada cena,Sagrada Cena,Jesús de la Fe,2023,Paso a Paso (Canal Sur) Cordoba 2023,,Córdoba
,Agrupación Musical Santísimo Cristo de Gracia,agrupacion musical santisimo cristo de gracia,Cristo de Gracia,Cristo de Gracia,2023,Paso a Paso (Canal Sur) Cordoba 2023,,Córdoba
,Banda de Cornetas y tambores Caído y Fuensanta,banda de cornetas y tambores caido y fuensanta,Descendimiento,Cristo del Descendimiento,2023,Paso a Paso (Canal Sur) Cordoba 2023,,Córdoba
,Agrupación Musical Nuestro Padre Jesús de la Redención,agrupacion musical nuestro padre jesus de la redencion,Conversión,Cristo de la Conversión,2023,Paso a Paso (Canal Sur) Cordoba 2023,,Córdoba
,Banda de Cornetas y Tambores de la Coronación de Espinas,banda de cornetas y tambores de la coronacion de espinas,Dolores,Cristo de la Clemencia,2023,Paso a Paso (Canal Sur) Cordoba 2023,,Córdoba
,Agrupación Musical Santísimo Cristo de Gracia,agrupacion musical santisimo cristo de gracia,Resucitado,El Resucitado,2023,Paso a Paso (Canal Sur) Cordoba 2023,,Córdoba
