ID_BANDA,BANDA,CLAVE_BANDA,HERMANDAD,TITULAR,ANIO,FUENTE,NOTA,LOCALIDAD
,Agrupación Musical María Santísima de la Estrella de Granada,agrupacion musical maria santisima de la estrella de granada,Borriquilla,Paso de Misterio,2025,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores María Santísima de la Victoria de Granada,banda de cornetas y tambores maria santisima de la victoria de granada,Santa Cena,Paso de Misterio,2025,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores Cristo de la Elevación del Campode Criptana (C.R.),banda de cornetas y tambores cristo de la elevacion del campode criptana c r,Maravillas,Paso de Misterio,2025,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores Nuestro Padre Jesús Despojado de Granada,banda de cornetas y tambores nuestro padre jesus despojado de granada,Despojado,Paso de Misterio,2025,ahoragranada.com,,Granada
,Agrupación Musical María Santísima de la Cabeza de Exfiliana de Granada,agrupacion musical maria santisima de la cabeza de exfiliana de granada,Cautivo y Encarnacion,Paso de Misterio,2025,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores de Nuestro Padre Jesús Despojado de sus Vestiduras de Granada,banda de cornetas y tambores de nuestro padre jesus despojado de sus vestiduras de granada,Huerto,Paso de Misterio,2025,ahoragranada.com,,Granada
,Agrupación Musical Nuestra Señora de las Angustias de Alcalá la Real de Jaén,agrupacion musical nuestra senora de las angustias de alcala la real de jaen,Trabajo y Luz,Paso de Cristo,2025,ahoragranada.com,,Granada
,Agrupación Musical Santa María de la Paz de El Ejido de Almería,agrupacion musical santa maria de la paz de el ejido de almeria,El Rescate,Cruz de Guia,2025,ahoragranada.com,,Granada
,Agrupación Musical Nuestro Padre Jesús del Rescate de Granada,agrupacion musical nuestro padre jesus del rescate de granada,El Rescate,Paso de Cristo,2025,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores de Nuestro Padres Jesús Despojado de sus Vestiduras de Granada,banda de cornetas y tambores de nuestro padres jesus despojado de sus vestiduras de granada,Lanzada,Paso de Misterio,2025,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores de Nuestro Padre Jesús del Gran Poder de Granada,banda de cornetas y tambores de nuestro padre jesus del gran poder de granada,Esperanza,Paso de Cristo,2025,ahoragranada.com,,Granada
,Agrupación Musical Dulce Nombre de Jesús de Granada,agrupacion musical dulce nombre de jesus de granada,Canilla,Paso de Misterio,2025,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores Fe y Consuelo de Martos de Jaén,banda de cornetas y tambores fe y consuelo de martos de jaen,Los Gitanos,Paso de Cristo,2025,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores de Nuestro Padres Jesús Despojado de sus Vestiduras de Granada,banda de cornetas y tambores de nuestro padres jesus despojado de sus vestiduras de granada,Estudiantes,Paso de Misterio,2025,ahoragranada.com,,Granada
,Agrupación Musical María Santísima de la Estrella de Granada,agrupacion musical maria santisima de la estrella de granada,Paciencia y Penas,Paso de Cristo,2025,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores Nuestro Padre Jesús del Gran Poder de Granada,banda de cornetas y tambores nuestro padre jesus del gran poder de granada,Rosario,Paso de Misterio,2025,ahoragranada.com,,Granada
,Agrupación Musical Nuestra Señora de las Angustias de Alcalá la Real de Jaén,agrupacion musical nuestra senora de las angustias de alcala la real de jaen,Concha,Paso de Cristo,2025,ahoragranada.com,,Granada
,Agrupación Musical Santa Cecilia de Aguilar de la Frontera de Córdoba,agrupacion musical santa cecilia de aguilar de la frontera de cordoba,Salesianos,Paso de Cristo,2025,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores de Nuestro Padre Jesús Despojado de sus Vestiduras de Granada,banda de cornetas y tambores de nuestro padre jesus despojado de sus vestiduras de granada,Aurora,Paso de Misterio,2025,ahoragranada.com,,Granada
,Agrupación Musical María Santísima de la Estrella de Granada,agrupacion musical maria santisima de la estrella de granada,Estrella,Paso de Cristo,2025,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores María Santísima de la Victoria de Granada,banda de cornetas y tambores maria santisima de la victoria de granada,Escolapios,Paso de Cristo,2025,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores de Nuestro Padre Jesús Despojado de sus Vestiduras de Granada,banda de cornetas y tambores de nuestro padre jesus despojado de sus vestiduras de granada,Ferroviarios,Paso de Misterio,2025,ahoragranada.com,,Granada
,Agrupación Musical Nuestro Padre Jesús de la Pasión de Linares de Jaén,agrupacion musical nuestro padre jesus de la pasion de linares de jaen,Los Favores,Paso de Cristo,2025,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores de Nuestro Padre Jesús Despojado de sus Vestiduras,banda de cornetas y tambores de nuestro padre jesus despojado de sus vestiduras,Alhambra,Cruz de Guia,2025,ahoragranada.com,,Granada
,Agrupación Musical del Dulce Nombre de Jesús,agrupacion musical del dulce nombre de jesus,Facundillos,Paso de Misterio,2025,ahoragranada.com,,Granada
,Agrupación Musical Jesús Despojado de Jaén,agrupacion musical jesus despojado de jaen,Resurreccion y Triunfo,Paso de Misterio,2025,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores de Nuestro Padre Jesús de sus Vestiduras de Granada,banda de cornetas y tambores de nuestro padre jesus de sus vestiduras de granada,Resucitado y Alegria,Paso de Misterio,2025,ahoragranada.com,,Granada
