ID_BANDA,BANDA,CLAVE_BANDA,HERMANDAD,TITULAR,ANIO,FUENTE,NOTA,LOCALIDAD
320,"Agrupación Musical María Santísima de la Estrella de Granada","agrupacion musical maria santisima de la estrella de granada",Borriquilla,"Paso de Misterio",2026,ahoragranada.com,,Granada
321,"Banda de Cornetas y Tambores María Santísima de la Victoria de Granada","banda de cornetas y tambores maria santisima de la victoria de granada","Santa Cena","Paso de Misterio",2026,ahoragranada.com,,Granada
319,"Banda de Cornetas y Tambores Nuestro Padre Jesús Despojado de sus Vestiduras de Granada","banda de cornetas y tambores nuestro padre jesus despojado de sus vestiduras de granada",Despojado,"Paso de Misterio",2026,ahoragranada.com,,Granada
317,"Banda de Cornetas y Tambores Santísimo Cristo de la Elevación de Campo de Criptana","banda de cornetas y tambores santisimo cristo de la elevacion de campo de criptana",Maravillas,"Paso de Misterio",2026,ahoragranada.com,,Granada
322,"Agrupación Musical Virgen de la Cabeza de Exfiliana","agrupacion musical virgen de la cabeza de exfiliana","Cautivo y Encarnacion","Paso de Misterio",2026,ahoragranada.com,,Granada
319,"Banda de Cornetas y Tambores Nuestro Padre Jesús Despojado de sus Vestiduras de Granada","banda de cornetas y tambores nuestro padre jesus despojado de sus vestiduras de granada",Huerto,"Paso de Misterio",2026,ahoragranada.com,,Granada
320,"Agrupación Musical María Santísima de la Estrella de Granada","agrupacion musical maria santisima de la estrella de granada","Trabajo y Luz","Paso de Cristo",2026,ahoragranada.com,,Granada
324,"Agrupación Musical Santa María de la Paz de El Ejido","agrupacion musical santa maria de la paz de el ejido","El Rescate","Cruz de Guia",2026,ahoragranada.com,,Granada
325,"Agrupación Musical Nuestro Padre Jesús del Rescate de Granada","agrupacion musical nuestro padre jesus del rescate de granada","El Rescate","Paso de Cristo",2026,ahoragranada.com,,Granada
319,"Banda de Cornetas y Tambores Nuestro Padre Jesús Despojado de sus Vestiduras de Granada","banda de cornetas y tambores nuestro padre jesus despojado de sus vestiduras de granada",Lanzada,"Paso de Misterio",2026,ahoragranada.com,,Granada
326,"Banda de Cornetas y Tambores Nuestro Padre Jesús del Gran Poder de Granada","banda de cornetas y tambores nuestro padre jesus del gran poder de granada",Esperanza,"Paso de Cristo",2026,ahoragranada.com,,Granada
323,"Agrupación Musical del Dulce Nombre de Jesús de Granada","agrupacion musical del dulce nombre de jesus de granada",Canilla,"Paso de Misterio",2026,ahoragranada.com,,Granada
327,"Banda de Cornetas y Tambores Fe y Consuelo de Martos","banda de cornetas y tambores fe y consuelo de martos","Los Gitanos","Paso de Cristo",2026,ahoragranada.com,,Granada
319,"Banda de Cornetas y Tambores Nuestro Padre Jesús Despojado de sus Vestiduras de Granada","banda de cornetas y tambores nuestro padre jesus despojado de sus vestiduras de granada",Estudiantes,"Paso de Misterio",2026,ahoragranada.com,,Granada
320,"Agrupación Musical María Santísima de la Estrella de Granada","agrupacion musical maria santisima de la estrella de granada","Paciencia y Penas","Paso de Cristo",2026,ahoragranada.com,,Granada
311,"Banda de Cornetas y Tambores Nuestra Señora del Rosario de Arriate","banda de cornetas y tambores nuestra senora del rosario de arriate",Rosario,"Paso de Misterio",2026,ahoragranada.com,,Granada
328,"Agrupación Musical Nuestra Señora de las Angustias de Alcalá la Real","agrupacion musical nuestra senora de las angustias de alcala la real",Concha,"Paso de Cristo",2026,ahoragranada.com,,Granada
329,"Agrupación Musical Santa Cecilia de Aguilar de la Frontera","agrupacion musical santa cecilia de aguilar de la frontera",Salesianos,"Paso de Cristo",2026,ahoragranada.com,,Granada
319,"Banda de Cornetas y Tambores Nuestro Padre Jesús Despojado de sus Vestiduras de Granada","banda de cornetas y tambores nuestro padre jesus despojado de sus vestiduras de granada",Aurora,"Paso de Misterio",2026,ahoragranada.com,,Granada
320,"Agrupación Musical María Santísima de la Estrella de Granada","agrupacion musical maria santisima de la estrella de granada",Estrella,"Paso de Cristo",2026,ahoragranada.com,,Granada
321,"Banda de Cornetas y Tambores María Santísima de la Victoria de Granada","banda de cornetas y tambores maria santisima de la victoria de granada",Escolapios,"Paso de Cristo",2026,ahoragranada.com,,Granada
319,"Banda de Cornetas y Tambores Nuestro Padre Jesús Despojado de sus Vestiduras de Granada","banda de cornetas y tambores nuestro padre jesus despojado de sus vestiduras de granada",Ferroviarios,"Paso de Misterio",2026,ahoragranada.com,,Granada
330,"Agrupación Musical Nuestro Padre Jesús de la Pasión de Linares","agrupacion musical nuestro padre jesus de la pasion de linares","Los Favores","Paso de Cristo",2026,ahoragranada.com,,Granada
319,"Banda de Cornetas y Tambores Nuestro Padre Jesús Despojado de sus Vestiduras de Granada","banda de cornetas y tambores nuestro padre jesus despojado de sus vestiduras de granada",Alhambra,"Cruz de Guia",2026,ahoragranada.com,,Granada
322,"Agrupación Musical Virgen de la Cabeza de Exfiliana","agrupacion musical virgen de la cabeza de exfiliana",Alhambra,"Paso de Virgen",2026,ahoragranada.com,,Granada
323,"Agrupación Musical del Dulce Nombre de Jesús de Granada","agrupacion musical del dulce nombre de jesus de granada",Facundillos,"Paso de Misterio",2026,ahoragranada.com,"etiqueta de paso en la fuente: ""Música""",Granada
331,"Agrupación Musical Jesús Despojado de Jaén","agrupacion musical jesus despojado de jaen","Resurreccion y Triunfo","Paso de Misterio",2026,ahoragranada.com,,Granada
319,"Banda de Cornetas y Tambores Nuestro Padre Jesús Despojado de sus Vestiduras de Granada","banda de cornetas y tambores nuestro padre jesus despojado de sus vestiduras de granada","Resucitado y Alegria","Paso de Misterio",2026,ahoragranada.com,,Granada
