ID_BANDA,BANDA,CLAVE_BANDA,HERMANDAD,TITULAR,ANIO,FUENTE,NOTA,LOCALIDAD
,Agrupación Musical Lágrimas de Dolores de San Fernando (Cádiz),agrupacion musical lagrimas de dolores de san fernando cadiz,La Borriquita,Paso de Misterio,2022,El Llamador de Huelva (Canal Sur) 2022,,Huelva
,Agrupación Musical Santí simo Cristo del Amor,agrupacion musical santi simo cristo del amor,La Cena,Paso de Misterio,2022,El Llamador de Huelva (Canal Sur) 2022,,Huelva
,Banda de Cornetas y Tambores del Santí simo Cristo de la Expiración,banda de cornetas y tambores del santi simo cristo de la expiracion,La Redencion,Paso de Misterio,2022,El Llamador de Huelva (Canal Sur) 2022,,Huelva
,Banda de Cornetas y Tambores Nuestro Padre Jesús Nazareno,banda de cornetas y tambores nuestro padre jesus nazareno,Los Mutilados,Paso de Misterio,2022,El Llamador de Huelva (Canal Sur) 2022,,Huelva
,Agrupación Musical de la Santa Cruz,agrupacion musical de la santa cruz,Los Dolores,Paso de Misterio,2022,El Llamador de Huelva (Canal Sur) 2022,,Huelva
,Banda de Cornetas y Tambores Cristo Expiración Salud y Esperanza,banda de cornetas y tambores cristo expiracion salud y esperanza,La Misericordia,Paso de Misterio,2022,El Llamador de Huelva (Canal Sur) 2022,,Huelva
,Banda de Cornetas y Tambores de Nuestro Padre Jesús Nazareno,banda de cornetas y tambores de nuestro padre jesus nazareno,Las Tres Caidas,Paso de Misterio,2022,El Llamador de Huelva (Canal Sur) 2022,,Huelva
,Agrupación Musical Santí simo Cristo del Amor,agrupacion musical santi simo cristo del amor,La Salud,Paso de Misterio,2022,El Llamador de Huelva (Canal Sur) 2022,,Huelva
,Banda de Cornetas y Tambores Cristo Expiración Salud y Esperanza,banda de cornetas y tambores cristo expiracion salud y esperanza,Los Dolores,Paso de Misterio,2022,El Llamador de Huelva (Canal Sur) 2022,,Huelva
,Agrupación Musical Cristo de la Salud (Gitanos),agrupacion musical cristo de la salud gitanos,Pasion,Paso de Misterio,2022,El Llamador de Huelva (Canal Sur) 2022,,Huelva
,Banda de Cornetas y Tambores San Juan Evangelista de Las Cabezas de San Juan (Sevilla),banda de cornetas y tambores san juan evangelista de las cabezas de san juan sevilla,El Prendimiento,Paso de Misterio,2022,El Llamador de Huelva (Canal Sur) 2022,,Huelva
,Banda de Cornetas y Tambores La Humildad,banda de cornetas y tambores la humildad,La Victoria,Paso de Misterio,2022,El Llamador de Huelva (Canal Sur) 2022,,Huelva
,Banda de Cornetas y Tambores Santí simo Cristo de la Expiración Salud y Esperanza,banda de cornetas y tambores santi simo cristo de la expiracion salud y esperanza,La Esperanza,Paso de Misterio,2022,El Llamador de Huelva (Canal Sur) 2022,,Huelva
,Banda de Cornetas y Tambores Nuestra Señora de los Remedios de Casti lleja de la Cuesta,banda de cornetas y tambores nuestra senora de los remedios de casti lleja de la cuesta,La Vera Cruz,Paso de Misterio,2022,El Llamador de Huelva (Canal Sur) 2022,,Huelva
,Banda de Cornetas y Tambores Cristo de la Expiración Salud y Esperanza,banda de cornetas y tambores cristo de la expiracion salud y esperanza,La Buena Muerte,Paso de Cristo,2022,El Llamador de Huelva (Canal Sur) 2022,,Huelva
,Banda de Cornetas y Tambores de Nuestro Padre Jesús del Gran Poder de Coria del Río,banda de cornetas y tambores de nuestro padre jesus del gran poder de coria del rio,Los Dolores,Paso de Misterio,2022,El Llamador de Huelva (Canal Sur) 2022,,Huelva
,Banda de Cornetas y Tambores del Santí simo Cristo de la Victoria (León),banda de cornetas y tambores del santi simo cristo de la victoria leon,Los Dolores,Paso de Misterio,2022,El Llamador de Huelva (Canal Sur) 2022,,Huelva
,Banda de Cornetas y Tambores Nuestro Padre Jesús Nazareno,banda de cornetas y tambores nuestro padre jesus nazareno,El Nazareno,Paso de Misterio,2022,El Llamador de Huelva (Canal Sur) 2022,,Huelva
,Banda de Cornetas y Tambores Santí simo Cristo de la Expiración Salud y Esperanza,banda de cornetas y tambores santi simo cristo de la expiracion salud y esperanza,El Descendimiento,Paso de Misterio,2022,El Llamador de Huelva (Canal Sur) 2022,,Huelva
,Agrupación Musical del Santí simo Cristo del Amor,agrupacion musical del santi simo cristo del amor,La Fe,Paso de Misterio,2022,El Llamador de Huelva (Canal Sur) 2022,,Huelva
