ID_BANDA,BANDA,CLAVE_BANDA,HERMANDAD,TITULAR,ANIO,FUENTE,NOTA,LOCALIDAD
285,"Agrupación Musical Santa Cruz de Huelva","agrupacion musical santa cruz de huelva","Asociacion Parroquial de la Bendicion","Paso de Misterio",2026,musicofrades.com,,Huelva
285,"Agrupación Musical Santa Cruz de Huelva","agrupacion musical santa cruz de huelva","La Borriquita","Paso de Misterio",2026,musicofrades.com,,Huelva
287,"Agrupación Musical Santísimo Cristo del Amor – La Cena – de Huelva","agrupacion musical santisimo cristo del amor la cena de huelva","La Cena","Paso de Misterio",2026,musicofrades.com,,Huelva
293,"Agrupación Musical Nuestro Padre Jesús de los Afligidos de Puente Genil","agrupacion musical nuestro padre jesus de los afligidos de puente genil","La Redencion","Paso de Misterio",2026,musicofrades.com,,Huelva
286,"Banda de Cornetas y Tambores Santísimo Cristo de la Expiración – Salud y Esperanza – de Huelva","banda de cornetas y tambores santisimo cristo de la expiracion salud y esperanza de huelva","La Redencion","Paso de Cristo",2026,musicofrades.com,,Huelva
290,"Banda de Cornetas y Tambores Santísimo Cristo de la Victoria de León","banda de cornetas y tambores santisimo cristo de la victoria de leon","Los Mutilados","Paso de Misterio",2026,musicofrades.com,,Huelva
285,"Agrupación Musical Santa Cruz de Huelva","agrupacion musical santa cruz de huelva","El Perdon","Paso de Misterio",2026,musicofrades.com,,Huelva
287,"Agrupación Musical Santísimo Cristo del Amor – La Cena – de Huelva","agrupacion musical santisimo cristo del amor la cena de huelva","El Cautivo","Paso de Misterio",2026,musicofrades.com,,Huelva
288,"Banda de Cornetas y Tambores Jesús Nazareno de Huelva","banda de cornetas y tambores jesus nazareno de huelva","Las Tres Caidas","Paso de Misterio",2026,musicofrades.com,,Huelva
287,"Agrupación Musical Santísimo Cristo del Amor – La Cena – de Huelva","agrupacion musical santisimo cristo del amor la cena de huelva","La Salud","Paso de Misterio",2026,musicofrades.com,,Huelva
286,"Banda de Cornetas y Tambores Santísimo Cristo de la Expiración – Salud y Esperanza – de Huelva","banda de cornetas y tambores santisimo cristo de la expiracion salud y esperanza de huelva","La Lanzada","Paso de Misterio",2026,musicofrades.com,,Huelva
298,"Agrupación Musical Nuestro Padre Jesús de la Salud – Los Gitanos – de Sevilla","agrupacion musical nuestro padre jesus de la salud los gitanos de sevilla",Pasion,"Paso de Misterio",2026,musicofrades.com,,Huelva
288,"Banda de Cornetas y Tambores Jesús Nazareno de Huelva","banda de cornetas y tambores jesus nazareno de huelva","El Prendimiento","Paso de Misterio",2026,musicofrades.com,,Huelva
299,"Banda de Cornetas y Tambores Santa María de la Granada de Moguer","banda de cornetas y tambores santa maria de la granada de moguer","La Victoria","Cruz de Guia",2026,musicofrades.com,,Huelva
300,"Banda de Cornetas y Tambores Santísimo Cristo de la Vera-Cruz de Los Palacios y Villafranca","banda de cornetas y tambores santisimo cristo de la vera cruz de los palacios y villafranca","La Victoria","Paso de Misterio",2026,musicofrades.com,,Huelva
286,"Banda de Cornetas y Tambores Santísimo Cristo de la Expiración – Salud y Esperanza – de Huelva","banda de cornetas y tambores santisimo cristo de la expiracion salud y esperanza de huelva","La Esperanza","Paso de Misterio",2026,musicofrades.com,,Huelva
302,"Banda de Cornetas y Tambores Nuestra Señora del Sol de Sevilla","banda de cornetas y tambores nuestra senora del sol de sevilla","La Oracion en el Huerto","Paso de Misterio",2026,musicofrades.com,,Huelva
286,"Banda de Cornetas y Tambores Santísimo Cristo de la Expiración – Salud y Esperanza – de Huelva","banda de cornetas y tambores santisimo cristo de la expiracion salud y esperanza de huelva","La Buena Muerte","Paso de Cristo",2026,musicofrades.com,,Huelva
290,"Banda de Cornetas y Tambores Santísimo Cristo de la Victoria de León","banda de cornetas y tambores santisimo cristo de la victoria de leon","Los Judios","Paso de Misterio",2026,musicofrades.com,,Huelva
285,"Agrupación Musical Santa Cruz de Huelva","agrupacion musical santa cruz de huelva","Los Judios","Paso de Cristo",2026,musicofrades.com,,Huelva
288,"Banda de Cornetas y Tambores Jesús Nazareno de Huelva","banda de cornetas y tambores jesus nazareno de huelva","El Nazareno","Paso de Misterio",2026,musicofrades.com,,Huelva
286,"Banda de Cornetas y Tambores Santísimo Cristo de la Expiración – Salud y Esperanza – de Huelva","banda de cornetas y tambores santisimo cristo de la expiracion salud y esperanza de huelva","El Descendimiento","Paso de Misterio",2026,musicofrades.com,,Huelva
287,"Agrupación Musical Santísimo Cristo del Amor – La Cena – de Huelva","agrupacion musical santisimo cristo del amor la cena de huelva","La Fe","Paso de Misterio",2026,musicofrades.com,,Huelva
285,"Agrupación Musical Santa Cruz de Huelva","agrupacion musical santa cruz de huelva","El Resucitado","Paso de Misterio",2026,musicofrades.com,,Huelva
