ID_BANDA,BANDA,CLAVE_BANDA,HERMANDAD,TITULAR,ANIO,FUENTE,NOTA,LOCALIDAD
,"Agrupación Musical Santísimo Cristo de Gracia de Córdoba","agrupacion musical santisimo cristo de gracia de cordoba",Borriquilla,"Paso de Misterio",2026,aytojaen.es,,Jaen
,"Asociación Cultural Musical Lázaro Rueda de Los Villares","asociacion cultural musical lazaro rueda de los villares",Borriquilla,"Paso de Palio",2026,aytojaen.es,,Jaen
,"Agrupación Musical Jesús Despojado de Jaén","agrupacion musical jesus despojado de jaen","Santa Cena","Paso de Misterio",2026,aytojaen.es,,Jaen
,"Banda Municipal de Música de Paterna del Campo","banda municipal de musica de paterna del campo","Santa Cena","Paso de Palio",2026,aytojaen.es,,Jaen
,"Agrupación Musical Nuestro Padre Jesús de la Piedad en su Presentación al Pueblo – La Estrella – de Jaén","agrupacion musical nuestro padre jesus de la piedad en su presentacion al pueblo la estrella de jaen",Estrella,"Paso de Misterio",2026,aytojaen.es,,Jaen
,"Asociación Musical Pedro Morales de Lopera","asociacion musical pedro morales de lopera",Estrella,"Paso de Palio",2026,aytojaen.es,,Jaen
,"Banda de Cornetas y Tambores Nuestra Señora de la Asunción de Jódar","banda de cornetas y tambores nuestra senora de la asuncion de jodar",Oracion,"Paso de Misterio",2026,aytojaen.es,,Jaen
,"Banda de Música Nuestra Señora de la Amargura de la Sociedad Filarmónica de Jaén","banda de musica nuestra senora de la amargura de la sociedad filarmonica de jaen",Oracion,"Paso de Palio",2026,aytojaen.es,,Jaen
,"Banda de Cornetas y Tambores Nuestra Señora de la Salud de Córdoba","banda de cornetas y tambores nuestra senora de la salud de cordoba",Sentencia,"Paso de Cristo",2026,aytojaen.es,,Jaen
,"Banda de Cornetas y Tambores Santísimo Cristo del Mar de Vélez-Málaga","banda de cornetas y tambores santisimo cristo del mar de velez malaga","Caridad y Salud","Paso de Cristo",2026,aytojaen.es,,Jaen
,"Agrupación Musical Jesús Despojado de Jaén","agrupacion musical jesus despojado de jaen",Amargura,"Paso de Misterio",2026,aytojaen.es,,Jaen
,"Banda de Música Nuestra Señora de la Amargura de la Sociedad Filarmónica de Jaén","banda de musica nuestra senora de la amargura de la sociedad filarmonica de jaen",Amargura,"Paso de Palio",2026,aytojaen.es,,Jaen
,"Banda de Cornetas y Tambores Nuestra Señora del Rosario de Linares","banda de cornetas y tambores nuestra senora del rosario de linares",Estudiantes,"Paso de Cristo",2026,aytojaen.es,,Jaen
,"Asociación Musical Pedro Morales de Lopera","asociacion musical pedro morales de lopera",Estudiantes,"Paso de Palio",2026,aytojaen.es,,Jaen
,"Agrupación Musical Santísimo Cristo de la Salud de Alcalá la Real","agrupacion musical santisimo cristo de la salud de alcala la real","Divino Maestro","Paso de Misterio",2026,aytojaen.es,,Jaen
,"Asociación Musical Blanco Nájera de Jaén","asociacion musical blanco najera de jaen","Divino Maestro","Paso de Palio",2026,aytojaen.es,,Jaen
