ID_BANDA,BANDA,CLAVE_BANDA,HERMANDAD,TITULAR,ANIO,FUENTE,NOTA,LOCALIDAD
,Banda de Cornetas y Tambores Santísimo Cristo de la Fe y el Consuelo (Martos),banda de cornetas y tambores santisimo cristo de la fe y el consuelo martos,Entrega de Guadalcacín,Entrega de Guadalcacín,2022,Estacion de Penitencia (Canal Sur) Jerez 2022,,Jerez de la Frontera
,Banda de Cornetas y Tambores Rosario (Cádiz),banda de cornetas y tambores rosario cadiz,Entrega de Guadalcacín,Entrega de Guadalcacín,2022,Estacion de Penitencia (Canal Sur) Jerez 2022,,Jerez de la Frontera
,Banda de Cornetas y Tambores Santa Cruz (Almería),banda de cornetas y tambores santa cruz almeria,La Mortaja,La Mortaja,2022,Estacion de Penitencia (Canal Sur) Jerez 2022,titular real: Cristo Rey,Jerez de la Frontera
,"Banda de Cornetas y Tambores Amor de Cristo (San Juan de Aznalfarache, Sevilla)",banda de cornetas y tambores amor de cristo san juan de aznalfarache sevilla,La Borriquita,La Borriquita,2022,Estacion de Penitencia (Canal Sur) Jerez 2022,titular real: Señor De Pasión,Jerez de la Frontera
,Banda de Cornetas y Tambores Nuestro Padre Jesús de los Remedios (Castilleja de la Cuesta),banda de cornetas y tambores nuestro padre jesus de los remedios castilleja de la cuesta,El Perdón,El Perdón,2022,Estacion de Penitencia (Canal Sur) Jerez 2022,titular real: Cristo Del Perdón,Jerez de la Frontera
,Banda de Cornetas y Tambores Nuestra Señora del Rosario (Cádiz),banda de cornetas y tambores nuestra senora del rosario cadiz,El Transporte,El Transporte,2022,Estacion de Penitencia (Canal Sur) Jerez 2022,titular real: Señor Del Consuelo,Jerez de la Frontera
,"Banda de Cornetas y Tambores Vera-Cruz (Los Palacios, Sevilla)",banda de cornetas y tambores vera cruz los palacios sevilla,La Coronación,La Coronación,2022,Estacion de Penitencia (Canal Sur) Jerez 2022,titular real: Cristo De La Coronacion,Jerez de la Frontera
,Banda de Cornetas y Tambores Nuestro Padre Jesús del Gran Poder (Granada),banda de cornetas y tambores nuestro padre jesus del gran poder granada,Las Angustias,Las Angustias,2022,Estacion de Penitencia (Canal Sur) Jerez 2022,titular real: Cristo De La Sed,Jerez de la Frontera
,Agrupación Musical La Sentencia (Jerez),agrupacion musical la sentencia jerez,La Paz de Fátima,La Paz de Fátima,2022,Estacion de Penitencia (Canal Sur) Jerez 2022,titular real: Jesus De La Paz,Jerez de la Frontera
,"Agrupación Musical Lágrimas de Dolores (San Fernando, Cádiz)",agrupacion musical lagrimas de dolores san fernando cadiz,La Candelaria,La Candelaria,2022,Estacion de Penitencia (Canal Sur) Jerez 2022,titular real: Jesus De La Misericordia,Jerez de la Frontera
,"Agrupación Musical Nuestra Señora de la Estrella (Dos Hermanas, Sevilla)",agrupacion musical nuestra senora de la estrella dos hermanas sevilla,Sagrada Cena,Sagrada Cena,2022,Estacion de Penitencia (Canal Sur) Jerez 2022,titular real: Sagrada Cena,Jerez de la Frontera
,Agrupación Musical San Juan (Jerez),agrupacion musical san juan jerez,Bondad y Misericordia,Bondad y Misericordia,2022,Estacion de Penitencia (Canal Sur) Jerez 2022,,Jerez de la Frontera
,Agrupación Musical Rescate (Linares),agrupacion musical rescate linares,La Salvación,La Salvación,2022,Estacion de Penitencia (Canal Sur) Jerez 2022,,Jerez de la Frontera
,Agrupación Musical Santísimo Cristo de la Clemencia (Jerez),agrupacion musical santisimo cristo de la clemencia jerez,La Salvación,La Salvación,2022,Estacion de Penitencia (Canal Sur) Jerez 2022,titular real: Cristo De La Clemencia,Jerez de la Frontera
,Agrupación Musical La Sentencia (Jerez),agrupacion musical la sentencia jerez,Salud de San Rafael,Salud de San Rafael,2022,Estacion de Penitencia (Canal Sur) Jerez 2022,titular real: Señor De La Salud,Jerez de la Frontera
,Banda de Cornetas y Tambores Centuria Romana Macarena (Sevilla),banda de cornetas y tambores centuria romana macarena sevilla,La Defensión,La Defensión,2022,Estacion de Penitencia (Canal Sur) Jerez 2022,titular real: Cristo De La Defensión,Jerez de la Frontera
,Banda de Cornetas y Tambores Nuestra Señora de la Asunción (Jódar),banda de cornetas y tambores nuestra senora de la asuncion jodar,El Amor,El Amor,2022,Estacion de Penitencia (Canal Sur) Jerez 2022,,Jerez de la Frontera
,"Agrupación Musical Nuestra Señora de Valme (Dos Hermanas, Sevilla)",agrupacion musical nuestra senora de valme dos hermanas sevilla,El Amor,El Amor,2022,Estacion de Penitencia (Canal Sur) Jerez 2022,titular real: Cautivo,Jerez de la Frontera
,"Agrupación Musical Nuestra Señora de la Estrella (Dos Hermanas, Sevilla)",agrupacion musical nuestra senora de la estrella dos hermanas sevilla,Judíos de San Mateo,Judíos de San Mateo,2022,Estacion de Penitencia (Canal Sur) Jerez 2022,titular real: Señor De Las Penas,Jerez de la Frontera
,Agrupación Musical de la Sentencia (Jerez),agrupacion musical de la sentencia jerez,Judíos de San Mateo,Judíos de San Mateo,2022,Estacion de Penitencia (Canal Sur) Jerez 2022,titular real: Nuestro Padre Jesús Del Soberano Poder Ante Caifás,Jerez de la Frontera
,"Banda de Cornetas y Tambores del Santísimo Cristo de la Columna, Los Coloraos de Daimiel (Ciudad Real)",banda de cornetas y tambores del santisimo cristo de la columna los coloraos de daimiel ciudad real,El Consuelo,El Consuelo,2022,Estacion de Penitencia (Canal Sur) Jerez 2022,titular real: Señor Del Amparo,Jerez de la Frontera
,Banda de Cornetas y Tambores Santísimo Cristo de la Caridad (Jerez),banda de cornetas y tambores santisimo cristo de la caridad jerez,Santa Marta,Santa Marta,2022,Estacion de Penitencia (Canal Sur) Jerez 2022,titular real: Cristo De La Caridad,Jerez de la Frontera
,Banda de Cornetas y Tambores Vera-Cruz (Utrera),banda de cornetas y tambores vera cruz utrera,La Flagelación,La Flagelación,2022,Estacion de Penitencia (Canal Sur) Jerez 2022,titular real: Señor De La Sagrada Flagelación,Jerez de la Frontera
,Agrupación Musical San Juan (Jerez),agrupacion musical san juan jerez,Prendimiento,Prendimiento,2022,Estacion de Penitencia (Canal Sur) Jerez 2022,titular real: Jesús Del Prendimiento,Jerez de la Frontera
,Banda de Cornetas y Tambores Santísimo Cristo de la Caridad (Jerez),banda de cornetas y tambores santisimo cristo de la caridad jerez,La Redención,La Redención,2022,Estacion de Penitencia (Canal Sur) Jerez 2022,titular real: Jesús De La Redención,Jerez de la Frontera
,Agrupación Musical La Sentencia de Jerez,agrupacion musical la sentencia de jerez,Oración en el Huerto,Oración en el Huerto,2022,Estacion de Penitencia (Canal Sur) Jerez 2022,titular real: Jesús Orando En El Huerto,Jerez de la Frontera
,Agrupación Musical Expiración (Salamanca),agrupacion musical expiracion salamanca,Mayor Dolor,Mayor Dolor,2022,Estacion de Penitencia (Canal Sur) Jerez 2022,,Jerez de la Frontera
,Agrupación Musical Nuestra Señora de la Estrella de Dos Hermanas (Sevilla),agrupacion musical nuestra senora de la estrella de dos hermanas sevilla,Buena Muerte,Buena Muerte,2022,Estacion de Penitencia (Canal Sur) Jerez 2022,titular real: Jesús De La Sentencia,Jerez de la Frontera
,"Banda de Cornetas y Tambores Nuestra Señora de la Asunción (Jódar, Jaén)",banda de cornetas y tambores nuestra senora de la asuncion jodar jaen,Buena Muerte,Buena Muerte,2022,Estacion de Penitencia (Canal Sur) Jerez 2022,,Jerez de la Frontera
,Agrupación Musical La Sentencia (Jerez),agrupacion musical la sentencia jerez,El Loreto,El Loreto,2022,Estacion de Penitencia (Canal Sur) Jerez 2022,titular real: Cristo De La Exaltación,Jerez de la Frontera
,Agrupación Musical San Juan (Jerez),agrupacion musical san juan jerez,El Cristo,El Cristo,2022,Estacion de Penitencia (Canal Sur) Jerez 2022,,Jerez de la Frontera
