ID_BANDA,BANDA,CLAVE_BANDA,HERMANDAD,TITULAR,ANIO,FUENTE,NOTA,LOCALIDAD
,"Agrupación Musical Nuestra Señora del Mar de Huércal de Almería","agrupacion musical nuestra senora del mar de huercal de almeria",Medinaceli,"Paso de Cristo",2026,musicofrades.com,,Malaga
,"Banda de Música Nuestro Padre Jesús Nazareno de Almogía","banda de musica nuestro padre jesus nazareno de almogia",Medinaceli,"Paso de Virgen",2026,musicofrades.com,,Malaga
,"Agrupación Musical Jesús Cautivo de Estepona","agrupacion musical jesus cautivo de estepona","Dolores del Puerto de la Torre","Paso de Cristo",2026,musicofrades.com,,Malaga
,"Banda de Música Nuestra Señora de la Soledad de Mena de Málaga","banda de musica nuestra senora de la soledad de mena de malaga","Dolores del Puerto de la Torre","Paso de Virgen",2026,musicofrades.com,,Malaga
,"Banda de Música San Isidro de Churriana","banda de musica san isidro de churriana","Dolores de Churriana","Paso de Cristo",2026,musicofrades.com,,Malaga
,"Banda de Música Sinfónica Virgen de la Trinidad de Málaga","banda de musica sinfonica virgen de la trinidad de malaga","Dolores de Churriana","Paso de Virgen",2026,musicofrades.com,,Malaga
,"Banda de Música Maestro Eloy García de la Archicofradía de la Expiración de Málaga","banda de musica maestro eloy garcia de la archicofradia de la expiracion de malaga",Gamarra,"Paso de Virgen",2026,musicofrades.com,,Malaga
,"Banda de Cornetas y Tambores Nuestro Padre Jesús Nazareno de Almogía","banda de cornetas y tambores nuestro padre jesus nazareno de almogia","San Andrés","Cruz de Guia",2026,musicofrades.com,,Malaga
,"Banda de Cornetas y Tambores Monte Calvario de Martos","banda de cornetas y tambores monte calvario de martos","San Andrés","Paso de Cristo",2026,musicofrades.com,,Malaga
,"Banda de Música Nuestro Padre Jesús Nazareno de Almogía","banda de musica nuestro padre jesus nazareno de almogia","San Andrés","Paso de Virgen",2026,musicofrades.com,,Malaga
,"Agrupación Musical Nuestro Padre Jesús Nazareno de La Roda de Andalucía","agrupacion musical nuestro padre jesus nazareno de la roda de andalucia","Verdad y Sagrario","Paso de Cristo",2026,musicofrades.com,,Malaga
,"Banda de Música Municipal Maestro Paco Tenorio de Arriate","banda de musica municipal maestro paco tenorio de arriate","Verdad y Sagrario","Paso de Virgen",2026,musicofrades.com,,Malaga
,"Banda de Música Santa Cecilia de Málaga","banda de musica santa cecilia de malaga",Desamparados,"Paso de Virgen",2026,musicofrades.com,,Malaga
,"Banda de Cornetas y Tambores Paso y Esperanza de Málaga","banda de cornetas y tambores paso y esperanza de malaga",Clemencia,"Paso de Cristo",2026,musicofrades.com,,Malaga
,"Banda de Cornetas y Tambores Nuestro Padre Jesús Nazareno de Almogía","banda de cornetas y tambores nuestro padre jesus nazareno de almogia",Pollinica,"Cruz de Guia",2026,musicofrades.com,,Malaga
,"Agrupación Musical Santísimo Cristo de la Vera Cruz de Campillos","agrupacion musical santisimo cristo de la vera cruz de campillos",Pollinica,"Paso de Cristo",2026,musicofrades.com,,Malaga
,"Banda de Música Nuestra Señora de la Paz de Málaga","banda de musica nuestra senora de la paz de malaga",Pollinica,"Paso de Virgen",2026,musicofrades.com,,Malaga
,"Agrupación Musical de las Reales Cofradías Fusionadas de San Juan de Málaga","agrupacion musical de las reales cofradias fusionadas de san juan de malaga","Lágrimas y Favores","Cruz de Guia",2026,musicofrades.com,,Malaga
,"Banda de Música Municipal de Arahal","banda de musica municipal de arahal","Lágrimas y Favores","Paso de Virgen",2026,musicofrades.com,,Malaga
,"Agrupación Musical Lágrimas de Dolores de San Fernando","agrupacion musical lagrimas de dolores de san fernando","Dulce Nombre","Paso de Cristo",2026,musicofrades.com,,Malaga
,"Banda de Música Sinfónica Virgen de la Trinidad de Málaga","banda de musica sinfonica virgen de la trinidad de malaga","Dulce Nombre","Paso de Virgen",2026,musicofrades.com,,Malaga
,"Agrupación Musical San Lorenzo Mártir de Málaga","agrupacion musical san lorenzo martir de malaga",Salutación,"Paso de Cristo",2026,musicofrades.com,,Malaga
,"Banda de Música Nuestro Padre Jesús Nazareno de Almogía","banda de musica nuestro padre jesus nazareno de almogia",Salutación,"Paso de Virgen",2026,musicofrades.com,,Malaga
,"Banda de Cornetas y Tambores Nuestra Señora del Carmen de Málaga","banda de cornetas y tambores nuestra senora del carmen de malaga","Humildad y Paciencia","Paso de Cristo",2026,musicofrades.com,,Malaga
,"Banda de Música Cruz del Humilladero de Málaga","banda de musica cruz del humilladero de malaga","Humildad y Paciencia","Paso de Virgen",2026,musicofrades.com,,Malaga
,"Banda de Cornetas y Tambores Paso y Esperanza de Málaga","banda de cornetas y tambores paso y esperanza de malaga",Humidad,"Paso de Cristo",2026,musicofrades.com,,Malaga
,"Banda de Música Santa Cecilia de Málaga","banda de musica santa cecilia de malaga",Humidad,"Paso de Virgen",2026,musicofrades.com,,Malaga
,"Agrupación Musical Jesús Cautivo de Estepona","agrupacion musical jesus cautivo de estepona",Huerto,"Paso de Cristo",2026,musicofrades.com,,Malaga
,"Banda de Música Vera+Cruz de Almogía","banda de musica vera cruz de almogia",Huerto,"Paso de Virgen",2026,musicofrades.com,,Malaga
,"Banda de Cornetas y Tambores Nuestro Padre Jesús Cautivo de Málaga","banda de cornetas y tambores nuestro padre jesus cautivo de malaga",Salud,"Paso de Cristo",2026,musicofrades.com,,Malaga
,"Banda de Música de la Hermandad de Zamarrilla de Málaga","banda de musica de la hermandad de zamarrilla de malaga",Salud,"Paso de Virgen",2026,musicofrades.com,,Malaga
,"Banda de Cornetas y Tambores del Real Cuerpo de Bomberos de Málaga","banda de cornetas y tambores del real cuerpo de bomberos de malaga",Prendimiento,"Cruz de Guia",2026,musicofrades.com,,Malaga
,"Agrupación Musical Virgen de Gracia de Archidona","agrupacion musical virgen de gracia de archidona",Prendimiento,"Paso de Cristo",2026,musicofrades.com,,Malaga
,"Banda de Música Virgen del Rocío de Málaga","banda de musica virgen del rocio de malaga",Prendimiento,"Paso de Virgen",2026,musicofrades.com,,Malaga
,"Banda de Cornetas y Tambores Nuestra Señora del Carmen de Málaga","banda de cornetas y tambores nuestra senora del carmen de malaga",Crucifixión,"Paso de Cristo",2026,musicofrades.com,,Malaga
,"Banda de Música Nuestro Padre Jesús Nazareno de Almogía","banda de musica nuestro padre jesus nazareno de almogia",Crucifixión,"Paso de Virgen",2026,musicofrades.com,,Malaga
,"Banda de Cornetas y Tambores Nuestro Padre Jesús Nazareno de Almogía","banda de cornetas y tambores nuestro padre jesus nazareno de almogia",Pasión,"Cruz de Guia",2026,musicofrades.com,,Malaga
,"Banda de Cornetas y Tambores Paso y Esperanza de Málaga","banda de cornetas y tambores paso y esperanza de malaga",Pasión,"Paso de Cristo",2026,musicofrades.com,,Malaga
,"Banda de Música Municipal de Arahal","banda de musica municipal de arahal",Pasión,"Paso de Virgen",2026,musicofrades.com,,Malaga
,"Banda de Cornetas y Tambores Nuestro Padre Jesús de la Columna y María Santísima de la O – Los Gitanos – de Málaga","banda de cornetas y tambores nuestro padre jesus de la columna y maria santisima de la o los gitanos de malaga",Columna,"Paso de Cristo",2026,musicofrades.com,,Malaga
,"Banda de Música de la Hermandad de Zamarrilla de Málaga","banda de musica de la hermandad de zamarrilla de malaga",Columna,"Paso de Virgen",2026,musicofrades.com,,Malaga
,"Banda de Cornetas y Tambores Flor entre Espinas de Loja","banda de cornetas y tambores flor entre espinas de loja","Dolores del Puente","Cruz de Guia",2026,musicofrades.com,,Malaga
,"Banda de Música Santa Cecilia de Málaga","banda de musica santa cecilia de malaga","Dolores del Puente","Paso de Cristo",2026,musicofrades.com,,Malaga
,"Banda de Música Maestro Eloy García de la Archicofradía de la Expiración de Málaga","banda de musica maestro eloy garcia de la archicofradia de la expiracion de malaga","Dolores del Puente","Paso de Virgen",2026,musicofrades.com,,Malaga
,"Banda de Cornetas y Tambores Nuestro Padre Jesús Cautivo de Málaga","banda de cornetas y tambores nuestro padre jesus cautivo de malaga",Cautivo,"Paso de Cristo",2026,musicofrades.com,,Malaga
,"Banda de Cornetas y Tambores del Real Cuerpo de Bomberos de Málaga","banda de cornetas y tambores del real cuerpo de bomberos de malaga",Cautivo,"Cruz de Guia",2026,musicofrades.com,"seccion Virgen",Malaga
