ID_BANDA,BANDA,CLAVE_BANDA,HERMANDAD,TITULAR,ANIO,FUENTE,NOTA,LOCALIDAD
341,"Agrupación Musical Nuestra Señora del Mar de Huércal de Almería","agrupacion musical nuestra senora del mar de huercal de almeria",Medinaceli,"Paso de Cristo",2026,musicofrades.com,,Malaga
318,"Agrupación Musical Jesús Cautivo de Estepona","agrupacion musical jesus cautivo de estepona","Dolores del Puerto de la Torre","Paso de Cristo",2026,musicofrades.com,,Malaga
335,"Banda de Cornetas y Tambores Nuestro Padre Jesús Nazareno de Almogía","banda de cornetas y tambores nuestro padre jesus nazareno de almogia","San Andrés","Cruz de Guia",2026,musicofrades.com,,Malaga
342,"Banda de Cornetas y Tambores Monte Calvario de Martos","banda de cornetas y tambores monte calvario de martos","San Andrés","Paso de Cristo",2026,musicofrades.com,,Malaga
343,"Agrupación Musical Nuestro Padre Jesús Nazareno de La Roda de Andalucía","agrupacion musical nuestro padre jesus nazareno de la roda de andalucia","Verdad y Sagrario","Paso de Cristo",2026,musicofrades.com,,Malaga
332,"Banda de Cornetas y Tambores Paso y Esperanza de Málaga","banda de cornetas y tambores paso y esperanza de malaga",Clemencia,"Paso de Cristo",2026,musicofrades.com,,Malaga
335,"Banda de Cornetas y Tambores Nuestro Padre Jesús Nazareno de Almogía","banda de cornetas y tambores nuestro padre jesus nazareno de almogia",Pollinica,"Cruz de Guia",2026,musicofrades.com,,Malaga
337,"Agrupación Musical Santísimo Cristo de la Vera Cruz de Campillos","agrupacion musical santisimo cristo de la vera cruz de campillos",Pollinica,"Paso de Cristo",2026,musicofrades.com,,Malaga
339,"Agrupación Musical de las Reales Cofradías Fusionadas de San Juan de Málaga","agrupacion musical de las reales cofradias fusionadas de san juan de malaga","Lágrimas y Favores","Cruz de Guia",2026,musicofrades.com,,Malaga
344,"Agrupación Musical Lágrimas de Dolores de San Fernando","agrupacion musical lagrimas de dolores de san fernando","Dulce Nombre","Paso de Cristo",2026,musicofrades.com,,Malaga
338,"Agrupación Musical San Lorenzo Mártir de Málaga","agrupacion musical san lorenzo martir de malaga",Salutación,"Paso de Cristo",2026,musicofrades.com,,Malaga
333,"Banda de Cornetas y Tambores Nuestra Señora del Carmen de Málaga","banda de cornetas y tambores nuestra senora del carmen de malaga","Humildad y Paciencia","Paso de Cristo",2026,musicofrades.com,,Malaga
332,"Banda de Cornetas y Tambores Paso y Esperanza de Málaga","banda de cornetas y tambores paso y esperanza de malaga",Humidad,"Paso de Cristo",2026,musicofrades.com,,Malaga
318,"Agrupación Musical Jesús Cautivo de Estepona","agrupacion musical jesus cautivo de estepona",Huerto,"Paso de Cristo",2026,musicofrades.com,,Malaga
334,"Banda de Cornetas y Tambores Nuestro Padre Jesús Cautivo de Málaga","banda de cornetas y tambores nuestro padre jesus cautivo de malaga",Salud,"Paso de Cristo",2026,musicofrades.com,,Malaga
336,"Banda de Cornetas y Tambores del Real Cuerpo de Bomberos de Málaga","banda de cornetas y tambores del real cuerpo de bomberos de malaga",Prendimiento,"Cruz de Guia",2026,musicofrades.com,,Malaga
345,"Agrupación Musical Virgen de Gracia de Archidona","agrupacion musical virgen de gracia de archidona",Prendimiento,"Paso de Cristo",2026,musicofrades.com,,Malaga
333,"Banda de Cornetas y Tambores Nuestra Señora del Carmen de Málaga","banda de cornetas y tambores nuestra senora del carmen de malaga",Crucifixión,"Paso de Cristo",2026,musicofrades.com,,Malaga
335,"Banda de Cornetas y Tambores Nuestro Padre Jesús Nazareno de Almogía","banda de cornetas y tambores nuestro padre jesus nazareno de almogia",Pasión,"Cruz de Guia",2026,musicofrades.com,,Malaga
332,"Banda de Cornetas y Tambores Paso y Esperanza de Málaga","banda de cornetas y tambores paso y esperanza de malaga",Pasión,"Paso de Cristo",2026,musicofrades.com,,Malaga
314,"Banda de Cornetas y Tambores Nuestro Padre Jesús de la Columna y María Santísima de la O – Los Gitanos – de Málaga","banda de cornetas y tambores nuestro padre jesus de la columna y maria santisima de la o los gitanos de malaga",Columna,"Paso de Cristo",2026,musicofrades.com,,Malaga
346,"Banda de Cornetas y Tambores Flor entre Espinas de Loja","banda de cornetas y tambores flor entre espinas de loja","Dolores del Puente","Cruz de Guia",2026,musicofrades.com,,Malaga
334,"Banda de Cornetas y Tambores Nuestro Padre Jesús Cautivo de Málaga","banda de cornetas y tambores nuestro padre jesus cautivo de malaga",Cautivo,"Paso de Cristo",2026,musicofrades.com,,Malaga
336,"Banda de Cornetas y Tambores del Real Cuerpo de Bomberos de Málaga","banda de cornetas y tambores del real cuerpo de bomberos de malaga",Cautivo,"Cruz de Guia",2026,musicofrades.com,"seccion Virgen",Malaga
