ID_BANDA,BANDA,CLAVE_BANDA,HERMANDAD,TITULAR,ANIO,FUENTE,NOTA,LOCALIDAD
,Banda de Cornetas y Tambores Sagrada Columna y Azotes,banda de cornetas y tambores sagrada columna y azotes,La Mision,Cruz de Guia,2025,El Llamador (Canal Sur) Sevilla 2025,,Sevilla
,Banda de Cornetas y Tambores Nuestra Señora de la Victoria (Las Cigarreras),banda de cornetas y tambores nuestra senora de la victoria las cigarreras,La Mision,Paso de Misterio,2025,El Llamador (Canal Sur) Sevilla 2025,,Sevilla
,Banda de Cornetas y Tambores Juvenil Centuria Romana Macarena,banda de cornetas y tambores juvenil centuria romana macarena,Pino Montano,Cruz de Guia,2025,El Llamador (Canal Sur) Sevilla 2025,,Sevilla
,Agrupación Musical Nuestra Señora de la Encarnación (San Benito) de Sevilla,agrupacion musical nuestra senora de la encarnacion san benito de sevilla,Pino Montano,Paso de Misterio,2025,El Llamador (Canal Sur) Sevilla 2025,,Sevilla
,Agrupación Musical Nuestro Padre Jesús de la Redención de Sevilla,agrupacion musical nuestro padre jesus de la redencion de sevilla,Dulce Nombre de Bellavista,Paso de Misterio,2025,El Llamador (Canal Sur) Sevilla 2025,,Sevilla
,Agrupación Musical Santa María de la Esperanza (Fraternitas),agrupacion musical santa maria de la esperanza fraternitas,Bendicion y Esperanza,Paso de Misterio,2025,El Llamador (Canal Sur) Sevilla 2025,,Sevilla
,Banda de Cornetas y Tambores Nuestra Señora de los Ángeles de Sevilla,banda de cornetas y tambores nuestra senora de los angeles de sevilla,Paz y Misericordia,Paso de Misterio,2025,El Llamador (Canal Sur) Sevilla 2025,,Sevilla
,Agrupación Musical Juvenil María Santísima del Rocío de Sevilla,agrupacion musical juvenil maria santisima del rocio de sevilla,La Milagrosa,Cruz de Guia,2025,El Llamador (Canal Sur) Sevilla 2025,,Sevilla
,Agrupación Musical Nuestro Padre Jesús de la Redención de Sevilla,agrupacion musical nuestro padre jesus de la redencion de sevilla,La Milagrosa,Paso de Misterio,2025,El Llamador (Canal Sur) Sevilla 2025,,Sevilla
,Agrupación Musical Virgen de los Reyes,agrupacion musical virgen de los reyes,Divino Perdon de Alcosa,Paso de Misterio,2025,El Llamador (Canal Sur) Sevilla 2025,,Sevilla
,Agrupación Musical La Sentencia de Jerez de la Frontera,agrupacion musical la sentencia de jerez de la frontera,Divino Perdon de Alcosa,Paso de Misterio,2025,El Llamador (Canal Sur) Sevilla 2025,,Sevilla
,Agrupación Musical María Santísima de las Angustias Coronada de Sevilla,agrupacion musical maria santisima de las angustias coronada de sevilla,San Jose Obrero,Cruz de Guia,2025,El Llamador (Canal Sur) Sevilla 2025,,Sevilla
,Agrupación Musical Nuestro Padre Jesús de la Salud (Los Gitanos) de Sevilla,agrupacion musical nuestro padre jesus de la salud los gitanos de sevilla,San Jose Obrero,Paso de Misterio,2025,El Llamador (Canal Sur) Sevilla 2025,,Sevilla
,Agrupación Musical Lágrimas de Dolores de San Fernando,agrupacion musical lagrimas de dolores de san fernando,Padre Pio,Paso de Misterio,2025,El Llamador (Canal Sur) Sevilla 2025,,Sevilla
,Agrupación Musical Nuestro Padre Jesús Nazareno de La Algaba,agrupacion musical nuestro padre jesus nazareno de la algaba,San Jeronimo,Paso de Misterio,2025,El Llamador (Canal Sur) Sevilla 2025,,Sevilla
,Agrupación Musical Nuestra Señora de la Encarnación (San Benito) de Sevilla,agrupacion musical nuestra senora de la encarnacion san benito de sevilla,Las Maravillas,Paso de Misterio,2025,El Llamador (Canal Sur) Sevilla 2025,,Sevilla
