ID_BANDA,HERMANDAD,TITULAR,ANIO,FUENTE,NOTA,LOCALIDAD
52,La Mision,,1992,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=B. Stmo. Cristo de la Sed,Sevilla
52,La Mision,,1993,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=B. Stmo. Cristo de la Sed,Sevilla
52,La Mision,,1994,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=B. Stmo. Cristo de la Sed,Sevilla
52,La Mision,,1995,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=B. Stmo. Cristo de la Sed,Sevilla
77,La Mision,,1998,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=C y T Cristo de la Exaltación,Sevilla
77,La Mision,,1999,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=C y T Cristo de la Exaltación,Sevilla
77,La Mision,,2000,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=C y T Cristo de la Exaltación,Sevilla
77,La Mision,,2001,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=C y T Cristo de la Exaltación,Sevilla
77,La Mision,,2002,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=C y T Cristo de la Exaltación,Sevilla
7,La Mision,,2003,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=C y T Ntra. Sra. del Sol,Sevilla
7,La Mision,,2004,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=C y T Ntra. Sra. del Sol,Sevilla
7,La Mision,,2005,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=C y T Ntra. Sra. del Sol,Sevilla
7,La Mision,,2006,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=C y T Ntra. Sra. del Sol,Sevilla
7,La Mision,,2007,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=C y T Ntra. Sra. del Sol,Sevilla
236,Pino Montano,Paso de Misterio,1992,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=AM Nuestro Padre Jesus de Nazareth,Sevilla
108,Pino Montano,Paso de Misterio,1994,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=AM Stma. Trinidad,Sevilla
108,Pino Montano,Paso de Misterio,1995,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=AM Stma. Trinidad,Sevilla
108,Pino Montano,Paso de Misterio,1996,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=AM Stma. Trinidad,Sevilla
249,Dulce Nombre de Bellavista,Paso de Misterio,1995,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=CCTT Dulce Nombre de Maria,Sevilla
16,Dulce Nombre de Bellavista,Paso de Misterio,1996,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=CCTT Juvenil Las Cigarreras,Sevilla
23,Dulce Nombre de Bellavista,Paso de Misterio,1997,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=CCTT Presentacion al Pueblo de Dos Hermanas,Sevilla
23,Dulce Nombre de Bellavista,Paso de Misterio,1998,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=CCTT Presentacion al Pueblo de Dos Hermanas,Sevilla
23,Dulce Nombre de Bellavista,Paso de Misterio,1999,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=CCTT Presentacion al Pueblo de Dos Hermanas,Sevilla
52,Dulce Nombre de Bellavista,Paso de Misterio,2001,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=CCTT la Sed,Sevilla
6,Bendicion y Esperanza,,2008,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=AM Virgen de los Reyes,Sevilla
6,Bendicion y Esperanza,,2009,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=AM Virgen de los Reyes,Sevilla
6,Bendicion y Esperanza,,2013,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=AM Virgen de los Reyes,Sevilla
6,Bendicion y Esperanza,,2014,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=AM Virgen de los Reyes,Sevilla
6,Bendicion y Esperanza,,2015,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=AM Virgen de los Reyes,Sevilla
6,Bendicion y Esperanza,,2016,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=AM Virgen de los Reyes,Sevilla
267,Bendicion y Esperanza,,2017,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=AM Fraternitas,Sevilla
267,Bendicion y Esperanza,,2018,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=AM Fraternitas,Sevilla
267,Bendicion y Esperanza,,2019,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=AM Fraternitas,Sevilla
105,Padre Pio,Paso de Cristo,1996,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=A. M. María Inmaculada (Castilleja de la Cuesta),Sevilla
21,Padre Pio,Paso de Cristo,2000,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=A. M. de San Juan de Aznalfarache,Sevilla
21,Padre Pio,Paso de Cristo,2001,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=A. M. de San Juan de Aznalfarache,Sevilla
23,Padre Pio,Paso de Cristo,2005,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=B. Presentación al Pueblo de Dos Hermanas,Sevilla
23,Padre Pio,Paso de Cristo,2006,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=B. Presentación al Pueblo de Dos Hermanas,Sevilla
23,Padre Pio,Paso de Cristo,2007,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=B. Presentación al Pueblo de Dos Hermanas,Sevilla
23,Padre Pio,Paso de Cristo,2008,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=B. Presentación al Pueblo de Dos Hermanas,Sevilla
