banda_raw,n_filas_afectadas,motivo,ids_banda_candidatos,ejemplos
BM Cruz Roja,172,ambiguo_2_bandas_nombre_identico,"14,169",La Hiniesta / Paso de Palio / 1984 ; La Hiniesta / Paso de Palio / 1985 ; La Hiniesta / Paso de Palio / 1986
Sociedad Filarmonica Nuestra Senora del Carmen de Salteras,98,ambiguo_4_bandas_por_contencion,"101,171,214,263",Jesus Despojado / Paso de Palio / 1980 ; Jesus Despojado / Paso de Palio / 1981 ; Jesus Despojado / Paso de Palio / 1982
AM Redencion,64,ambiguo_3_bandas_nombre_identico,"11,163,2",Pino Montano / Paso de Misterio / 1993 ; Dulce Nombre de Bellavista / Paso de Misterio / 2006 ; Dulce Nombre de Bellavista / Paso de Misterio / 2007
CCTT Centuria Macarena,61,ambiguo_2_bandas_por_contencion,"279,5",Dolores de Torreblanca / Paso de Misterio / 1996 ; Dolores de Torreblanca / Paso de Misterio / 1997 ; Dolores de Torreblanca / Paso de Misterio / 1998
AM Ntra. Sra. de la Encarnación,56,ambiguo_3_bandas_nombre_identico,"15,254,64",Pino Montano / Paso de Cristo / 1997 ; Pino Montano / Paso de Cristo / 1998 ; Pino Montano / Paso de Cristo / 1999
AM Ntro Padre Jesús de la Redención,51,ambiguo_3_bandas_por_contencion,"11,163,2",La Espiga / Paso / 2026 ; La Milagrosa / Paso de Cristo / 2010 ; La Milagrosa / Paso de Cristo / 2011
B. Ntra. Sra. de la Victoria (Cigarreras),47,ambiguo_4_bandas_nombre_identico,"1,100,16,269",La Cena / Paso Cristo (Misterio) / 1980 ; La Cena / Paso Cristo (Misterio) / 1981 ; La Cena / Paso Cristo (Misterio) / 1982
BM Nuestra Señora del Carmen de Salteras,46,ambiguo_4_bandas_por_contencion,"101,171,214,263",Santa Genoveva / Paso de Palio / 1981 ; Santa Genoveva / Paso de Palio / 1982 ; Santa Genoveva / Paso de Palio / 1983
BM Nuestra Senora de la Victoria (Cigarreras),43,ambiguo_4_bandas_nombre_identico,"1,100,16,269",El Amor / Paso de Palio / 2000 ; El Amor / Paso de Palio / 2001 ; El Amor / Paso de Palio / 2002
AM Ntra. Sra. de la Encarnacion,42,ambiguo_3_bandas_nombre_identico,"15,254,64",Pino Montano / Paso de Misterio / 1997 ; Pino Montano / Paso de Misterio / 1998 ; Pino Montano / Paso de Misterio / 1999
CyT Ntra. Sra. de la Victoria (Cigarreras),42,ambiguo_4_bandas_nombre_identico,"1,100,16,269",San Gonzalo / Paso Cristo (Misterio) / 1985 ; San Gonzalo / Paso Cristo (Misterio) / 1986 ; San Gonzalo / Paso Cristo (Misterio) / 1987
AM Jesus Despojado,41,ambiguo_2_bandas_nombre_identico,"37,89",Jesus Despojado / Paso de Misterio / 1981 ; Jesus Despojado / Paso de Misterio / 1982 ; Jesus Despojado / Paso de Misterio / 1983
Banda de Musica de Nuestra Senora del Carmen de Salteras,40,ambiguo_4_bandas_por_contencion,"101,171,214,263",La Macarena / Paso de Palio / 1980 ; La Macarena / Paso de Palio / 1981 ; La Macarena / Paso de Palio / 1982
BM Municipal de Sevilla,40,ambiguo_6_bandas_por_contencion,"273,274,276,277,278,279",Santo Entierro / Paso de la Urna / 1980 ; Santo Entierro / Paso de la Urna / 1981 ; Santo Entierro / Paso de la Urna / 1982
AM Santa Maria Magdalena de Arahal,38,ambiguo_2_bandas_por_contencion,"22,275",El Beso de Judas / Paso de Misterio / 1980 ; El Beso de Judas / Paso de Misterio / 1981 ; El Beso de Judas / Paso de Misterio / 1982
B. Centuria Macarena,35,ambiguo_2_bandas_por_contencion,"279,5",San Roque / Paso de Cristo / 1980 ; San Roque / Paso de Cristo / 1981 ; San Roque / Paso de Cristo / 1982
B. Ntra. Sra. del Carmen de Salteras,35,ambiguo_4_bandas_por_contencion,"101,171,214,263",Pino Montano / Paso de Palio / 1996 ; Pino Montano / Paso de Palio / 1997 ; Pino Montano / Paso de Palio / 1998
AM Nuestra Señora de la Encarnación,32,ambiguo_3_bandas_nombre_identico,"15,254,64",San Benito / Paso de Misterio / 1995 ; San Benito / Paso de Misterio / 1996 ; San Benito / Paso de Misterio / 1997
CCTT Cristo de la Sangre,31,ambiguo_2_bandas_nombre_identico,"184,32",San Benito / Paso de Cristo / 1997 ; San Benito / Paso de Cristo / 1998 ; San Benito / Paso de Cristo / 1999
BM Ntra. Sra. de la Victoria (Cigarreras),27,ambiguo_4_bandas_nombre_identico,"1,100,16,269",El Amor / Paso de Virgen / 2000 ; El Amor / Paso de Virgen / 2001 ; El Amor / Paso de Virgen / 2002
BM Santa Cecilia,25,ambiguo_2_bandas_nombre_identico,"106,191",San Gonzalo / Paso de Palio / 1980 ; San Gonzalo / Paso de Palio / 1981 ; San Gonzalo / Paso de Palio / 1982
BM Nuestra Senora de la Victoria Las Cigarreras,24,ambiguo_4_bandas_por_contencion,"1,100,16,269",Las Cigarreras / Paso de Palio / 1996 ; Las Cigarreras / Paso de Palio / 1997 ; Las Cigarreras / Paso de Palio / 1998
Banda Municipal de Sevilla,23,ambiguo_6_bandas_por_contencion,"273,274,276,277,278,279",La Amargura / Paso de Palio / 1980 ; La Amargura / Paso de Palio / 1981 ; La Amargura / Paso de Palio / 1995
AM Ntra. Sra. De las Angustias,23,ambiguo_6_bandas_nombre_identico,"157,182,34,62,92,96",Santa Genoveva / Paso del Cautivo / 1982 ; Santa Genoveva / Paso del Cautivo / 1983 ; Santa Genoveva / Paso del Cautivo / 1984
AM Santa María Magdalena de Arahal,23,ambiguo_2_bandas_por_contencion,"22,275",San Benito / Paso de Misterio / 1985 ; San Benito / Paso de Misterio / 1986 ; San Benito / Paso de Misterio / 1987
B. de la Cruz Roja,22,ambiguo_2_bandas_nombre_identico,"14,169",La Hiniesta / Paso de Virgen / 1984 ; La Hiniesta / Paso de Virgen / 1985 ; La Hiniesta / Paso de Virgen / 1986
AM Ntro. Padre Jesús de la Redención,21,ambiguo_3_bandas_por_contencion,"11,163,2",Dulce Nombre de Bellavista / Paso de Cristo / 2006 ; Dulce Nombre de Bellavista / Paso de Cristo / 2007 ; Dulce Nombre de Bellavista / Paso de Cristo / 2008
CyT Centuria Macarena,21,ambiguo_2_bandas_por_contencion,"279,5",Las Aguas / Paso Cristo (Misterio) / 1980 ; Las Aguas / Paso Cristo (Misterio) / 1981 ; Las Aguas / Paso Cristo (Misterio) / 1982
"CyT Ntra Sra de la Victoria ""Cigarreras""",19,ambiguo_4_bandas_por_contencion,"1,100,16,269",La Mision /  / 2008 ; La Mision /  / 2009 ; La Mision /  / 2010
AM Sagrada Lanzada,18,ambiguo_2_bandas_nombre_identico,"121,83",La Borriquita / Paso de Misterio / 1982 ; La Borriquita / Paso de Misterio / 1983 ; La Borriquita / Paso de Misterio / 1984
BM Ntra Sra de la Victoria Cigarreras,18,ambiguo_4_bandas_por_contencion,"1,100,16,269",San Esteban / Paso de Palio / 2009 ; San Esteban / Paso de Palio / 2010 ; San Esteban / Paso de Palio / 2011
BM Nuestra Señora de la Victoria (Cigarreras),17,ambiguo_4_bandas_nombre_identico,"1,100,16,269",El Museo / Paso de Palio / 1998 ; El Museo / Paso de Palio / 1999 ; El Museo / Paso de Palio / 2000
AM Santa Cecilia,16,ambiguo_2_bandas_nombre_identico,"106,191",Bendicion y Esperanza /  / 2010 ; Bendicion y Esperanza /  / 2011 ; Bendicion y Esperanza /  / 2012
AM Ntra. Sra. de los Reyes,16,ambiguo_2_bandas_por_contencion,"276,6",Dolores de Torreblanca / Paso de Misterio / 2003 ; Dolores de Torreblanca / Paso de Misterio / 2004 ; Dolores de Torreblanca / Paso de Misterio / 2005
