banda_raw,n_filas_afectadas,motivo,ejemplos
BM Maestro Tejera,232,sin_match,La Cena / Paso de Palio / 1980 ; La Cena / Paso de Palio / 1981 ; La Cena / Paso de Palio / 1982
Sociedad Filarmonica Nuestra Senora de la Oliva de Salteras,80,sin_match,La Estrella / Paso de Palio / 1981 ; La Estrella / Paso de Palio / 1982 ; La Estrella / Paso de Palio / 1983
Soc. F. Ntra. Sra. de la Oliva de Salteras,67,sin_match,El Museo / Paso de Palio / 2006 ; El Museo / Paso de Palio / 2007 ; El Museo / Paso de Palio / 2008
Banda Municipal de La Puebla del Río,59,sin_match,Las Aguas / Paso de Palio / 1980 ; Las Aguas / Paso de Palio / 1981 ; Las Aguas / Paso de Palio / 1982
BM Santa Ana de Dos Hermanas,51,sin_match,La Paz / Paso de Palio / 2006 ; La Paz / Paso de Palio / 2007 ; La Paz / Paso de Palio / 2008
AM Sta. Mª Magdalena (Arahal),47,sin_match,La Hiniesta / Paso de Cristo / 1980 ; La Hiniesta / Paso de Cristo / 1981 ; La Hiniesta / Paso de Cristo / 1982
B. del Maestro Tejera,47,sin_match,La Cena / Paso de Virgen / 1980 ; La Cena / Paso de Virgen / 1981 ; La Cena / Paso de Virgen / 1982
BM Nuestra Senora del Aguila de Alcala de Guadaira,40,sin_match,Los Servitas / Paso de Cristo / 1980 ; Los Servitas / Paso de Cristo / 1981 ; Los Servitas / Paso de Cristo / 1982
BM Agrupacion de Guillena,29,sin_match,San Roque / Paso de Palio / 1980 ; San Roque / Paso de Palio / 1981 ; San Roque / Paso de Palio / 1982
BM Julián Cerdán de Sanlúcar,28,sin_match,Los Javieres / Paso de Palio / 1999 ; Los Javieres / Paso de Palio / 2000 ; Los Javieres / Paso de Palio / 2001
BM Nuestra Señora de la Oliva de Salteras,27,sin_match,El Beso de Judas / Paso de Palio / 1982 ; El Beso de Judas / Paso de Palio / 1983 ; El Beso de Judas / Paso de Palio / 1984
BM Nuestra Señora del Águila de Alcalá de Guadaira,26,sin_match,Los Estudiantes / Paso de Palio / 2001 ; Los Estudiantes / Paso de Palio / 2002 ; Los Estudiantes / Paso de Palio / 2003
B. Santa Ana Dos Hermanas,25,sin_match,Dulce Nombre de Bellavista / Paso de Palio / 2002 ; Dulce Nombre de Bellavista / Paso de Palio / 2003 ; Dulce Nombre de Bellavista / Paso de Palio / 2004
BM Mecanizada Guzmán el Bueno (Soria 9),24,sin_match,El Museo / Paso de Palio / 1985 ; El Museo / Paso de Palio / 1986 ; El Museo / Paso de Palio / 1987
Sociedad Filarmónica de Pilas,22,sin_match,El Beso de Judas / Paso de Palio / 1996 ; El Beso de Judas / Paso de Palio / 1997 ; El Beso de Judas / Paso de Palio / 1998
BM Filarmonica de Pilas,22,sin_match,La Lanzada / Paso de Palio / 1994 ; La Lanzada / Paso de Palio / 1995 ; La Lanzada / Paso de Palio / 1996
Soc. Filarmónica Nuestra Señora de la Oliva de Salteras,21,sin_match,El Dulce Nombre / Paso de Palio / 2006 ; El Dulce Nombre / Paso de Palio / 2007 ; El Dulce Nombre / Paso de Palio / 2008
B. Santa Ana de Dos Hermanas,21,sin_match,Divino Perdon de Alcosa / Paso de Palio / 2025 ; Divino Perdon de Alcosa / Paso de Palio / 2026 ; La Paz / Paso de Virgen / 2006
Agrupacion Musical Nuestra Senora del Aguila,19,sin_match,La Amargura / Paso de Palio / 2000 ; La Amargura / Paso de Palio / 2001 ; La Amargura / Paso de Palio / 2002
BM Ntra. Sra. del Águila de Alcalá de Guadaira,19,sin_match,La Amargura / Paso de Virgen / 2000 ; La Amargura / Paso de Virgen / 2001 ; La Amargura / Paso de Virgen / 2002
BM Santa Maria del Alcor,18,sin_match,Jesus Despojado / Paso de Palio / 1990 ; La Estrella / Paso de Palio / 1980 ; El Amor / Paso de Palio / 1984
AM San Esteban,18,sin_match,San Esteban / Paso de Misterio / 1980 ; San Esteban / Paso de Misterio / 1981 ; San Esteban / Paso de Misterio / 1982
Sociedad Filarmonica de Pilas,17,sin_match,Jesus Despojado / Paso de Palio / 1993 ; Jesus Despojado / Paso de Palio / 1994 ; Jesus Despojado / Paso de Palio / 1995
BM Municipal de Mairena del Alcor,17,sin_match,La Hiniesta / Paso de Palio / 2019 ; El Beso de Judas / Paso de Palio / 2005 ; El Beso de Judas / Paso de Palio / 2006
Sociedad Filarmonica Nuestra Senora de la Oliva de Salteras hasta la Catedral y Banda Municipal de Mairena del Alcor desde la Catedral,17,doblete_dos_bandas,La Sed / Paso de Palio / 2003 ; La Sed / Paso de Palio / 2004 ; La Sed / Paso de Palio / 2005
BM Santa Ana,17,sin_match,Los Panaderos / Paso de Palio / 2003 ; Los Panaderos / Paso de Palio / 2004 ; Los Panaderos / Paso de Palio / 2005
Soc. Filarmónica de Pilas,17,sin_match,Jesus Despojado / Paso de Virgen / 1993 ; Jesus Despojado / Paso de Virgen / 1994 ; Jesus Despojado / Paso de Virgen / 1995
Banda Municipal de Guillena,16,sin_match,San Benito / Paso de Palio / 1995 ; San Benito / Paso de Palio / 1996 ; San Benito / Paso de Palio / 1997
BM Santa María del Alcor,15,sin_match,San Benito / Paso de Palio / 1980 ; San Benito / Paso de Palio / 1981 ; San Benito / Paso de Palio / 1982
BM Municipal de la Puebla del Rio,15,sin_match,Montesion / Paso de Palio / 2001 ; Montesion / Paso de Palio / 2002 ; Montesion / Paso de Palio / 2003
B. Rgto. Soria 9,15,sin_match,La Paz / Paso de Virgen / 1985 ; La Paz / Paso de Virgen / 1986 ; La Paz / Paso de Virgen / 1987
CyT Cristo de las Tres Caídas (ida)/CyT San Juan Evangelista (vuelta),15,doblete_dos_bandas,San Pablo / Paso de Cristo / 2008 ; San Pablo / Paso de Cristo / 2009 ; San Pablo / Paso de Cristo / 2010
B. Liceo de Moguer,14,sin_match,Jesus Despojado / Paso de Virgen / 2013 ; Jesus Despojado / Paso de Virgen / 2014 ; Jesus Despojado / Paso de Virgen / 2015
B. Ntra. Sra. de Guaditoca (Guadalcanal),13,sin_match,Padre Pio / Paso de Palio / 2000 ; Padre Pio / Paso de Palio / 2001 ; Padre Pio / Paso de Palio / 2002
BM Mecanizada Guzman el Bueno (Soria 9),12,sin_match,La Paz / Paso de Palio / 1985 ; La Paz / Paso de Palio / 1986 ; La Paz / Paso de Palio / 1987
CCTT Tres Caidas (Salida hasta la Catedral) / CCTT San Juan Evangelista (Catedral hasta la Entrada),12,doblete_dos_bandas,San Pablo / Paso de Misterio / 2008 ; San Pablo / Paso de Misterio / 2009 ; San Pablo / Paso de Misterio / 2010
A. Musical de Guillena,12,sin_match,Jesus Despojado / Paso de Virgen / 1989 ; San Roque / Paso de Virgen / 1980 ; San Roque / Paso de Virgen / 1981
BM Ntra Sra de la Victoria de Las Cigarreras (ida) y BM Virgen del Castillo de Lebrija (vuelta),11,doblete_dos_bandas,San Pablo / Paso de Palio / 2014 ; San Pablo / Paso de Palio / 2015 ; San Pablo / Paso de Palio / 2016
BM Division Mecanizada Guzman el Bueno (Soria 9),11,sin_match,Soledad de San Buenaventura /  / 1987 ; Soledad de San Buenaventura /  / 1988 ; Soledad de San Buenaventura /  / 1989
B. Virgen del Castillo (Lebrija),11,sin_match,San Jose Obrero / Paso de Virgen / 2009 ; San Jose Obrero / Paso de Virgen / 2010 ; San Jose Obrero / Paso de Virgen / 2011
BM Asociacion Musical Utrerana,10,sin_match,El Valle / Paso de Palio / 1985 ; El Valle / Paso de Palio / 1986 ; El Valle / Paso de Palio / 1987
BM Agrupacion Nazarena Municipal de Dos Hermanas,9,sin_match,Cristo de Burgos / Paso de Palio / 1992 ; Cristo de Burgos / Paso de Palio / 1993 ; Cristo de Burgos / Paso de Palio / 1994
BM Municipal de Coria del Rio,9,sin_match,Las Siete Palabras / Paso de Palio / 2000 ; Las Siete Palabras / Paso de Palio / 2001 ; Las Siete Palabras / Paso de Palio / 2002
B. de la Veracruz de Utrera,9,sin_match,Jesus Despojado / Paso de Cristo / 1996 ; Jesus Despojado / Paso de Cristo / 1997 ; Jesus Despojado / Paso de Cristo / 1998
BM Guzman el Bueno (Soria 9),8,sin_match,Los Panaderos / Paso de Palio / 1989 ; Los Panaderos / Paso de Palio / 1990 ; Los Panaderos / Paso de Palio / 1991
BM Mairena del Alcor,8,sin_match,La Hiniesta / Paso de Virgen / 2019 ; La Hiniesta / Paso de Virgen / 2020 ; La Hiniesta / Paso de Virgen / 2021
Liceo de Moguer,7,sin_match,Jesus Despojado / Paso de Palio / 2013 ; Jesus Despojado / Paso de Palio / 2014 ; Jesus Despojado / Paso de Palio / 2015
BM Cuartel General Region Sur (Soria 9),7,sin_match,La Paz / Paso de Palio / 1997 ; La Paz / Paso de Palio / 1998 ; La Paz / Paso de Palio / 1999
Asociacion Musical Utrerana,7,sin_match,La Amargura / Paso de Palio / 1988 ; La Amargura / Paso de Palio / 1989 ; La Amargura / Paso de Palio / 1990
BM Municipal de Aznalcollar,7,sin_match,El Carmen / Paso de Palio / 2013 ; El Carmen / Paso de Palio / 2014 ; El Carmen / Paso de Palio / 2015
BM Nuestra Senora del Aguila de Alcala,7,sin_match,Las Siete Palabras / Paso de Palio / 2010 ; Las Siete Palabras / Paso de Palio / 2011 ; Las Siete Palabras / Paso de Palio / 2012
AM Sta. Ma Magdalena (Arahal),7,sin_match,La Trinidad / Paso de las Cinco Llagas / 1980 ; La Trinidad / Paso de las Cinco Llagas / 1981 ; La Trinidad / Paso de las Cinco Llagas / 1982
