hermandad,titular,anio,banda_raw,fuentes
San Pablo,Paso de Misterio,2008,CCTT Tres Caidas (Salida hasta la Catedral) / CCTT San Juan Evangelista (Catedral hasta la Entrada),foro-2019-josemariumb
San Pablo,Paso de Misterio,2009,CCTT Tres Caidas (Salida hasta la Catedral) / CCTT San Juan Evangelista (Catedral hasta la Entrada),foro-2019-josemariumb
San Pablo,Paso de Misterio,2010,CCTT Tres Caidas (Salida hasta la Catedral) / CCTT San Juan Evangelista (Catedral hasta la Entrada),foro-2019-josemariumb
San Pablo,Paso de Misterio,2011,CCTT Tres Caidas (Salida hasta la Catedral) / CCTT San Juan Evangelista (Catedral hasta la Entrada),foro-2019-josemariumb
San Pablo,Paso de Misterio,2012,CCTT Tres Caidas (Salida hasta la Catedral) / CCTT San Juan Evangelista (Catedral hasta la Entrada),foro-2019-josemariumb
San Pablo,Paso de Misterio,2013,CCTT Tres Caidas (Salida hasta la Catedral) / CCTT San Juan Evangelista (Catedral hasta la Entrada),foro-2019-josemariumb
San Pablo,Paso de Misterio,2014,CCTT Tres Caidas (Salida hasta la Catedral) / CCTT San Juan Evangelista (Catedral hasta la Entrada),foro-2019-josemariumb
San Pablo,Paso de Misterio,2015,CCTT Tres Caidas (Salida hasta la Catedral) / CCTT San Juan Evangelista (Catedral hasta la Entrada),foro-2019-josemariumb
San Pablo,Paso de Misterio,2016,CCTT Tres Caidas (Salida hasta la Catedral) / CCTT San Juan Evangelista (Catedral hasta la Entrada),foro-2019-josemariumb
San Pablo,Paso de Misterio,2017,CCTT Tres Caidas (Salida hasta la Catedral) / CCTT San Juan Evangelista (Catedral hasta la Entrada),foro-2019-josemariumb
San Pablo,Paso de Misterio,2018,CCTT Tres Caidas (Salida hasta la Catedral) / CCTT San Juan Evangelista (Catedral hasta la Entrada),foro-2019-josemariumb
San Pablo,Paso de Misterio,2019,CCTT Tres Caidas (Salida hasta la Catedral) / CCTT San Juan Evangelista (Catedral hasta la Entrada),foro-2019-josemariumb
San Pablo,Paso de Palio,2009,B. Castillo de Lebrija (ida) y B. Cruz Roja (vuelta),foro-2019-josemariumb;foro-2026-costalero_prado-carrera
San Pablo,Paso de Palio,2010,B. Castillo de Lebrija (ida) y B. Cruz Roja (vuelta),foro-2019-josemariumb;foro-2026-costalero_prado-carrera
San Pablo,Paso de Palio,2011,B. Castillo de Lebrija (ida) y B. Cruz Roja (vuelta),foro-2019-josemariumb;foro-2026-costalero_prado-carrera
San Pablo,Paso de Palio,2012,B. Castillo de Lebrija (ida) y B. Cruz Roja (vuelta),foro-2019-josemariumb;foro-2026-costalero_prado-carrera
San Pablo,Paso de Palio,2013,B. Castillo de Lebrija (ida) y B. Cruz Roja (vuelta),foro-2019-josemariumb;foro-2026-costalero_prado-carrera
San Pablo,Paso de Palio,2014,BM Ntra Sra de la Victoria de Las Cigarreras (ida) y BM Virgen del Castillo de Lebrija (vuelta),foro-2019-josemariumb;foro-2026-costalero_prado-carrera
San Pablo,Paso de Palio,2015,BM Ntra Sra de la Victoria de Las Cigarreras (ida) y BM Virgen del Castillo de Lebrija (vuelta),foro-2019-josemariumb;foro-2026-costalero_prado-carrera
San Pablo,Paso de Palio,2016,BM Ntra Sra de la Victoria de Las Cigarreras (ida) y BM Virgen del Castillo de Lebrija (vuelta),foro-2019-josemariumb;foro-2026-costalero_prado-carrera
San Pablo,Paso de Palio,2017,BM Ntra Sra de la Victoria de Las Cigarreras (ida) y BM Virgen del Castillo de Lebrija (vuelta),foro-2019-josemariumb;foro-2026-costalero_prado-carrera
San Pablo,Paso de Palio,2018,BM Ntra Sra de la Victoria de Las Cigarreras (ida) y BM Virgen del Castillo de Lebrija (vuelta),foro-2019-josemariumb;foro-2026-costalero_prado-carrera
San Pablo,Paso de Palio,2019,BM Ntra Sra de la Victoria de Las Cigarreras (ida) y BM Virgen del Castillo de Lebrija (vuelta),foro-2019-josemariumb;foro-2026-costalero_prado-carrera
Santa Genoveva,Paso del Cautivo,2007,CCTT Jesus Cautivo y Santiago Apostol (Sanlucar/Aznalcazar),foro-2019-josemariumb
Santa Genoveva,Paso del Cautivo,2008,CCTT Jesus Cautivo y Santiago Apostol (Sanlucar/Aznalcazar),foro-2019-josemariumb
Santa Genoveva,Paso del Cautivo,2009,CCTT Jesus Cautivo y Santiago Apostol (Sanlucar/Aznalcazar),foro-2019-josemariumb
Santa Genoveva,Paso del Cautivo,2010,CCTT Jesus Cautivo y Santiago Apostol (Sanlucar/Aznalcazar),foro-2019-josemariumb
El Carmen,Paso de Misterio,2007,CCTT Jesus Cautivo y Santiago (Sanlucar / Aznalcazar),foro-2019-josemariumb
El Carmen,Paso de Misterio,2008,CCTT Jesus Cautivo y Santiago (Sanlucar / Aznalcazar),foro-2019-josemariumb
El Carmen,Paso de Misterio,2009,CCTT Jesus Cautivo y Santiago (Sanlucar / Aznalcazar),foro-2019-josemariumb
El Carmen,Paso de Misterio,2010,CCTT Jesus Cautivo y Santiago (Sanlucar / Aznalcazar),foro-2019-josemariumb
El Carmen,Paso de Misterio,2011,CCTT Jesus Cautivo y Santiago (Sanlucar / Aznalcazar),foro-2019-josemariumb
El Carmen,Paso de Misterio,2012,CCTT Jesus Cautivo y Santiago (Sanlucar / Aznalcazar),foro-2019-josemariumb
La Sed,Paso de Cristo,2003,CCTT Cristo de la Sed (hasta la Encarnacion) / CCTT Nuestra Senora de la Salud de Utrera (desde la Encarnacion),foro-2019-josemariumb
La Sed,Paso de Palio,2003,Sociedad Filarmonica Nuestra Senora de la Oliva de Salteras hasta la Catedral y Banda Municipal de Mairena del Alcor desde la Catedral,foro-2019-josemariumb
La Sed,Paso de Palio,2004,Sociedad Filarmonica Nuestra Senora de la Oliva de Salteras hasta la Catedral y Banda Municipal de Mairena del Alcor desde la Catedral,foro-2019-josemariumb
La Sed,Paso de Palio,2005,Sociedad Filarmonica Nuestra Senora de la Oliva de Salteras hasta la Catedral y Banda Municipal de Mairena del Alcor desde la Catedral,foro-2019-josemariumb
La Sed,Paso de Palio,2006,Sociedad Filarmonica Nuestra Senora de la Oliva de Salteras hasta la Catedral y Banda Municipal de Mairena del Alcor desde la Catedral,foro-2019-josemariumb
La Sed,Paso de Palio,2007,Sociedad Filarmonica Nuestra Senora de la Oliva de Salteras hasta la Catedral y Banda Municipal de Mairena del Alcor desde la Catedral,foro-2019-josemariumb
La Sed,Paso de Palio,2008,Sociedad Filarmonica Nuestra Senora de la Oliva de Salteras hasta la Catedral y Banda Municipal de Mairena del Alcor desde la Catedral,foro-2019-josemariumb
La Sed,Paso de Palio,2009,Sociedad Filarmonica Nuestra Senora de la Oliva de Salteras hasta la Catedral y Banda Municipal de Mairena del Alcor desde la Catedral,foro-2019-josemariumb
La Sed,Paso de Palio,2010,Sociedad Filarmonica Nuestra Senora de la Oliva de Salteras hasta la Catedral y Banda Municipal de Mairena del Alcor desde la Catedral,foro-2019-josemariumb
La Sed,Paso de Palio,2011,Sociedad Filarmonica Nuestra Senora de la Oliva de Salteras hasta la Catedral y Banda Municipal de Mairena del Alcor desde la Catedral,foro-2019-josemariumb
La Sed,Paso de Palio,2012,Sociedad Filarmonica Nuestra Senora de la Oliva de Salteras hasta la Catedral y Banda Municipal de Mairena del Alcor desde la Catedral,foro-2019-josemariumb
La Sed,Paso de Palio,2013,Sociedad Filarmonica Nuestra Senora de la Oliva de Salteras hasta la Catedral y Banda Municipal de Mairena del Alcor desde la Catedral,foro-2019-josemariumb
La Sed,Paso de Palio,2014,Sociedad Filarmonica Nuestra Senora de la Oliva de Salteras hasta la Catedral y Banda Municipal de Mairena del Alcor desde la Catedral,foro-2019-josemariumb
La Sed,Paso de Palio,2015,Sociedad Filarmonica Nuestra Senora de la Oliva de Salteras hasta la Catedral y Banda Municipal de Mairena del Alcor desde la Catedral,foro-2019-josemariumb
La Sed,Paso de Palio,2016,Sociedad Filarmonica Nuestra Senora de la Oliva de Salteras hasta la Catedral y Banda Municipal de Mairena del Alcor desde la Catedral,foro-2019-josemariumb
La Sed,Paso de Palio,2017,Sociedad Filarmonica Nuestra Senora de la Oliva de Salteras hasta la Catedral y Banda Municipal de Mairena del Alcor desde la Catedral,foro-2019-josemariumb
