source,dia,hermandad,paso,anio,banda_raw,orig_line
foro-2026-costalero_prado-carrera,Lunes Santo,VERACRUZ,Paso de Cristo,1980,Sin música,1980-2005: Sin música
foro-2026-costalero_prado-carrera,Lunes Santo,VERACRUZ,Paso de Cristo,1981,Sin música,1980-2005: Sin música
foro-2026-costalero_prado-carrera,Lunes Santo,VERACRUZ,Paso de Cristo,1982,Sin música,1980-2005: Sin música
foro-2026-costalero_prado-carrera,Lunes Santo,VERACRUZ,Paso de Cristo,1983,Sin música,1980-2005: Sin música
foro-2026-costalero_prado-carrera,Lunes Santo,VERACRUZ,Paso de Cristo,1984,Sin música,1980-2005: Sin música
foro-2026-costalero_prado-carrera,Lunes Santo,VERACRUZ,Paso de Cristo,1985,Sin música,1980-2005: Sin música
foro-2026-costalero_prado-carrera,Lunes Santo,VERACRUZ,Paso de Cristo,1986,Sin música,1980-2005: Sin música
foro-2026-costalero_prado-carrera,Lunes Santo,VERACRUZ,Paso de Cristo,1987,Sin música,1980-2005: Sin música
foro-2026-costalero_prado-carrera,Lunes Santo,VERACRUZ,Paso de Cristo,1988,Sin música,1980-2005: Sin música
foro-2026-costalero_prado-carrera,Lunes Santo,VERACRUZ,Paso de Cristo,1989,Sin música,1980-2005: Sin música
foro-2026-costalero_prado-carrera,Lunes Santo,VERACRUZ,Paso de Cristo,1990,Sin música,1980-2005: Sin música
foro-2026-costalero_prado-carrera,Lunes Santo,VERACRUZ,Paso de Cristo,1991,Sin música,1980-2005: Sin música
foro-2026-costalero_prado-carrera,Lunes Santo,VERACRUZ,Paso de Cristo,1992,Sin música,1980-2005: Sin música
foro-2026-costalero_prado-carrera,Lunes Santo,VERACRUZ,Paso de Cristo,1993,Sin música,1980-2005: Sin música
foro-2026-costalero_prado-carrera,Lunes Santo,VERACRUZ,Paso de Cristo,1994,Sin música,1980-2005: Sin música
foro-2026-costalero_prado-carrera,Lunes Santo,VERACRUZ,Paso de Cristo,1995,Sin música,1980-2005: Sin música
foro-2026-costalero_prado-carrera,Lunes Santo,VERACRUZ,Paso de Cristo,1996,Sin música,1980-2005: Sin música
foro-2026-costalero_prado-carrera,Lunes Santo,VERACRUZ,Paso de Cristo,1997,Sin música,1980-2005: Sin música
foro-2026-costalero_prado-carrera,Lunes Santo,VERACRUZ,Paso de Cristo,1998,Sin música,1980-2005: Sin música
foro-2026-costalero_prado-carrera,Lunes Santo,VERACRUZ,Paso de Cristo,1999,Sin música,1980-2005: Sin música
foro-2026-costalero_prado-carrera,Lunes Santo,VERACRUZ,Paso de Cristo,2000,Sin música,1980-2005: Sin música
foro-2026-costalero_prado-carrera,Lunes Santo,VERACRUZ,Paso de Cristo,2001,Sin música,1980-2005: Sin música
foro-2026-costalero_prado-carrera,Lunes Santo,VERACRUZ,Paso de Cristo,2002,Sin música,1980-2005: Sin música
foro-2026-costalero_prado-carrera,Lunes Santo,VERACRUZ,Paso de Cristo,2003,Sin música,1980-2005: Sin música
foro-2026-costalero_prado-carrera,Lunes Santo,VERACRUZ,Paso de Cristo,2004,Sin música,1980-2005: Sin música
foro-2026-costalero_prado-carrera,Lunes Santo,VERACRUZ,Paso de Cristo,2005,Sin música,1980-2005: Sin música
foro-2026-costalero_prado-carrera,Lunes Santo,VERACRUZ,Paso de Cristo,2006,Música de Capilla (sin banda),2006-2026: Música de Capilla (sin banda)
foro-2026-costalero_prado-carrera,Lunes Santo,VERACRUZ,Paso de Cristo,2007,Música de Capilla (sin banda),2006-2026: Música de Capilla (sin banda)
foro-2026-costalero_prado-carrera,Lunes Santo,VERACRUZ,Paso de Cristo,2008,Música de Capilla (sin banda),2006-2026: Música de Capilla (sin banda)
foro-2026-costalero_prado-carrera,Lunes Santo,VERACRUZ,Paso de Cristo,2009,Música de Capilla (sin banda),2006-2026: Música de Capilla (sin banda)
foro-2026-costalero_prado-carrera,Lunes Santo,VERACRUZ,Paso de Cristo,2010,Música de Capilla (sin banda),2006-2026: Música de Capilla (sin banda)
