ID_BANDA,NOMBRE_COMPLETO,NOMBRE_BREVE,LOCALIDAD,PROVINCIA
0,Varias bandas,Varias bandas,,
1,Agrupación Musical Nuestra Señora De La Victoria,AM Victoria,Arahal,Sevilla
2,Agrupación Musical Nuestro Padre Jesús De La Redención,AM Redención,Córdoba,Córdoba
3,Agrupación Musical Cristo De La Misericordia,AM Misericordia,Lepe,Huelva
4,Agrupación Musical Cristo De La Buena Muerte,AM Buena Muerte,Ayamonte,Huelva
5,Banda De Cornetas Y Tambores De La Centuria Romana Macarena,BCT Centuria Romana Macarena,Sevilla,Sevilla
6,Agrupación Musical Virgen De Los Reyes,AM Virgen de los Reyes,Sevilla,Sevilla
7,Banda De Cornetas Y Tambores Nuestra Señora Del Sol,BCT Sol,Sevilla,Sevilla
8,Banda De Cornetas Y Tambores Nuestra Señora De La Fuensanta,BCT Fuensanta,Córdoba,Córdoba
9,Agrupación Musical Paz Y Caridad,AM Paz y Caridad,Estepa,Sevilla
10,Agrupación Musical Nuestro Padre Jesús De Los Afligidos,AM Afligidos,Puente Genil,Córdoba
11,Agrupación Musical Nuestro Padre Jesús De La Redención,AM Redención,Sevilla,Sevilla
12,Agrupación Musical Santa Marta Y Sagrada Cena,AM Sagrada Cena,León,León
13,Banda De Cornetas Y Tambores Nuestro Padre Jesús Cautivo Y Santiago Apostol ,BCT Cautivo y Santiago,Sanlúcar la Mayor y Aznalcázar,Sevilla
14,Agrupación Musical Cruz Roja,AM Cruz Roja,Tobarra,Albacete
15,Agrupación Musical Nuestra Señora De La Encarnación,AM Encarnación,Almuñécar,Granada
16,Banda De Cornetas Y Tambores Nuestra Señora De La Victoria,BCT Las Cigarreras,Sevilla,Sevilla
17,Agrupación Musical Nuestro Padre Jesús Nazareno De La Fuensanta,AM Fuensanta,Morón de la Frontera,Sevilla
18,Banda De Cornetas Y Tambores Santísimo Cristo De La Caridad (Santa Marta),BCT Caridad,Jerez de la Frontera,Cádiz
19,Banda De Cornetas Y Tambores Nuestro Padre Jesús Nazareno,BCT Jesús Nazareno,Mairena del Alcor,Sevilla
20,Banda De Cornetas Y Tambores Santísimo Cristo De Las Tres Caídas,BCT Tres Caidas de Triana,Sevilla,Sevilla
21,Agrupación Musical San Juan De Aznalfarache,AM San Juan de Aznalfarache,San Juan de Aznalfarache,Sevilla
22,Agrupación Musical Santa María Magdalena,AM Santa María Magdalena,Arahal,Sevilla
23,Banda De Cornetas Y Tambores Nuestro Padre Jesús En La Presentación Al Pueblo,BCT Presentación al Pueblo,Dos Hermanas,Sevilla
24,Banda De Cornetas Y Tambores Nuestra Señora Del Rosario,BCT Rosario,Cádiz,Cádiz
25,Agrupación Musical Polillas,AM Polillas,Cádiz,Cádiz
26,Agrupación Musical Nuestro Padre Jesús De La Salud (Los Gitanos),AM La Salud,Sevilla,Sevilla
27,Agrupación Musical Nuestro Padre Jesús De La Piedad En Su Presentación Al Pueblo,AM Estrella,Jaén,Jaén
28,Agrupación Musical La Sentencia,AM Sentencia,Jerez de la Frontera,Cádiz
29,Agrupación Musical Fusionada San Juan Evangelista Y Santo Sepulcro,AM San Juan Evangelista y Santo Sepulcro,Bailén y Sabiote,Jaén
30,Agrupación Musical Virgen De La Oliva,AM Virgen de la Oliva,Vejer de la Frontera,Cádiz
31,Banda De Cornetas Y Tambores Coronación De Espinas,BCT Coronación de Espinas,Córdoba,Córdoba
32,Banda De Cornetas Y Tambores Santísimo Cristo De La Sangre (San Benito),BCT Cristo de la Sangre,Sevilla,Sevilla
33,Agrupación Musical San Juan,AM San Juan,Jerez de la Frontera,Cádiz
34,Agrupación Musical Nuestra Señora De Las Angustias,AM Angustias,Alcalá la Real,Jaén
35,Agrupación Musical Dulce Nombre De Jesús,AM Dulce Nombre de Jesús,Marchena,Sevilla
36,Banda De Cornetas Y Tambores San Juan Evangelista,BCT San Juan Evangelista,Sevilla,Sevilla
37,Agrupación Musical Nuestro Padre Jesús Despojado,AM Jesús Despojado,Jaén,Jaén
38,Banda De Cornetas Y Tambores Nuestro Padre Jesús Cautivo (Santa Genoveva),BCT Cautivo,Sevilla,Sevilla
39,Banda De Cornetas Y Tambores Fundación Alcalde Zoilo Ruiz-Mateos,BCT Zoilo Ruiz-Mateos,Rota,Cádiz
40,Agrupación Musical Santísimo Cristo De Gracia,AM Cristo de Gracia,Córdoba,Córdoba
41,Agrupación Musical Santísimo Cristo De Humildad Y Paciencia,AM Humildad y Paciencia,San Fernando,Cádiz
