ID_CONTRATO,ID_BANDA,HERMANDAD,HERMANDAD_SLUG,TITULAR,ANIO
7,278,Bendicion y Esperanza,bendicion-y-esperanza,Cruz de Guia,2026
8,267,Bendicion y Esperanza,bendicion-y-esperanza,Paso de Misterio,2026
14,277,Divino Perdon de Alcosa,divino-perdon-de-alcosa,Cruz de Guia,2026
15,64,Divino Perdon de Alcosa,divino-perdon-de-alcosa,Paso de Misterio,2026
12,279,Dolores de Torreblanca,dolores-de-torreblanca,Cruz de Guia,2026
13,28,Dolores de Torreblanca,dolores-de-torreblanca,Paso de Misterio,2026
3,273,Dulce Nombre de Bellavista,dulce-nombre-de-bellavista,Cruz de Guia,2026
4,11,Dulce Nombre de Bellavista,dulce-nombre-de-bellavista,Paso de Misterio,2026
69,157,El Baratillo,el-baratillo,Cruz de Guia,2026
70,7,El Baratillo,el-baratillo,Paso de Misterio,2026
63,279,El Buen Fin,el-buen-fin,Cruz de Guia,2026
64,5,El Buen Fin,el-buen-fin,Paso de Misterio,2026
60,48,El Carmen Doloroso,el-carmen-doloroso,Paso de Misterio,2026
50,71,El Cerro del Aguila,el-cerro-del-aguila,Cruz de Guia,2026
52,5,El Cerro del Aguila,el-cerro-del-aguila,Paso de Misterio,2026
51,141,El Cerro del Aguila,el-cerro-del-aguila,Paso del Nazareno,2026
56,16,El Dulce Nombre,el-dulce-nombre,Paso de Misterio,2026
86,267,El Sol,el-sol,Cruz de Guia,2026
87,7,El Sol,el-sol,Paso de Misterio,2026
25,276,Jesus Despojado,jesus-despojado,Cruz de Guia,2026
26,6,Jesus Despojado,jesus-despojado,Paso de Misterio,2026
35,20,La Amargura,la-amargura,Paso de Misterio,2026
23,91,La Borriquita,la-borriquita,Cruz de Guia,2026
24,7,La Borriquita,la-borriquita,Paso de Misterio,2026
57,279,La Candelaria,la-candelaria,Cruz de Guia,2026
58,20,La Candelaria,la-candelaria,Paso de Misterio,2026
83,16,La Carreteria,la-carreteria,Paso de Misterio,2026
32,16,La Cena,la-cena,Paso de Misterio,2026
79,36,La Esperanza de Triana,la-esperanza-de-triana,Cruz de Guia,2026
80,20,La Esperanza de Triana,la-esperanza-de-triana,Paso de Misterio,2026
21,273,La Espiga,la-espiga,Cruz de Guia,2026
22,11,La Espiga,la-espiga,Paso de Misterio,2026
36,280,La Estrella,la-estrella,Cruz de Guia,2026
37,24,La Estrella,la-estrella,Paso de Misterio,2026
73,24,La Exaltacion,la-exaltacion,Paso de Misterio,2026
27,275,La Hiniesta,la-hiniesta,Cruz de Guia,2026
28,157,La Hiniesta,la-hiniesta,Cruz de Guia,2026
29,22,La Hiniesta,la-hiniesta,Paso de Misterio,2026
67,273,La Lanzada,la-lanzada,Cruz de Guia,2026
68,20,La Lanzada,la-lanzada,Paso de Misterio,2026
77,279,La Macarena,la-macarena,Cruz de Guia,2026
78,5,La Macarena,la-macarena,Paso de Misterio,2026
10,276,La Milagrosa,la-milagrosa,Cruz de Guia,2026
11,6,La Milagrosa,la-milagrosa,Paso de Misterio,2026
1,91,La Mision,la-mision,Cruz de Guia,2026
2,16,La Mision,la-mision,Paso de Misterio,2026
84,7,La O,la-o,Paso de Misterio,2026
30,279,La Paz,la-paz,Cruz de Guia,2026
31,64,La Paz,la-paz,Paso de Misterio,2026
42,273,La Redencion,la-redencion,Cruz de Guia,2026
43,11,La Redencion,la-redencion,Paso de Misterio,2026
91,276,La Resurreccion,la-resurreccion,Cruz de Guia,2026
92,6,La Resurreccion,la-resurreccion,Paso de Misterio,2026
61,278,La Sed,la-sed,Cruz de Guia,2026
62,24,La Sed,la-sed,Paso de Cristo,2026
88,91,La Trinidad,la-trinidad,Cruz de Guia,2026
89,16,La Trinidad,la-trinidad,Paso Alegorico,2026
90,20,La Trinidad,la-trinidad,Paso de Misterio,2026
48,279,Las Aguas,las-aguas,Cruz de Guia,2026
49,24,Las Aguas,las-aguas,Paso de Misterio,2026
74,91,Las Cigarreras,las-cigarreras,Cruz de Guia,2026
75,16,Las Cigarreras,las-cigarreras,Paso de Misterio,2026
20,7,Las Maravillas,las-maravillas,Paso de Misterio,2026
72,113,Las Siete Palabras,las-siete-palabras,Paso de Cristo,2026
81,157,Los Gitanos,los-gitanos,Cruz de Guia,2026
82,26,Los Gitanos,los-gitanos,Paso de Misterio,2026
71,16,Los Panaderos,los-panaderos,Paso de Misterio,2026
76,275,Montesion,montesion,Paso de Misterio,2026
85,20,Montserrat,montserrat,Paso de Misterio,2026
18,69,Padre Pio,padre-pio,Paso de Misterio,2026
9,71,Paz y Misericordia,paz-y-misericordia,Paso de Misterio,2026
5,279,Pino Montano,pino-montano,Cruz de Guia,2026
6,64,Pino Montano,pino-montano,Paso de Misterio,2026
53,274,San Benito,san-benito,Cruz de Guia,2026
55,32,San Benito,san-benito,Paso de Cristo,2026
54,64,San Benito,san-benito,Paso de Misterio,2026
65,281,San Bernardo,san-bernardo,Cruz de Guia,2026
66,23,San Bernardo,san-bernardo,Paso de Misterio,2026
59,6,San Esteban,san-esteban,Paso de Misterio,2026
46,91,San Gonzalo,san-gonzalo,Cruz de Guia,2026
47,16,San Gonzalo,san-gonzalo,Paso de Misterio,2026
19,55,San Jeronimo,san-jeronimo,Paso de Misterio,2026
16,157,San Jose Obrero,san-jose-obrero,Cruz de Guia,2026
17,26,San Jose Obrero,san-jose-obrero,Paso de Misterio,2026
38,275,San Pablo,san-pablo,Cruz de Guia,2026
39,276,San Pablo,san-pablo,Cruz de Guia,2026
40,22,San Pablo,san-pablo,Paso de Misterio,2026
41,6,San Pablo,san-pablo,Paso de Misterio,2026
33,157,San Roque,san-roque,Cruz de Guia,2026
34,141,San Roque,san-roque,Paso de Misterio,2026
44,157,Santa Genoveva,santa-genoveva,Cruz de Guia,2026
45,48,Santa Genoveva,santa-genoveva,Paso de Misterio,2026
