HERMANDAD_SLUG,HERMANDAD_NOMBRE,PASO_NOMBRE,BANDA_RAW_TEXT,BANDA_ID_CANDIDATA,BANDA_NOMBRE_CANDIDATA,BANDA_LOCALIDAD_CANDIDATA,MOTIVO_MATCH,CONFIANZA,NOTA
entrada-triunfal,"Entrada Triunfal","El Señor de los Reyes","Banda de Cornetas y Tambores Caído y Fuensanta. (Córdoba)",283,"BCT Caído y Fuensanta",Córdoba,unico,alta,"banda fusionada creada 2026-09-07 a partir de #8+#98, confirmado por el usuario"
penas-de-santiago,"Penas de Santiago","Cristo de las Penas","Agrupación Musical Ntro. Padre Jesús de la Salud - Sección Musical de la Hermandad de los Gitanos de Sevilla",26,"Agrupación Musical Nuestro Padre Jesús De La Salud (Los Gitanos)",Sevilla,unico,alta,"texto completo tomado del .txt: cordoba_extraido.csv lo trae truncado en ""Ntro."""
huerto,Huerto,"La Oración en el Huerto","Agrupación Musical de Nuestro Padre Jesús de la Redención (Córdoba)",2,"Agrupación Musical Nuestro Padre Jesús De La Redención",Córdoba,unico,alta,
huerto,Huerto,"El Señor Amarrado a la Columna","Asociación Musical Utrerana (Utrera)",,,,sin_match,baja,
rescatado,Rescatado,"El Rescatado","Banda de Cornetas y Tambores Nuestro Padre Jesús Nazareno de Arahal",175,"Banda de Cornetas y Tambores Nuestro Padre Jesús Nazareno",Arahal,unico,alta,
vera-cruz,"Vera Cruz","Cristo del Amor","Banda de cornetas y tambores de Nuestra Señora del Rosario de Linares",131,"Banda De Cornetas Y Tambores Nuestra Señora Del Rosario",Linares,unico,alta,"la ficha llama a este paso ""el Señor de los Reyes"" (parece copia errónea del título de Entrada Triunfal); ya se cargó como ""Cristo del Amor"" tras cruzar con yescordoba.es, ver docs/acompanamientos-nomina-2026.md"
esperanza,Esperanza,"Jesús de las Penas","Agrupación Musical Pasión de Linares",48,"Agrupación Musical Nuestro Padre Jesús De La Pasión",Linares,unico,alta,
amor,Amor,"Jesús del Silencio","Banda de CCTT Nuestra Señora de la Salud",129,"Banda De Cornetas Y Tambores Nuestra Señora De La Salud",Córdoba,cordoba_por_defecto,media,"paso de misterio; el texto no da localidad para esta banda"
amor,Amor,"Cristo del Amor","Banda de CCTT Maestro Valero (Aguilar de la Fra.)",,,,sin_match,baja,
merced,Merced,"Jesús Humilde","Banda de Cornetas y Tambores de la Coronación de Espinas de Córdoba",31,"Banda De Cornetas Y Tambores Coronación De Espinas",Córdoba,unico,alta,
