DIA,DIA_ORDEN,ORDEN_POR_CO,NOMBRE,LOCALIZACION,HORA_SALIDA,HORA_CO,HORA_ENTRADA,MENCIONA_CCTT_AM,ACOMPANAMIENTO_RAW,CONTEXTO_FICHA
Sabado de Pasion,1,,La O,Parroquia de Nuestra Señora de la Aurora,,,,False,,
Domingo de Ramos,2,,Lágrimas,Parroquia de la Asunción de Nuestra Señora,,,,False,,
Domingo de Ramos,2,1,Entrada Triunfal,Parroquia de San Lorenzo,09:45,12:00,16:00,True,En el paso de Nuestro Padre Jesús de los Reyes la Banda de Cornetas y Tambores Caído y Fuensanta. (Córdoba). En el paso de Nuestra Señora de la Palma la Banda Municipal Sinfónica (Dos Torres).,En el paso de Nuestro Padre Jesús de los Reyes la Banda de Cornetas y Tambores Caído y Fuensanta. (Córdoba). En el paso de Nuestra Señora de la Palma la Banda Municipal Sinfónica (Dos Torres). Montura de la borriquita y hábitos de nazareno.
Domingo de Ramos,2,2,Penas de Santiago,Parroquia de Santiago Apóstol,16:00,17:30,22:00,True,En el paso del Santísimo Cristo de las penas la Agrupación Musical Ntro. En el paso de María Santísima de la Concepción la Banda de Música “Las Golondrinas” de Vélez-Málaga.,En el paso del Santísimo Cristo de las penas la Agrupación Musical Ntro. Padre Jesús de la Salud - Sección Musical de la Hermandad de los Gitanos de Sevilla. En el paso de María Santísima de la Concepción la Banda de Música “Las Golondrinas” de Vélez-Málaga. Se informarán de todos ellos a través de sus Redes Sociales.
Domingo de Ramos,2,3,Huerto,Parroquia de San Francisco y San Eulogio,17:00,18:05,22:40,True,En el paso de Nuestro Padre Jesús de la Oración en el Huerto la Agrupación Musical de Nuestro Padre Jesús de la Redención (Córdoba). En el paso del Señor Amarrado a la Columna la Asociación Musical Utrerana (Utrera). En el paso de María Santísima de la Candelaria la Banda de Música Tubamirum. (Cañete de las Torres).,En el paso de Nuestro Padre Jesús de la Oración en el Huerto la Agrupación Musical de Nuestro Padre Jesús de la Redención (Córdoba). En el paso del Señor Amarrado a la Columna la Asociación Musical Utrerana (Utrera). En el paso de María Santísima de la Candelaria la Banda de Música Tubamirum. (Cañete de las Torres). El pasado año 2025 la hermandad celebró el 50 aniversario de su refundación con un gran programa de actos entre los que destacó una misión de Nuestro Padre jesús de la Oración en el Huerto a la Parroquia de San Ignacio de Loyola.
Domingo de Ramos,2,4,Rescatado,Parroquia de Nuestra Señora de Gracia (Trinitarios),16:05,18:46,23:15,True,En el paso de Nuestro Padre Jesús Nazareno Rescatado la Banda de Cornetas y Tambores Nuestro Padre Jesús Nazareno de Arahal. En el paso de María Santísima de la Amargura la Banda de Música La Estrella de Córdoba.,"En el paso de Nuestro Padre Jesús Nazareno Rescatado la Banda de Cornetas y Tambores Nuestro Padre Jesús Nazareno de Arahal. En el paso de María Santísima de la Amargura la Banda de Música La Estrella de Córdoba. Restauración y limpieza de la Túnica de Torero de Nuestro Padre Jesús Nazareno Rescatado, donada por el diestro D. Rafael Sánchez Saco en la década de los cincuenta. Limpieza a cargo de D. Juan Pablo Morales."
Domingo de Ramos,2,5,Vera Cruz,Parroquia de San José y Espíritu Santo,18:00,19:22,23:50,True,Banda de cornetas y tambores de Nuestra Señora del Rosario de Linares tras el paso del Señor de los Reyes y la Banda de música de Nuestra Señora del Rosario de Prado del Rey (Cádiz) tras el paso de palio de María Santísima del Dulce Nombre en sus Dolores Gloriosos.,Banda de cornetas y tambores de Nuestra Señora del Rosario de Linares tras el paso del Señor de los Reyes y la Banda de música de Nuestra Señora del Rosario de Prado del Rey (Cádiz) tras el paso de palio de María Santísima del Dulce Nombre en sus Dolores Gloriosos. Bordado en oro ﬁ no y sedas de la bambalina interior trasera obra de Manuel Solano.
Domingo de Ramos,2,6,Esperanza,Parroquia de San Andrés,16:30,19:53,23:10,True,En el paso de Nuestro Padre Jesús de las Penas la Agrupación Musical Pasión de Linares En el paso de María Santísima de la Esperanza la Banda de Música María Santísima de la Esperanza de Córdoba.,"En el paso de Nuestro Padre Jesús de las Penas la Agrupación Musical Pasión de Linares En el paso de María Santísima de la Esperanza la Banda de Música María Santísima de la Esperanza de Córdoba. Bambalina trasera del Palio de María Santísima de la Esperanza, realizada en el taller de Sucesores de Elena Caro, en Sevilla, bajo diseño del sevillano Gonzalo Navarro Ambrojo. Sobrepeana en alpaca. Libro de reglas."
Domingo de Ramos,2,7,Amor,Parroquia de Jesús Divino Obrero,17:30,20:29,00:30,True,"Banda de CCTT Nuestra Señora de la Salud, Paso de Misterio. Banda de CCTT Maestro Valero (Aguilar de la Fra.) para el paso del Cristo. Banda de Música Santa Cecilia (Montoro) para el paso de Virgen.","Banda de CCTT Nuestra Señora de la Salud, Paso de Misterio. Banda de CCTT Maestro Valero (Aguilar de la Fra.) para el paso del Cristo. Banda de Música Santa Cecilia (Montoro) para el paso de Virgen. Dorado completo del paso de misterio de Nuestro Padre Jesús del Silencio. Restauración del dorado del paso del Santísimo Cristo del Amor. Dos faroles de estrella para el Simpecado Túnica bordada blanca de tisú con bordados otomanos. Juego de potencias de plata para el Santísimo Cristo del Amor. Mantilla antigua para María Santísima de la Encarnación. Cruz Pectoral para María Santísima de la Encarnación."
Lunes Santo,3,1,Merced,Parroquia de San Antonio de Padua,15:45,19:15,00:30,True,En el paso de Nuestro Padre Jesús Humilde en su Coronación de Espinas la Banda de Cornetas y Tambores de la Coronación de Espinas de Córdoba. En el paso de Nuestra Madre y Señora Santa María de la Merced la Banda de Música “Tubamirum”de Cañete de las Torres.,En el paso de Nuestro Padre Jesús Humilde en su Coronación de Espinas la Banda de Cornetas y Tambores de la Coronación de Espinas de Córdoba. En el paso de Nuestra Madre y Señora Santa María de la Merced la Banda de Música “Tubamirum”de Cañete de las Torres. Bordado del faldón delantero del paso de misterio por Francisco Pérez Artés y restauración y pasado a nuevo soporte de tisú de plata de los bordados del paso de palio por Antonio Villar Moreno.
