HERMANDAD,DIA,PASO_PROPUESTO,CONFIANZA,NOTA
La O,Sabado de Pasion,,SIN_DATOS,"Duda pendiente en el panel (sin_musica_detectada); no se puede nombrar el paso hasta resolverla."
Lágrimas,Domingo de Ramos,,SIN_DATOS,"Duda pendiente en el panel (sin_musica_detectada); no se puede nombrar el paso hasta resolverla."
Entrada Triunfal,Domingo de Ramos,El Señor de los Reyes,ALTA,"Titular literal: Nuestro Padre Jesús de los Reyes."
Penas de Santiago,Domingo de Ramos,Cristo de las Penas,MEDIA,"Titular literal: Santísimo Cristo de las Penas."
Huerto,Domingo de Ramos,La Oración en el Huerto,ALTA,"Primer paso de Cristo. Titular literal: Nuestro Padre Jesús de la Oración en el Huerto."
Huerto,Domingo de Ramos,El Señor Amarrado a la Columna,ALTA,"SEGUNDO paso de Cristo de esta misma hermandad (2 pasos de Cristo, no 1)."
Rescatado,Domingo de Ramos,El Rescatado,ALTA,"Titular literal: Nuestro Padre Jesús Nazareno Rescatado."
Vera Cruz,Domingo de Ramos,Cristo del Amor,ALTA,"El programa oficial dice ''el paso del Señor de los Reyes'' -- parece un CORTA-Y-PEGA erróneo del título de Entrada Triunfal. Cruzado con yescordoba.es (sesión anterior): el Cristo real de Vera Cruz es el Santísimo Cristo del Amor. Verificar."
Esperanza,Domingo de Ramos,Jesús de las Penas,ALTA,"Titular literal: Nuestro Padre Jesús de las Penas (título distinto del de Penas de Santiago, coincidencia de advocación entre 2 hermandades distintas, normal)."
Amor,Domingo de Ramos,Jesús del Silencio,ALTA,"El acompañamiento no da el titular, pero el propio programa lo nombra en Estrenos: ''paso de misterio de Nuestro Padre Jesús del Silencio''."
Merced,Lunes Santo,Jesús Humilde,MEDIA,"Titular literal: Nuestro Padre Jesús Humilde en su Coronación de Espinas."
Presentación al Pueblo,Lunes Santo,Jesús de los Afligidos,ALTA,"Titular literal: Nuestro Padre Jesús de los Afligidos."
Redención,Lunes Santo,La Redención,MEDIA,"Titular literal: Nuestro Padre Jesús la Redención (así, sin ''de''; redacción rara del programa)."
Sentencia,Lunes Santo,La Sentencia,ALTA,"Titular literal: Nuestro Padre Jesús de la Sentencia."
Vía Crucis,Lunes Santo,,SIN_TITULAR,"Sin CCTT/AM (tambores roncos) Y sin nombre de titular en ninguna fuente que tengamos."
Ánimas,Lunes Santo,,SIN_TITULAR,"Sin CCTT/AM (coro de hermanos) y sin nombre de titular."
Agonía,Martes Santo,Cristo de la Agonía,ALTA,"Titular literal: Santísimo Cristo de la Agonía."
Universitaria,Martes Santo,,SIN_TITULAR,"Sin CCTT/AM (riguroso silencio) y sin nombre de titular."
Sangre,Martes Santo,Jesús de la Sangre,ALTA,"Titular literal: Nuestro Padre Jesús de la Sangre."
Buen Suceso,Martes Santo,Jesús del Buen Suceso,ALTA,"Titular literal: Nuestro Padre Jesús del Buen Suceso."
Santa Faz,Martes Santo,La Santa Faz,ALTA,"Titular literal: Nuestro Padre Jesús Nazareno de la Santa Faz."
Prendimiento,Martes Santo,El Prendimiento,MEDIA,"Titular literal: Nuestro Padre Jesús Divino Salvador en su Prendimiento."
Perdón,Miercoles Santo,El Perdón,ALTA,"Titular literal: Nuestro Padre del Perdón."
Paz y Esperanza,Miercoles Santo,Jesús de la Humildad y Paciencia,ALTA,"Titular literal: Nuestro Padre Jesús de la Humildad y Paciencia."
Calvario,Miercoles Santo,El Calvario,ALTA,"Titular literal: Nuestro Padre Jesús del Calvario."
Misericordia,Miercoles Santo,Cristo de la Misericordia,ALTA,"Titular literal: Santísimo Cristo de la Misericordia. (Hay además un paso de Reliquias de los Santos Mártires sin CCTT/AM, no es un paso de Cristo, se descarta.)"
Pasión,Miercoles Santo,Jesús de la Pasión,ALTA,"Titular literal ''Pasón'' en el programa -- erratum, corregido a Pasión."
Piedad,Miercoles Santo,Cristo de la Piedad,MEDIA,"Texto ambiguo: ''Santísimo Cristo de la Piedad y Dulce Nombre de María Santísima de la Esperanza'' en un solo paso -- ¿es un grupo escultórico único con las dos imágenes, o dos pasos mal separados por el programa? Verificar."
