ID_BANDA,HERMANDAD,TITULAR,ANIO,FUENTE,NOTA,LOCALIDAD
166,Bendicion y Esperanza,Paso de Cristo,2026,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=AM Sta. María de la Esperanza,Sevilla
66,Dolores de Torreblanca,Paso de Virgen,2026,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=B. Ntra Sra Las Nieves de Olivares,Sevilla
6,La Milagrosa,Paso de Cristo,2026,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=AM Virgen de los Reyes,Sevilla
7,La Borriquita,Paso de Cristo,2026,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=CyT Ntra. Sra. del Sol,Sevilla
6,Jesus Despojado,Paso de Cristo,2026,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=AM Virgen de los Reyes,Sevilla
20,La Amargura,Paso de Cristo,2026,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=CyT Cristo de las Tres Caídas,Sevilla
48,Santa Genoveva,Paso Cristo (Cautivo),2026,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=AM Pasión de Linares,Sevilla
66,El Cerro del Aguila,Paso de Palio,2026,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=BM Santa María de las Nieves de Olivares,Sevilla
6,San Esteban,Paso Cristo (Misterio),2026,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=AM Virgen de los Reyes,Sevilla
20,La Candelaria,Paso de Cristo (Misterio),2026,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=CyT Cristo de las Tres Caídas,Sevilla
16,El Dulce Nombre,Paso Cristo (Misterio),2026,elforocofrade.es - Acompañamiento Musical a lo largo de la Historia,banda_raw=CCTT Las Cigarreras,Sevilla
