source,dia,hermandad,paso,anio,banda_raw,orig_line
foro-2019-josemariumb,Viernes de Dolores,LA MISION (HELIOPOLIS),,1992,CCTT Cristo de la Sed,1992 - 1995: CCTT Cristo de la Sed
foro-2019-josemariumb,Viernes de Dolores,LA MISION (HELIOPOLIS),,1993,CCTT Cristo de la Sed,1992 - 1995: CCTT Cristo de la Sed
foro-2019-josemariumb,Viernes de Dolores,LA MISION (HELIOPOLIS),,1994,CCTT Cristo de la Sed,1992 - 1995: CCTT Cristo de la Sed
foro-2019-josemariumb,Viernes de Dolores,LA MISION (HELIOPOLIS),,1995,CCTT Cristo de la Sed,1992 - 1995: CCTT Cristo de la Sed
foro-2019-josemariumb,Viernes de Dolores,LA MISION (HELIOPOLIS),,1996,CCTT Ntra. Sra. de la Salud de Utrera,1996: CCTT Ntra. Sra. de la Salud de Utrera
foro-2019-josemariumb,Viernes de Dolores,LA MISION (HELIOPOLIS),,1997,CCTT San Francisco Javier,1997: CCTT San Francisco Javier
foro-2019-josemariumb,Viernes de Dolores,LA MISION (HELIOPOLIS),,1998,CCTT Cristo de la Exaltacion,1998 - 2002: CCTT Cristo de la Exaltacion
foro-2019-josemariumb,Viernes de Dolores,LA MISION (HELIOPOLIS),,1999,CCTT Cristo de la Exaltacion,1998 - 2002: CCTT Cristo de la Exaltacion
foro-2019-josemariumb,Viernes de Dolores,LA MISION (HELIOPOLIS),,2000,CCTT Cristo de la Exaltacion,1998 - 2002: CCTT Cristo de la Exaltacion
foro-2019-josemariumb,Viernes de Dolores,LA MISION (HELIOPOLIS),,2001,CCTT Cristo de la Exaltacion,1998 - 2002: CCTT Cristo de la Exaltacion
foro-2019-josemariumb,Viernes de Dolores,LA MISION (HELIOPOLIS),,2002,CCTT Cristo de la Exaltacion,1998 - 2002: CCTT Cristo de la Exaltacion
foro-2019-josemariumb,Viernes de Dolores,LA MISION (HELIOPOLIS),,2003,CCTT Sol,2003 - 2007: CCTT Sol
foro-2019-josemariumb,Viernes de Dolores,LA MISION (HELIOPOLIS),,2004,CCTT Sol,2003 - 2007: CCTT Sol
foro-2019-josemariumb,Viernes de Dolores,LA MISION (HELIOPOLIS),,2005,CCTT Sol,2003 - 2007: CCTT Sol
foro-2019-josemariumb,Viernes de Dolores,LA MISION (HELIOPOLIS),,2006,CCTT Sol,2003 - 2007: CCTT Sol
foro-2019-josemariumb,Viernes de Dolores,LA MISION (HELIOPOLIS),,2007,CCTT Sol,2003 - 2007: CCTT Sol
foro-2019-josemariumb,Viernes de Dolores,LA MISION (HELIOPOLIS),,2008,CCTT Las Cigarreras,2008 - 2019: CCTT Las Cigarreras
foro-2019-josemariumb,Viernes de Dolores,LA MISION (HELIOPOLIS),,2009,CCTT Las Cigarreras,2008 - 2019: CCTT Las Cigarreras
foro-2019-josemariumb,Viernes de Dolores,LA MISION (HELIOPOLIS),,2010,CCTT Las Cigarreras,2008 - 2019: CCTT Las Cigarreras
foro-2019-josemariumb,Viernes de Dolores,LA MISION (HELIOPOLIS),,2011,CCTT Las Cigarreras,2008 - 2019: CCTT Las Cigarreras
foro-2019-josemariumb,Viernes de Dolores,LA MISION (HELIOPOLIS),,2012,CCTT Las Cigarreras,2008 - 2019: CCTT Las Cigarreras
foro-2019-josemariumb,Viernes de Dolores,LA MISION (HELIOPOLIS),,2013,CCTT Las Cigarreras,2008 - 2019: CCTT Las Cigarreras
foro-2019-josemariumb,Viernes de Dolores,LA MISION (HELIOPOLIS),,2014,CCTT Las Cigarreras,2008 - 2019: CCTT Las Cigarreras
foro-2019-josemariumb,Viernes de Dolores,LA MISION (HELIOPOLIS),,2015,CCTT Las Cigarreras,2008 - 2019: CCTT Las Cigarreras
foro-2019-josemariumb,Viernes de Dolores,LA MISION (HELIOPOLIS),,2016,CCTT Las Cigarreras,2008 - 2019: CCTT Las Cigarreras
foro-2019-josemariumb,Viernes de Dolores,LA MISION (HELIOPOLIS),,2017,CCTT Las Cigarreras,2008 - 2019: CCTT Las Cigarreras
foro-2019-josemariumb,Viernes de Dolores,LA MISION (HELIOPOLIS),,2018,CCTT Las Cigarreras,2008 - 2019: CCTT Las Cigarreras
foro-2019-josemariumb,Viernes de Dolores,LA MISION (HELIOPOLIS),,2019,CCTT Las Cigarreras,2008 - 2019: CCTT Las Cigarreras
foro-2019-josemariumb,Viernes de Dolores,PINOMONTANO,Paso de Misterio,1991,AM Santa Marta de La Algaba,1991: AM Santa Marta de La Algaba
foro-2019-josemariumb,Viernes de Dolores,PINOMONTANO,Paso de Misterio,1992,AM Nuestro Padre Jesus de Nazareth,1992: AM Nuestro Padre Jesus de Nazareth
foro-2019-josemariumb,Viernes de Dolores,PINOMONTANO,Paso de Misterio,1993,AM Redencion,1993: AM Redencion
foro-2019-josemariumb,Viernes de Dolores,PINOMONTANO,Paso de Misterio,1994,AM Stma. Trinidad,1994 - 1996: AM Stma. Trinidad
foro-2019-josemariumb,Viernes de Dolores,PINOMONTANO,Paso de Misterio,1995,AM Stma. Trinidad,1994 - 1996: AM Stma. Trinidad
foro-2019-josemariumb,Viernes de Dolores,PINOMONTANO,Paso de Misterio,1996,AM Stma. Trinidad,1994 - 1996: AM Stma. Trinidad
foro-2019-josemariumb,Viernes de Dolores,PINOMONTANO,Paso de Misterio,1997,AM Ntra. Sra. de la Encarnacion,1997 - 2019: AM Ntra. Sra. de la Encarnacion
foro-2019-josemariumb,Viernes de Dolores,PINOMONTANO,Paso de Misterio,1998,AM Ntra. Sra. de la Encarnacion,1997 - 2019: AM Ntra. Sra. de la Encarnacion
foro-2019-josemariumb,Viernes de Dolores,PINOMONTANO,Paso de Misterio,1999,AM Ntra. Sra. de la Encarnacion,1997 - 2019: AM Ntra. Sra. de la Encarnacion
foro-2019-josemariumb,Viernes de Dolores,PINOMONTANO,Paso de Misterio,2000,AM Ntra. Sra. de la Encarnacion,1997 - 2019: AM Ntra. Sra. de la Encarnacion
foro-2019-josemariumb,Viernes de Dolores,PINOMONTANO,Paso de Misterio,2001,AM Ntra. Sra. de la Encarnacion,1997 - 2019: AM Ntra. Sra. de la Encarnacion
foro-2019-josemariumb,Viernes de Dolores,PINOMONTANO,Paso de Misterio,2002,AM Ntra. Sra. de la Encarnacion,1997 - 2019: AM Ntra. Sra. de la Encarnacion
foro-2019-josemariumb,Viernes de Dolores,PINOMONTANO,Paso de Misterio,2003,AM Ntra. Sra. de la Encarnacion,1997 - 2019: AM Ntra. Sra. de la Encarnacion
foro-2019-josemariumb,Viernes de Dolores,PINOMONTANO,Paso de Misterio,2004,AM Ntra. Sra. de la Encarnacion,1997 - 2019: AM Ntra. Sra. de la Encarnacion
foro-2019-josemariumb,Viernes de Dolores,PINOMONTANO,Paso de Misterio,2005,AM Ntra. Sra. de la Encarnacion,1997 - 2019: AM Ntra. Sra. de la Encarnacion
foro-2019-josemariumb,Viernes de Dolores,PINOMONTANO,Paso de Misterio,2006,AM Ntra. Sra. de la Encarnacion,1997 - 2019: AM Ntra. Sra. de la Encarnacion
foro-2019-josemariumb,Viernes de Dolores,PINOMONTANO,Paso de Misterio,2007,AM Ntra. Sra. de la Encarnacion,1997 - 2019: AM Ntra. Sra. de la Encarnacion
foro-2019-josemariumb,Viernes de Dolores,PINOMONTANO,Paso de Misterio,2008,AM Ntra. Sra. de la Encarnacion,1997 - 2019: AM Ntra. Sra. de la Encarnacion
foro-2019-josemariumb,Viernes de Dolores,PINOMONTANO,Paso de Misterio,2009,AM Ntra. Sra. de la Encarnacion,1997 - 2019: AM Ntra. Sra. de la Encarnacion
foro-2019-josemariumb,Viernes de Dolores,PINOMONTANO,Paso de Misterio,2010,AM Ntra. Sra. de la Encarnacion,1997 - 2019: AM Ntra. Sra. de la Encarnacion
foro-2019-josemariumb,Viernes de Dolores,PINOMONTANO,Paso de Misterio,2011,AM Ntra. Sra. de la Encarnacion,1997 - 2019: AM Ntra. Sra. de la Encarnacion
foro-2019-josemariumb,Viernes de Dolores,PINOMONTANO,Paso de Misterio,2012,AM Ntra. Sra. de la Encarnacion,1997 - 2019: AM Ntra. Sra. de la Encarnacion
foro-2019-josemariumb,Viernes de Dolores,PINOMONTANO,Paso de Misterio,2013,AM Ntra. Sra. de la Encarnacion,1997 - 2019: AM Ntra. Sra. de la Encarnacion
foro-2019-josemariumb,Viernes de Dolores,PINOMONTANO,Paso de Misterio,2014,AM Ntra. Sra. de la Encarnacion,1997 - 2019: AM Ntra. Sra. de la Encarnacion
foro-2019-josemariumb,Viernes de Dolores,PINOMONTANO,Paso de Misterio,2015,AM Ntra. Sra. de la Encarnacion,1997 - 2019: AM Ntra. Sra. de la Encarnacion
foro-2019-josemariumb,Viernes de Dolores,PINOMONTANO,Paso de Misterio,2016,AM Ntra. Sra. de la Encarnacion,1997 - 2019: AM Ntra. Sra. de la Encarnacion
foro-2019-josemariumb,Viernes de Dolores,PINOMONTANO,Paso de Misterio,2017,AM Ntra. Sra. de la Encarnacion,1997 - 2019: AM Ntra. Sra. de la Encarnacion
foro-2019-josemariumb,Viernes de Dolores,PINOMONTANO,Paso de Misterio,2018,AM Ntra. Sra. de la Encarnacion,1997 - 2019: AM Ntra. Sra. de la Encarnacion
foro-2019-josemariumb,Viernes de Dolores,PINOMONTANO,Paso de Misterio,2019,AM Ntra. Sra. de la Encarnacion,1997 - 2019: AM Ntra. Sra. de la Encarnacion
foro-2019-josemariumb,Viernes de Dolores,BELLAVISTA,Paso de Misterio,1994,"AM de las Aguas, de Las Cabezas de San Juan","1994: AM de las Aguas, de Las Cabezas de San Juan"
foro-2019-josemariumb,Viernes de Dolores,BELLAVISTA,Paso de Misterio,1995,CCTT Dulce Nombre de Maria,1995: CCTT Dulce Nombre de Maria
foro-2019-josemariumb,Viernes de Dolores,BELLAVISTA,Paso de Misterio,1996,CCTT Juvenil Las Cigarreras,1996: CCTT Juvenil Las Cigarreras
foro-2019-josemariumb,Viernes de Dolores,BELLAVISTA,Paso de Misterio,1997,CCTT Presentacion al Pueblo de Dos Hermanas,1997 - 1999: CCTT Presentacion al Pueblo de Dos Hermanas
foro-2019-josemariumb,Viernes de Dolores,BELLAVISTA,Paso de Misterio,1998,CCTT Presentacion al Pueblo de Dos Hermanas,1997 - 1999: CCTT Presentacion al Pueblo de Dos Hermanas
foro-2019-josemariumb,Viernes de Dolores,BELLAVISTA,Paso de Misterio,1999,CCTT Presentacion al Pueblo de Dos Hermanas,1997 - 1999: CCTT Presentacion al Pueblo de Dos Hermanas
foro-2019-josemariumb,Viernes de Dolores,BELLAVISTA,Paso de Misterio,2000,AM Ma Stma. de la Paz,2000: AM Ma Stma. de la Paz
foro-2019-josemariumb,Viernes de Dolores,BELLAVISTA,Paso de Misterio,2001,CCTT la Sed,2001: CCTT la Sed
foro-2019-josemariumb,Viernes de Dolores,BELLAVISTA,Paso de Misterio,2002,CCTT Ntro. Padre Jesus Cautivo,2002 - 2005: CCTT Ntro. Padre Jesus Cautivo
foro-2019-josemariumb,Viernes de Dolores,BELLAVISTA,Paso de Misterio,2003,CCTT Ntro. Padre Jesus Cautivo,2002 - 2005: CCTT Ntro. Padre Jesus Cautivo
foro-2019-josemariumb,Viernes de Dolores,BELLAVISTA,Paso de Misterio,2004,CCTT Ntro. Padre Jesus Cautivo,2002 - 2005: CCTT Ntro. Padre Jesus Cautivo
foro-2019-josemariumb,Viernes de Dolores,BELLAVISTA,Paso de Misterio,2005,CCTT Ntro. Padre Jesus Cautivo,2002 - 2005: CCTT Ntro. Padre Jesus Cautivo
foro-2019-josemariumb,Viernes de Dolores,BELLAVISTA,Paso de Misterio,2006,AM Redencion,2006 - 2019: AM Redencion
foro-2019-josemariumb,Viernes de Dolores,BELLAVISTA,Paso de Misterio,2007,AM Redencion,2006 - 2019: AM Redencion
foro-2019-josemariumb,Viernes de Dolores,BELLAVISTA,Paso de Misterio,2008,AM Redencion,2006 - 2019: AM Redencion
foro-2019-josemariumb,Viernes de Dolores,BELLAVISTA,Paso de Misterio,2009,AM Redencion,2006 - 2019: AM Redencion
foro-2019-josemariumb,Viernes de Dolores,BELLAVISTA,Paso de Misterio,2010,AM Redencion,2006 - 2019: AM Redencion
foro-2019-josemariumb,Viernes de Dolores,BELLAVISTA,Paso de Misterio,2011,AM Redencion,2006 - 2019: AM Redencion
foro-2019-josemariumb,Viernes de Dolores,BELLAVISTA,Paso de Misterio,2012,AM Redencion,2006 - 2019: AM Redencion
foro-2019-josemariumb,Viernes de Dolores,BELLAVISTA,Paso de Misterio,2013,AM Redencion,2006 - 2019: AM Redencion
foro-2019-josemariumb,Viernes de Dolores,BELLAVISTA,Paso de Misterio,2014,AM Redencion,2006 - 2019: AM Redencion
foro-2019-josemariumb,Viernes de Dolores,BELLAVISTA,Paso de Misterio,2015,AM Redencion,2006 - 2019: AM Redencion
foro-2019-josemariumb,Viernes de Dolores,BELLAVISTA,Paso de Misterio,2016,AM Redencion,2006 - 2019: AM Redencion
foro-2019-josemariumb,Viernes de Dolores,BELLAVISTA,Paso de Misterio,2017,AM Redencion,2006 - 2019: AM Redencion
foro-2019-josemariumb,Viernes de Dolores,BELLAVISTA,Paso de Misterio,2018,AM Redencion,2006 - 2019: AM Redencion
