HERMANDAD_SLUG,HERMANDAD_NOMBRE,PASO_NOMBRE,BANDA_RAW_TEXT,BANDA_ID_CANDIDATA,BANDA_NOMBRE_CANDIDATA,BANDA_LOCALIDAD_CANDIDATA,MOTIVO_MATCH,CONFIANZA,NOTA
entrega-de-guadalcacin,"Entrega de Guadalcacín","Entrega de Guadalcacín","BCT Santísimo Cristo de la Caridad - Santa Marta (Jerez de la Frontera)",18,"Banda De Cornetas Y Tambores Santísimo Cristo De La Caridad (Santa Marta)","Jerez de la Frontera",estilo,media,
cautivo-del-portal,"Cautivo del Portal","Cautivo del Portal","Agrupación Musical Santa Ángela de la Cruz (Las Cabezas de San Juan)",,,,excluido_match_espurio,baja,
humildad-de-barbadillo,"Humildad de Barbadillo","Humildad de Barbadillo","Agrupación Musical Nuestra Señora de Valme (Dos Hermanas)",85,"Agrupación Musical Nuestra Señora De Valme","Dos Hermanas",unico,alta,
prendimiento-de-torrecera,"Prendimiento de Torrecera","Prendimiento de Torrecera","Agrupación Musical Sagrada Resurrección (Sanlúcar de Barrameda)",146,"Agrupación Musical Sagrada Resurrección","Sanlúcar de Barrameda",localidad_explicita,alta,
la-borriquita,"La Borriquita","La Borriquita","Banda de Cornetas y Tambores Cristo de la Vera-Cruz (Los Palacios y Villafranca)",88,"Banda De Cornetas Y Tambores Santísimo Cristo De La Vera Cruz","Los Palacios y Villafranca",localidad_explicita,alta,
la-coronacion,"La Coronación","La Coronación","Agrupación Musical La Sentencia (Jerez de la Frontera)",28,"Agrupación Musical La Sentencia","Jerez de la Frontera",localidad_explicita,alta,
el-transporte,"El Transporte","El Transporte","Banda de Cornetas y Tambores Presentación al Pueblo (Sevilla)",23,"Banda De Cornetas Y Tambores Nuestro Padre Jesús En La Presentación Al Pueblo","Dos Hermanas",estilo,media,"mundocofrade da dos bandas para este paso, ver siguiente fila"
el-transporte,"El Transporte","El Transporte","Banda de Cornetas y Tambores Centuria Romana Macarena (Sevilla)",5,"Banda De Cornetas Y Tambores De La Centuria Romana Macarena",Sevilla,juvenil,media,"segunda banda del mismo paso"
pasion,Pasión,Pasión,"Banda de Cornetas y Tambores Amor y Sacrificio (Lebrija)",136,"Banda de Cornetas y Tambores Amor y Sacrificio",Lebrija,unico,alta,
el-perdon,"El Perdón","El Perdón","Banda de Cornetas y Tambores Nuestro Padre Jesús de los Remedios (Castilleja de la Cuesta)",123,"Banda De Cornetas Y Tambores Nuestro Padre Jesús De Los Remedios","Castilleja de la Cuesta",estilo,media,
la-sed,"La Sed","La Sed","Banda de Cornetas y Tambores Coronación de Campillos (Málaga)",178,"Banda de Cornetas y Tambores Coronación",Campillos,unico,alta,
