LOCALIDAD,DIA,DIA_ORDEN,ORDEN_PAGINA,HERMANDAD,ETIQUETA_RAW,TIPO_NORMALIZADO,BANDA_TEXTO,BANDA_URL,ES_CCTT_AM
Sevilla,Viernes de Dolores,1,1,La Misión,Cruz de Guía,cruz_guia,Banda de Cornetas y Tambores Sagrada Columna y Azotes de Sevilla,https://musicofrades.com/directorio/709-banda-de-cornetas-y-tambores-sagrada-columna-y-azotes-de-sevilla/,True
Sevilla,Viernes de Dolores,1,1,La Misión,Paso de Misterio,cristo,Banda de Cornetas y Tambores Nuestra Señora de la Victoria – Las Cigarreras – de Sevilla,https://musicofrades.com/directorio/372-banda-de-cornetas-y-tambores-nuestra-senora-de-la-victoria-las-cigarreras-de-sevilla/,True
Sevilla,Viernes de Dolores,1,2,Dulce Nombre de Bellavista,Cruz de Guía,cruz_guia,Agrupación Musical Juvenil María Santísima del Rocío de Sevilla,https://musicofrades.com/directorio/1386-agrupacion-musical-juvenil-maria-santisima-del-rocio-de-sevilla/,True
Sevilla,Viernes de Dolores,1,2,Dulce Nombre de Bellavista,Paso de Misterio,cristo,Agrupación Musical Nuestro Padre Jesús de la Redención de Sevilla,https://musicofrades.com/directorio/353-agrupacion-musical-nuestro-padre-jesus-de-la-redencion-de-sevilla/,True
Sevilla,Viernes de Dolores,1,2,Dulce Nombre de Bellavista,Paso de Palio,virgen,Banda de Música Santa Ana de Dos Hermanas,https://musicofrades.com/directorio/386-banda-de-musica-santa-ana-de-dos-hermanas/,False
Sevilla,Viernes de Dolores,1,3,Pino Montano,Cruz de Guía,cruz_guia,Banda de Cornetas y Tambores Juvenil de la Centuria Romana Macarena de Sevilla,https://musicofrades.com/directorio/705-banda-de-cornetas-y-tambores-juvenil-de-la-centuria-romana-macarena-de-sevilla/,True
Sevilla,Viernes de Dolores,1,3,Pino Montano,Paso de Misterio,cristo,Agrupación Musical Nuestra Señora de la Encarnación – San Benito – de Sevilla,https://musicofrades.com/directorio/645-agrupacion-musical-nuestra-senora-de-la-encarnacion-san-benito-de-sevilla/,True
Sevilla,Viernes de Dolores,1,3,Pino Montano,Paso de Palio,virgen,Banda de Música Municipal de La Puebla del Río,https://musicofrades.com/directorio/728-banda-de-musica-municipal-de-la-puebla-del-rio/,False
Sevilla,Viernes de Dolores,1,4,Pasión y Muerte,Paso de Cristo,cristo,Capilla Musical,,False
Sevilla,Viernes de Dolores,1,5,Cristo de la Corona,Paso de Misterio,cristo,Capilla Musical y Escolanía,,False
Sevilla,Viernes de Dolores,1,6,Bendición y Esperanza,Cruz de Guía,cruz_guia,Banda de Cornetas y Tambores Jesús Nazareno de Sevilla,https://musicofrades.com/directorio/1262-banda-de-cornetas-y-tambores-jesus-nazareno-de-sevilla/,True
Sevilla,Viernes de Dolores,1,6,Bendición y Esperanza,Paso de Misterio,cristo,Agrupación Musical Santa María de la Esperanza de Sevilla,https://musicofrades.com/directorio/1311-agrupacion-musical-santa-maria-de-la-esperanza-de-sevilla/,True
Sevilla,Viernes de Dolores,1,7,Paz y Misericordia,Paso de Misterio,cristo,Banda de Cornetas y Tambores Nuestra Señora de los Ángeles de Sevilla,https://musicofrades.com/directorio/707-banda-de-cornetas-y-tambores-nuestra-senora-de-los-angeles-de-sevilla/,True
Sevilla,Sábado de Pasión,2,1,La Milagrosa,Cruz de Guía,cruz_guia,Agrupación Musical Juvenil Virgen de los Reyes de Sevilla,https://musicofrades.com/directorio/1356-agrupacion-musical-juvenil-virgen-de-los-reyes-de-sevilla/,True
Sevilla,Sábado de Pasión,2,1,La Milagrosa,Paso de Misterio,cristo,Agrupación Musical Virgen de los Reyes de Sevilla,https://musicofrades.com/directorio/702-agrupacion-musical-virgen-de-los-reyes-de-sevilla/,True
Sevilla,Sábado de Pasión,2,1,La Milagrosa,Paso de Palio,virgen,Banda de Música María Santísima de la Victoria – Las Cigarreras – de Sevilla,https://musicofrades.com/directorio/818-banda-de-musica-maria-santisima-de-la-victoria-las-cigarreras-de-sevilla/,False
Sevilla,Sábado de Pasión,2,2,Dolores de Torreblanca,Cruz de Guía,cruz_guia,Banda de Cornetas y Tambores Juvenil de la Centuria Romana Macarena de Sevilla,https://musicofrades.com/directorio/705-banda-de-cornetas-y-tambores-juvenil-de-la-centuria-romana-macarena-de-sevilla/,True
Sevilla,Sábado de Pasión,2,2,Dolores de Torreblanca,Paso de Misterio,cristo,Agrupación Musical La Sentencia de Jerez de la Frontera,https://musicofrades.com/directorio/794-agrupacion-musical-la-sentencia-de-jerez-de-la-frontera/,True
Sevilla,Sábado de Pasión,2,2,Dolores de Torreblanca,Paso de Palio,virgen,Banda de Música de la Asociación Filarmónica Cultural Santa María de las Nieves de Olivares,https://musicofrades.com/directorio/64-banda-de-musica-de-la-asociacion-filarmonica-cultural-santa-maria-de-las-nieves-de-olivares/,False
