hermandad,titular,anio,valor_2019,valor_2026
La Mision,,1992,CCTT Cristo de la Sed,B. Stmo. Cristo de la Sed
La Mision,,1993,CCTT Cristo de la Sed,B. Stmo. Cristo de la Sed
La Mision,,1994,CCTT Cristo de la Sed,B. Stmo. Cristo de la Sed
La Mision,,1995,CCTT Cristo de la Sed,B. Stmo. Cristo de la Sed
La Mision,,1996,CCTT Ntra. Sra. de la Salud de Utrera,B. Ntra. Sra. de la Salud de Utrera
La Mision,,1997,CCTT San Francisco Javier,B. de S. Francisco Javier
La Mision,,1998,CCTT Cristo de la Exaltacion,C y T Cristo de la Exaltación
La Mision,,1999,CCTT Cristo de la Exaltacion,C y T Cristo de la Exaltación
La Mision,,2000,CCTT Cristo de la Exaltacion,C y T Cristo de la Exaltación
La Mision,,2001,CCTT Cristo de la Exaltacion,C y T Cristo de la Exaltación
La Mision,,2002,CCTT Cristo de la Exaltacion,C y T Cristo de la Exaltación
La Mision,,2003,CCTT Sol,C y T Ntra. Sra. del Sol
La Mision,,2004,CCTT Sol,C y T Ntra. Sra. del Sol
La Mision,,2005,CCTT Sol,C y T Ntra. Sra. del Sol
La Mision,,2006,CCTT Sol,C y T Ntra. Sra. del Sol
La Mision,,2007,CCTT Sol,C y T Ntra. Sra. del Sol
La Mision,,2008,CCTT Las Cigarreras,"CyT Ntra Sra de la Victoria ""Cigarreras"""
La Mision,,2009,CCTT Las Cigarreras,"CyT Ntra Sra de la Victoria ""Cigarreras"""
La Mision,,2010,CCTT Las Cigarreras,"CyT Ntra Sra de la Victoria ""Cigarreras"""
La Mision,,2011,CCTT Las Cigarreras,"CyT Ntra Sra de la Victoria ""Cigarreras"""
La Mision,,2012,CCTT Las Cigarreras,"CyT Ntra Sra de la Victoria ""Cigarreras"""
La Mision,,2013,CCTT Las Cigarreras,"CyT Ntra Sra de la Victoria ""Cigarreras"""
La Mision,,2014,CCTT Las Cigarreras,"CyT Ntra Sra de la Victoria ""Cigarreras"""
La Mision,,2015,CCTT Las Cigarreras,"CyT Ntra Sra de la Victoria ""Cigarreras"""
La Mision,,2016,CCTT Las Cigarreras,"CyT Ntra Sra de la Victoria ""Cigarreras"""
La Mision,,2017,CCTT Las Cigarreras,"CyT Ntra Sra de la Victoria ""Cigarreras"""
La Mision,,2018,CCTT Las Cigarreras,"CyT Ntra Sra de la Victoria ""Cigarreras"""
La Mision,,2019,CCTT Las Cigarreras,"CyT Ntra Sra de la Victoria ""Cigarreras"""
Padre Pio,Paso de Cristo,1996,AM Maria Inmaculada (Castilleja de la Cuesta),A. M. María Inmaculada (Castilleja de la Cuesta)
Padre Pio,Paso de Cristo,1997,AM Ma Stma. de la Paz,A. M. Mª Stma. de la Paz
Padre Pio,Paso de Cristo,1998,CCTT Cristo de la Sangre,B. Stmo. Cristo de la Sangre
Padre Pio,Paso de Cristo,1999,CCTT Virgen de Gracia (Carmona),B. Virgen de Gracia (Carmona)
Padre Pio,Paso de Cristo,2000,AM de San Juan de Aznalfarache,A. M. de San Juan de Aznalfarache
Padre Pio,Paso de Cristo,2001,AM de San Juan de Aznalfarache,A. M. de San Juan de Aznalfarache
Padre Pio,Paso de Cristo,2002,CCTT Veracruz (Los Palacios),B. Veracruz (Los Palacios)
Padre Pio,Paso de Cristo,2003,CCTT Veracruz (Los Palacios),B. Veracruz (Los Palacios)
Padre Pio,Paso de Cristo,2004,CCTT Veracruz (Los Palacios),B. Veracruz (Los Palacios)
Padre Pio,Paso de Cristo,2005,CCTT Presentacion al Pueblo de Dos Hermanas,B. Presentación al Pueblo de Dos Hermanas
Padre Pio,Paso de Cristo,2006,CCTT Presentacion al Pueblo de Dos Hermanas,B. Presentación al Pueblo de Dos Hermanas
Padre Pio,Paso de Cristo,2007,CCTT Presentacion al Pueblo de Dos Hermanas,B. Presentación al Pueblo de Dos Hermanas
Padre Pio,Paso de Cristo,2008,CCTT Presentacion al Pueblo de Dos Hermanas,B. Presentación al Pueblo de Dos Hermanas
Padre Pio,Paso de Cristo,2009,CCTT Presentacion al Pueblo de Dos Hermanas,B. Presentación al Pueblo de Dos Hermanas
Padre Pio,Paso de Cristo,2010,CCTT Ntro. Padre Jesus de la Humildad,CyT Ntro. Padre Jesús de la Humildad
Padre Pio,Paso de Cristo,2011,CCTT Ntro. Padre Jesus de la Humildad,CyT Ntro. Padre Jesús de la Humildad
Padre Pio,Paso de Cristo,2012,CCTT Ntro. Padre Jesus de la Humildad,CyT Ntro. Padre Jesús de la Humildad
Padre Pio,Paso de Cristo,2013,CCTT Ntro. Padre Jesus de la Humildad,CyT Ntro. Padre Jesús de la Humildad
San Jose Obrero,Paso de Cristo,2013,AM Los Gitanos,"AM Nuestro Padre Jesús de la Salud ""Gitanos"""
San Jose Obrero,Paso de Cristo,2014,AM Los Gitanos,"AM Nuestro Padre Jesús de la Salud ""Gitanos"""
San Jose Obrero,Paso de Cristo,2015,AM Los Gitanos,"AM Nuestro Padre Jesús de la Salud ""Gitanos"""
San Jose Obrero,Paso de Cristo,2016,AM Los Gitanos,"AM Nuestro Padre Jesús de la Salud ""Gitanos"""
