hermandad,titular,anio,banda_raw,fuentes
La Mision,,1992,B. Stmo. Cristo de la Sed,foro-2019-josemariumb;foro-2026-costalero_prado-visperas
La Mision,,1993,B. Stmo. Cristo de la Sed,foro-2019-josemariumb;foro-2026-costalero_prado-visperas
La Mision,,1994,B. Stmo. Cristo de la Sed,foro-2019-josemariumb;foro-2026-costalero_prado-visperas
La Mision,,1995,B. Stmo. Cristo de la Sed,foro-2019-josemariumb;foro-2026-costalero_prado-visperas
La Mision,,1996,B. Ntra. Sra. de la Salud de Utrera,foro-2019-josemariumb;foro-2026-costalero_prado-visperas
La Mision,,1997,B. de S. Francisco Javier,foro-2019-josemariumb;foro-2026-costalero_prado-visperas
La Mision,,1998,C y T Cristo de la Exaltación,foro-2019-josemariumb;foro-2026-costalero_prado-visperas
La Mision,,1999,C y T Cristo de la Exaltación,foro-2019-josemariumb;foro-2026-costalero_prado-visperas
La Mision,,2000,C y T Cristo de la Exaltación,foro-2019-josemariumb;foro-2026-costalero_prado-visperas
La Mision,,2001,C y T Cristo de la Exaltación,foro-2019-josemariumb;foro-2026-costalero_prado-visperas
La Mision,,2002,C y T Cristo de la Exaltación,foro-2019-josemariumb;foro-2026-costalero_prado-visperas
La Mision,,2003,C y T Ntra. Sra. del Sol,foro-2019-josemariumb;foro-2026-costalero_prado-visperas
La Mision,,2004,C y T Ntra. Sra. del Sol,foro-2019-josemariumb;foro-2026-costalero_prado-visperas
La Mision,,2005,C y T Ntra. Sra. del Sol,foro-2019-josemariumb;foro-2026-costalero_prado-visperas
La Mision,,2006,C y T Ntra. Sra. del Sol,foro-2019-josemariumb;foro-2026-costalero_prado-visperas
La Mision,,2007,C y T Ntra. Sra. del Sol,foro-2019-josemariumb;foro-2026-costalero_prado-visperas
La Mision,,2008,"CyT Ntra Sra de la Victoria ""Cigarreras""",foro-2019-josemariumb;foro-2026-costalero_prado-visperas
La Mision,,2009,"CyT Ntra Sra de la Victoria ""Cigarreras""",foro-2019-josemariumb;foro-2026-costalero_prado-visperas
La Mision,,2010,"CyT Ntra Sra de la Victoria ""Cigarreras""",foro-2019-josemariumb;foro-2026-costalero_prado-visperas
La Mision,,2011,"CyT Ntra Sra de la Victoria ""Cigarreras""",foro-2019-josemariumb;foro-2026-costalero_prado-visperas
La Mision,,2012,"CyT Ntra Sra de la Victoria ""Cigarreras""",foro-2019-josemariumb;foro-2026-costalero_prado-visperas
La Mision,,2013,"CyT Ntra Sra de la Victoria ""Cigarreras""",foro-2019-josemariumb;foro-2026-costalero_prado-visperas
La Mision,,2014,"CyT Ntra Sra de la Victoria ""Cigarreras""",foro-2019-josemariumb;foro-2026-costalero_prado-visperas
La Mision,,2015,"CyT Ntra Sra de la Victoria ""Cigarreras""",foro-2019-josemariumb;foro-2026-costalero_prado-visperas
La Mision,,2016,"CyT Ntra Sra de la Victoria ""Cigarreras""",foro-2019-josemariumb;foro-2026-costalero_prado-visperas
La Mision,,2017,"CyT Ntra Sra de la Victoria ""Cigarreras""",foro-2019-josemariumb;foro-2026-costalero_prado-visperas
La Mision,,2018,"CyT Ntra Sra de la Victoria ""Cigarreras""",foro-2019-josemariumb;foro-2026-costalero_prado-visperas
La Mision,,2019,"CyT Ntra Sra de la Victoria ""Cigarreras""",foro-2019-josemariumb;foro-2026-costalero_prado-visperas
Pino Montano,Paso de Misterio,1991,AM Santa Marta de La Algaba,foro-2019-josemariumb
Pino Montano,Paso de Misterio,1992,AM Nuestro Padre Jesus de Nazareth,foro-2019-josemariumb
Pino Montano,Paso de Misterio,1993,AM Redencion,foro-2019-josemariumb
Pino Montano,Paso de Misterio,1994,AM Stma. Trinidad,foro-2019-josemariumb
Pino Montano,Paso de Misterio,1995,AM Stma. Trinidad,foro-2019-josemariumb
Pino Montano,Paso de Misterio,1996,AM Stma. Trinidad,foro-2019-josemariumb
Pino Montano,Paso de Misterio,1997,AM Ntra. Sra. de la Encarnacion,foro-2019-josemariumb
Pino Montano,Paso de Misterio,1998,AM Ntra. Sra. de la Encarnacion,foro-2019-josemariumb
Pino Montano,Paso de Misterio,1999,AM Ntra. Sra. de la Encarnacion,foro-2019-josemariumb
Pino Montano,Paso de Misterio,2000,AM Ntra. Sra. de la Encarnacion,foro-2019-josemariumb
Pino Montano,Paso de Misterio,2001,AM Ntra. Sra. de la Encarnacion,foro-2019-josemariumb
Pino Montano,Paso de Misterio,2002,AM Ntra. Sra. de la Encarnacion,foro-2019-josemariumb
Pino Montano,Paso de Misterio,2003,AM Ntra. Sra. de la Encarnacion,foro-2019-josemariumb
Pino Montano,Paso de Misterio,2004,AM Ntra. Sra. de la Encarnacion,foro-2019-josemariumb
Pino Montano,Paso de Misterio,2005,AM Ntra. Sra. de la Encarnacion,foro-2019-josemariumb
Pino Montano,Paso de Misterio,2006,AM Ntra. Sra. de la Encarnacion,foro-2019-josemariumb
Pino Montano,Paso de Misterio,2007,AM Ntra. Sra. de la Encarnacion,foro-2019-josemariumb
Pino Montano,Paso de Misterio,2008,AM Ntra. Sra. de la Encarnacion,foro-2019-josemariumb
