ANIO,DIA,HERMANDAD,BANDA
2022,jueves,Afligidos,"Banda de música Maestro Enrique Montero, de Chiclana"
2022,jueves,Oración en el Huerto,"El misterio irá acompañado por la agrupación musical Ecce Mater y el palio, por la banda de música de Nuestra Señora de la Soledad de La Algaba, Sevilla"
2022,jueves,Oración en el Huerto,"El Nazareno irá acompañado por la agrupación musical Jesús Cautivo de Estepona y el palio, por la banda municipal de Rota Maestro Enrique Galán"
2022,jueves,Santo Entierro,No lleva ninguno de los dos pasos
2022,jueves,El Perdón,"La agrupación musical Polillas, de Cádiz, acompaña al Cristo del Perdón; la banda musical Enrique Montero, de Chiclana, al palio"
2022,lunes,El Nazareno,"La asociación musical Encarnación, de Sevilla, acompaña al misterio. La Asociación Filarmónica Ciudad de Conil hará lo propio con el palio"
2022,lunes,Prendimiento,"Agrupación Musical Nuestro Padre Jesús de la Salud, de Cádiz, con el Cristo, y Banda Municipal de Música Nuestra Señora del Rosario de El Cuervo, de Sevilla, con la Virgen"
2022,lunes,La Palma,"Banda de Cornetas y Tambores de la Vera-Cruz de Utrera, de Sevilla, con el Cristo y banda de música Julián Cerdán, de Sanlúcar, con la Virgen"
2022,lunes,Santo Entierro,"Ante la Cruz de Guía, la Capilla Musical Getsemaní, de Chiclana. Capilla Musical Lignum Crucis de San Fernando ante el Santísimo Cristo. Banda de Música de la Academia Municipal Maestro Enrique Montero de Chiclana, con el paso de la Virgen"
2022,martes,Sanidad,"Capilla Musical Lignum Crucis, de La Isla acompaña al Cristo; la Banda de Música de Gailín, de Puerto Serrano, irá con la Virgen"
2022,martes,Piedad,"La banda de la Humildad de Huelva acompaña al paso de misterio y la banda de música de la Hermandad de Nuestro Padre Jesús Nazareno de Rota, al palio"
2022,martes,Jesús Caído,Agrupación Musical Virgen de la Oliva de Vejer de la Frontera acompaña al misterio y la banda de música Nuestra Señora de Palomares de Trebujena en la Virgen
2022,martes,Columna,"La banda de cornetas y tambores Nuestra Señora del Rosario Coronada acompaña al paso del misterio; y la Asociación Filarmónica Ciudad de Conil, con la Virgen"
2022,martes,Ecce-Homo,"Banda de cornetas y tambores de Los Gitanos de Málaga en el Cristo y la Asociación Cultural Astigitana de Ecija, en el palio"
2022,miercoles,Las Aguas,"La Agrupación Musical Sagrada Resurrección de Chiclana acompaña a San Juan Evangelista; la Banda de Cornetas y Tambores Rosario de Arriate, de Málaga, irá tras el misterio; y la Sociedad Filarmónica de Conil pone música al palio"
2022,miercoles,Sentencia,"La Banda de Cornetas y Tambores Jesús Nazareno de Huelva, Sentencia y la Banda de Música Pedro Álvarez Hidalgo de Puerto Real con el Buen Fin"
2022,miercoles,Cigarreras,"Acompañando al paso de misterio irá la Agrupación Musical Nuestro Padre Jesús de la Salud; por su parte, al palio de María Santísima de la Esperanza lo acompañará la Banda de Música Albricias de El Cerro del Andévalo, de Huelva"
2022,miercoles,Angustias,Capilla Musical Trivium de Sevilla realizará el acompañamiento musical
2022,ramos,La Borriquita,"Agrupación de la Salud, de Cádiz, en el misterio; bandas de música del Nazareno de San Fernando y del Carmen de Villalba en el palio. Imágenes: Nuestro Padre Jesús de la Paz es obra del imaginero gaditano Miguel Láinez Capote, en 1944, y Francisco Buiza lo reformó en 1979. María Santísima del Amparo fue adquirida en 1948 en los talleres valencianos de Rafael Peris; de autor desconocido, data de principios del siglo XVIII"
2022,ramos,Las Penas,"Banda de cornetas y tambores La Unión, de Baena (Córdoba) tras el Cristo; Filarmónica de Conil con la Virgen. Imágenes: Jesús de las Penas es obra del imaginero sevillano Luis Álvarez Duarte, en 1986; la Virgen de la Caridad obra del imaginero Manuel Pineda Calderón, en 1963, y fue remodelada por Luis Álvarez Duarte"
2022,ramos,Despojado,"Banda de cornetas y tambores Rosario, de Linares (Jaén). Imágenes: El escultor e imaginero cordobés Francisco Romero Zafra es el autor de Nuestro Padre Jesús del Amor y María Santísima de la Concepción"
2022,ramos,Sagrada Cena,"Agrupación Musical Polillas, de Cádiz. Imágenes: Luis E. González Rey realizó en 1993 la"
2022,ramos,Humildad y Paciencia,"Banda de cornetas y tambores del Rosario, de Arriate (Málaga), con el Cristo; banda de música del Nazareno de Rota, tras el palio. Imágenes: El imaginero gallego Jacinto Pimentel talló la"
2022,viernes,Siete Palabras,"Banda de cornetas y tambores Amor de Cristo de San Juan de Aznalfarache, de Sevilla"
2022,viernes,Expiración,"Agrupación musical Nuestro Padre Jesús Despojado, de Jaén, con el Cristo; banda de música Nuestra Señora de la Amargura, tras el palio"
2022,viernes,Descendimiento,Capilla musical Lignum Crucis frente al paso
2022,viernes,Buena Muerte,"El Cristo irá acompañado de la capilla musical Calvarium, de Sevilla; el trío de capilla San Pablo, de Cádiz, irá con el palio"
2022,viernes,Ecce-Mater-Tua,No lleva música
