ANIO,DIA,HERMANDAD,PASO,BANDA
2023,Viernes de Dolores,Dolores Servitas,Misterio,BM Maestro Tejera
2023,Sabado de Pasion,Nazareno de la Obediencia,Misterio,AM Polillas
2023,Domingo de Ramos,La Borriquita,Misterio,AM La Salud (Cadiz)
2023,Domingo de Ramos,La Borriquita,Palio,BM Ntra. Sra. del Carmen (Villalba del Alcor)
2023,Domingo de Ramos,La Borriquita,Palio,BM Ntro. Padre Jesus Nazareno (San Fernando)
2023,Domingo de Ramos,Despojado,Misterio,BCT Santa Cruz (Almeria)
2023,Domingo de Ramos,Despojado,Misterio,BCT Santo Cristo de la Columna (Daimiel)
2023,Domingo de Ramos,Las Penas,Misterio,BCT La Union (Baena)
2023,Domingo de Ramos,Las Penas,Palio,Filarmonica de Conil
2023,Domingo de Ramos,Sagrada Cena,Misterio,AM Polillas (Cadiz)
2023,Domingo de Ramos,Humildad y Paciencia,Misterio,BCT Nuestra Senora del Rosario (Arriate)
2023,Domingo de Ramos,Humildad y Paciencia,Palio,BM Ntro. Padre Jesus Nazareno (Rota)
2023,Lunes Santo,La Palma,Misterio,BCT Veracruz (Utrera)
2023,Lunes Santo,La Palma,Palio,BM Julian Cerdan (Sanlucar de Bda.)
2023,Lunes Santo,El Prendimiento,Misterio,AM La Salud (Cadiz)
2023,Lunes Santo,El Prendimiento,Palio,BM Ntra. Sra. del Rosario (El Cuervo)
2023,Lunes Santo,Nazareno del Amor,Misterio,AM Nuestra Senora de la Encarnacion de San Benito (Sevilla)
2023,Lunes Santo,Nazareno del Amor,Palio,Filarmonica de Conil
2023,Lunes Santo,Veracruz,Misterio,CM Lignum Crucis (San Fernando)
2023,Lunes Santo,Veracruz,Palio,BM Enrique Montero (Chiclana)
2023,Martes Santo,Columna,Misterio,BCT Rosario de Cadiz
2023,Martes Santo,Columna,Palio,Filarmonica de Conil
2023,Martes Santo,Sanidad,Misterio,CM Lignum Crucis (San Fernando)
2023,Martes Santo,Sanidad,Palio,BM Gailin (Puerto Serrano)
2023,Martes Santo,El Caido,Misterio,AM Virgen de la Oliva (Vejer)
2023,Martes Santo,El Caido,Palio,BM Ntra. Sra. de Palomares (Trebujena)
2023,Martes Santo,Ecce Homo,Misterio,BCT Los Gitanos (Malaga)
2023,Martes Santo,Ecce Homo,Palio,BM Ntra. Sra. del Carmen (Prado del Rey)
2023,Martes Santo,Piedad,Misterio,BCT La Humildad de Huelva
2023,Martes Santo,Piedad,Palio,BM Ntro. Padre Jesus Nazareno (Rota)
2023,Miercoles Santo,Las Aguas,Misterio,BCT Rosario (Arriate)
2023,Miercoles Santo,Las Aguas,Palio,Filarmonica de Conil
2023,Miercoles Santo,Las Aguas,Palio,AM Sagrada Resurreccion (Chiclana)
2023,Miercoles Santo,Cigarreras,Misterio,AM La Salud (Cadiz)
2023,Miercoles Santo,Cigarreras,Palio,BM Bollullos del Condado
2023,Miercoles Santo,Sentencia,Misterio,BCT Jesus Nazareno (Huelva)
2023,Miercoles Santo,Sentencia,Palio,BM Maestro Hidalgo (Puerto Real)
2023,Miercoles Santo,Angustias (El Caminito),Misterio,Quinteto de metales Julian Cerdan
2023,Jueves Santo,Oracion en el Huerto,Misterio,No procesiona
2023,Jueves Santo,Afligidos,Misterio,BM Enrique Montero (Chiclana)
2023,Jueves Santo,Nazareno de Santa Maria,Misterio,AM Jesus Cautivo (Estepona)
2023,Jueves Santo,Nazareno de Santa Maria,Palio,BM Maestro Enrique Galan (Rota)
2023,Jueves Santo,Medinaceli,Misterio,No lleva
2023,Madrugada,El Perdon,Misterio,AM Polillas (Cadiz)
2023,Madrugada,El Perdon,Palio,BM Gailin (Puerto Serrano)
2023,Viernes Santo,Siete Palabras,Misterio,AM La Salud (Cadiz)
2023,Viernes Santo,Expiracion,Misterio,AM Santa Cruz (Huelva)
2023,Viernes Santo,Expiracion,Palio,BM La Salud (Barbate)
2023,Viernes Santo,Descendimiento,Misterio,CM Lignum Crucis (San Fernando)
2023,Viernes Santo,Buena Muerte,Misterio,CM Calvarium (Sevilla)
2023,Viernes Santo,Buena Muerte,Palio,CM San Pablo (Cadiz)
2023,Sabado Santo,Ecce Mater Tua,Palio,No lleva
2023,Sabado Santo,Santo Entierro,Palio,BM Ntra. Sra. del Carmen (Prado del Rey)
2023,Sabado Santo,Santo Entierro,Palio,BM Julian Cerdan (Sanlucar de Barrameda)
2023,Domingo de Resurreccion,Resucitado,Misterio,AM Ecce Mater Tua
