ANIO,PAG,HERMANDAD,TITULAR_FUENTE,BANDA
2024,6,SERVITAS,,BM Maestro Tejera (Sevilla)
2024,8,NAZARENO DE LA,,AM Polillas (Cádiz)
2024,9,LA BORRIQUITA,,AM La Salud (Cristo). BM Carmen de Villalba del Alcor (Huelva) y BM Albaida del Aljarafe (Sevilla) en el palio
2024,9,LAS PENAS,,"BCT La Unión de Baena, Córdoba (Cristo) y la Filarmónica de Conil en el paso de palio"
2024,10,SAGRADA CENA,,AM Polillas
2024,10,DESPOJADO,,"Banda cornetas y tambores Cristo de la Columna, Los Coloraos de Daimiel (Ciudad Real)"
2024,11,HIMILDAD Y PACIENCIA,,"BCT Rosario de Arriate, Málaga (Cristo) y BM Nazareno de Rota (Virgen)"
2024,12,NAZARENO DEL AMOR,,"Sección Musical Los Gitanos, Sevilla (Cristo) y Filarmónica de Conil (Virgen)"
2024,12,LA PALMA,,BCT Vera+Cruz de Utrera (Cristo) y BM Julián Cerdán de Sanlúcar de Barrameda (Virgen)
2024,14,EL PRENDIMIENTO,,"AM La Salud, Cádiz (Cristo) y la BM Carmen de El Cuervo (Virgen)"
2024,14,VERA+CRUZ,,Capilla Musical “Lignum Crucis” de San Fernando (Cristo) y BM Enrique Montero de Chiclana (Virgen)
2024,15,SANIDAD,,Capilla Musical “Lignum Crucis” de San Fernando (Cristo) y BM Gailín de Puerto Serrano (Virgen)
2024,15,PIEDAD,,BCT Stma. Trinidad de Palencia (Cristo) y BM Consolación de Huelva (Virgen)
2024,16,JESÚS CAÍDO,,AM Virgen de la Oliva de Vejer (Cristo) y BM Palomares de Trebujena (Virgen)
2024,16,COLUMNA,,BCT Rosario de Cádiz (Cristo) y Filarmónica de Conil (Virgen)
2024,17,ECCE-HOMO,,BCT Los Gitanos de Málaga (Cristo) y BM El Carmen de Prado del Rey (Virgen)
2024,18,LA SENTENCIA,,"BCT Cristo de la Elevación de Campos de Criptana, Ciudad Real (Cristo), y BM Municipal de Lora del Río (Virgen)"
2024,18,LAS AGUAS,,"AM Los Remedios de Estepona (San Juan), BCT Cristo de la Victoria de León (Cristo), y Filarmónica de Conil (Virgen)"
2024,20,LAS CIGARRERAS,,AM La Salud (Cristo) y BM Municipal de Bollullos Par del Condado (Virgen)
2024,20,CAMINITO,,Quinteto de Metal de la BM Julián Cerdán de Sanlúcar de Barrameda
2024,21,AFLIGIDOS,,BM Enrique Montero de Chiclana de la Fra
2024,21,EL NAZARENO,,AM Jesús Cautivo de Estepona (Cristo) y BM Enrique Galán de Rota (Virgen)
2024,22,MEDINACELI,,No lleva
2024,22,EL PERDÓN,,AM Polillas (Cristo) y BM Gailín de Puerto Serrano (Virgen)
2024,24,SIETE PALABRAS,,AM La Salud de Cádiz
2024,24,EXPIRACIÓN,,AM Polillas (Cristo) y BM María Santísima de la Salud de Barbate (Virgen)
2024,25,DESCENDIMIENTO,,Capilla Musical “Lignum Crucis” de San Fernando
2024,25,BUENA MUERTE,,Capilla Musical “Calvarium” de Sevilla (Cristo) y Capilla Musical San Pablo de Cádiz (Virgen)
2024,26,ECCE-MATER-TUA,,No lleva
2024,26,SANTO ENTIERRO,,BM Nazareno de San Fernando (Cristo) y BM El Carmen de Prado del Rey (Virgen)
2024,27,LA RESURRECCIÓN,,AM EcceMater de Cádiz
