ANIO,PAG,HERMANDAD,TITULAR_FUENTE,BANDA
2024,4,PRO-HERMANDAD DE LA BONDAD,,Agrupación Musical del Santísimo Cristo de Gracia
2024,4,HERMANDAD QUINTA ANGUSTIA,,Música de capilla
2024,6,PRO-HERMANDAD DE LA SALUD,,Agrupación Musical Nuestro Padre Jesús de la Redención (Córdoba)
2024,6,PRESENTACIÓN,,Agrupación Musical Nuestro Padre Jesús de la Redención de Córdoba
2024,7,HERMANDAD DE LA O,,Agrupación musical Santísimo Cristo de Gracia (Córdoba) con el señor y la Banda de Música Villa de Osuna (Sevilla) con la Virgen. Detalles: La imagen de Nuestro Padre Jesús de la Victoria en sus Tres Caídas realizará su primera salida en el sábado de Pasión. También se estrenará el manto de la Virgen
2024,7,AURORA,,Agrupación musical Sagrada Cena
2024,8,HERMANDAD SANTÍSIMO CRISTO DE LA SANGRE,,"Banda de cornetas y tambores Nuestra Señora de la Salud (Córdoba). Detalles: La pro hermandad estrena la nueva imagen titular, obra de Manuel Luque Bonillo, así como la parihuela en la que procesiona"
2024,8,PRO-HERMANDAD TRASLADO AL SEPULCRO,,Trío de Capilla Trivium
2024,10,ENTRADA TRIUNFAL (LA BORRIQUITA),,Banda de cornetas y tambores Nuestro Padre Jesús Caído y Nuestra Señora de la Fuensanta en el Misterio. Banda sinfónica municipal de Dos Torres (Córdoba) en la Virgen. Hermano mayor: Víctor Martínez Pozo
2024,10,LAS PENAS DE SANTIAGO,,Agrupación musical Santa Cecilia (Aguilar de la Frontera) en el Señor y Banda de Música Las Golondrinas (Vélez-Málaga) en la Virgen. Hermano mayor: Rafael Francisco Moreno Víctor
2024,12,EL RESCATADO,,"Banda de cornetas y tambores Coronación de Espinas, en el Señor. Banda de música La Estrella, en la Virgen. Hermano mayor: Miguel Ángel Lopera Arias"
2024,12,VERA-CRUZ,,Banda de cornetas y tambores de Nuestra Señora de los Dolores del Rosario de Baeza (Jaén) en el Misterio. Banda de Música de Estepa (Sevilla) en el Palio. Hermano mayor: José Luis del Pino Mata
2024,13,LA ESPERANZA,,"Agrupación musical Nuestro Padre Jesús de la Pasión de Linares (Linares, Jaén), en el Misterio. Banda de música María Santísima de la Esperanza (Córdoba) en la Virgen. Hermano mayor: Rafael García Cerezo"
2024,13,EL AMOR,,"Banda de cornetas y tambores Nuestra Señora de la Salud (Córdoba) en el Silencio. Banda de CCTT Maestro Valero, de Aguilar de la Frontera (Córdoba), en el Cristo del Amor. Banda de Música Santa Cecilia, de Montoro (Córdoba), en el paso de palio"
2024,17,EL HUERTO,,"Agrupación musical Nuestro Padre Jesús de la Redención (Córdoba), en el Misterio. Asociación Musical utrerana (Utrera, Sevilla) en el Señor Amarrado. Banda de música Tubamirum (Cañete de las Torres) en la Virgen. Hermano mayor: Francisco J. Figueroba Ruiz"
2024,18,LA ESTRELLA,,"Agrupación musical Nuestro Padre Jesús de la Redención, en el Misterio. Banda de música La Estrella, en la Virgen. Agrupación Musical Niño perdido de Estepa (Sevilla) en la Cruz de guía"
2024,18,LA MERCED,,"Banda de cornetas y tambores Coronación de Espinas (Córdoba), en el Misterio. Banda de música Tubamirum (Cañete de las Torres), en la Virgen. Hermano mayor: Pablo Rafael Jiménez González"
2024,20,LA SENTENCIA,,"Banda de cornetas y tambores Centuria Romana Macarena (Sevilla), en el Misterio. Banda Municipal de Música Nuestra Señora del Águila (Alcalá de Guadaíra), en la Virgen. Hermano mayor: Rafael Salamanca Navarro"
2024,22,VÍA CRUCIS,,Tambores roncos
2024,22,ÁNIMAS,,Coro de Hermanos entonando el “Miserere” tras el Cristo mientras que las Hermanas cantan el “Stabat Mater” tras la Virgen. Hermano mayor: José Ignacio Aguilera Castelló
2024,24,LA AGONÍA,,"Banda de cornetas y tambores Nuestra Señora de la Salud (Córdoba), en el misterio"
2024,26,COFRADÍA UNIVERSITARIA,,No lleva acompañamiento musical
2024,26,LA SANGRE,,"Banda de cornetas y tambores Nuestro Padre Jesús Cautivo (Málaga), en el Misterio. Banda de música María Santísima de la Esperanza, en la Virgen. Hermano mayor: Manuel López Lorenzo"
2024,28,EL BUEN SUCESO,,"Banda de cornetas y tambores Monte Calvario (Martos), en el misterio"
2024,28,LA SANTA FAZ,,"Agrupación musical Nuestro Padre Jesús de la Pasión (Linares), en el misterio"
2024,30,EL PRENDIMIENTO,,"Agrupación musical Santísimo Cristo de Gracia (Córdoba), en el misterio"
2024,32,EL PERDÓN,,"Banda de cornetas y tambores Coronación de Espinas, en el Señor. Banda de música Tubamirum (Cañete de las Torres), en la Virgen. Hermano mayor: Jesús Campos Villalón"
2024,34,EL CALVARIO,,"Banda de cornetas y tambores Nuestro Padre Jesús Nazareno (El Arahal), en el misterio"
2024,34,LA PAZ,,"Banda de cornetas y tambores Nuestra Señora de la Salud (Córdoba), en el misterio"
2024,35,LA MISERICORDIA,,"Banda de cornetas y tambores Nuestro Padre Jesús Caído y Nuestra Señora de la Fuensanta, en el Crucificado. Banda de música María Santísima de la Esperanza, en la Virgen. Hermano mayor: José Manuel Maqueda Estepa"
2024,35,LA PASIÓN,,"Agrupación musical Santo Tomás de Villanueva (Ciudad Real), en el Señor. Banda Municipal de"
2024,36,LA PIEDAD DE LAS PALMERAS,,Banda de Cornetas y Tambores Santísimo Cristo de la Expiración de Quesada (Jaén) Hermana mayor: Pilar Torrecillas Báez
2024,39,EL NAZARENO,,No lleva acompañamiento musical
2024,40,LA CARIDAD,,Banda de Cornetas y Tambores del Tercio Gran Capitán 1º de la Legión de Melilla. La Legión acompañará también al Señor de la Caridad durante su Vía Crucis a hombros en la mañana del Viernes Santo. Hermano mayor: Carlos Pérez Fernández
2024,40,EL CAÍDO,,"Banda de cornetas y tambores Caído y Fuensanta (Córdoba), en el Señor. Banda de música de María Santísima de la Esperanza (Córdoba), en la Virgen. Hermano mayor: Juan Rafael Cabezas Gutiérrez"
2024,42,LA SAGRADA CENA,,"Agrupación musical Nuestro Padre Jesús de la Fe en su Sagrada Cena, en el misterio"
2024,42,LAS ANGUSTIAS,,Banda de música de El Saucejo (Sevilla). Hermano mayor: Antonio Carlos Susín Cabello
2024,44,CRISTO DE GRACIA,,Agrupación Musical Santísimo Cristo de Gracia. Hermano mayor: José María Gisbert León
2024,47,LA BUENA MUERTE,,No lleva acompañamiento musical
2024,48,LA SOLEDAD,,Banda de Música La Estrella (Córdoba) Hermano mayor: Enrique Ruiz Flores
2024,48,LA EXPIRACIÓN,,"Capilla musical Ars Sacra de Écija en el Cristo. Agrupación Musical Ecijana AMUECI, en la Virgen. Hermano mayor: Rafael Infantes Diéguez"
2024,50,EL DESCENDIMIENTO,,"Banda de Cornetas y tambores Caído y Fuensanta, en el misterio"
2024,51,LA CONVERSIÓN,,Agrupación Musical Nuestro Padre Jesús de la Redención. Hermano mayor: Rafael Dorado Gutiérrez
2024,51,LOS DOLORES,,"Banda de cornetas y tambores de la Coronación de Espinas (Córdoba), en el Cristo. Banda Sinfónica de Dos Torres (Córdoba), en la Virgen. Hermano mayor: José M. Herrero Fernández de Córdova"
2024,52,EL SANTO SEPULCRO,,"Grupo de capilla SIBI, en el Cristo. Música coral polifónica de los siglos XVIXVII, interpretada por el Coro Cantabile, en la Virgen. Hermano mayor: Alfonso Orti Baquerizo"
2024,54,EL RESUCITADO,,"Agrupación musical Santísimo Cristo de Gracia (Córdoba), en el Misterio. Banda de Música Nuestra Señora de la Estrella (Córdoba), en el Palio. En la Cruz de guía, la Banda de Cornetas y Tambores “La Fusión” de Marmolejo-Lopera (Jaén). Hermano mayor: Francisco Mora Sánchez"
