ANIO,DIA,HERMANDAD,BANDA
2025,Visperas,Bondad,A.M. Cristo de Gracia en el Cristo
2025,Visperas,Quinta Angustia,Capilla Musical de la Banda de Musica de La Estrella a la ida y A.M. Redencion de Cordoba a la vuelta en el Cristo
2025,Visperas,Salud,A.M. Cristo de Gracia de Cordoba en el Cristo
2025,Visperas,Providencia,Banda de Musica de la Esperanza en el Cristo
2025,Visperas,Presentación al Pueblo,A.M. Redencion de Cordoba en el Cristo
2025,Visperas,Lágrimas,A.M. Sagrada Cena de Cordoba en el Cristo
2025,Visperas,Traslado al Sepulcro,No lleva
2025,Visperas,La O,A.M. Cristo de Gracia en el Senor y Banda de Musica Villa de Osuna en el palio
2025,Domingo de Ramos,Entrada Triunfal,B.C.T. Caido y Fuensanta de Cordoba en el Cristo y B.M. Sinfonica Municipal de Dos Torres en el palio
2025,Domingo de Ramos,Amor,B.C.T. Salud de Cordoba en el misterio
2025,Domingo de Ramos,Amor,B.C.T. Maestro Valero de Aguilar de la Frontera en el Cristo del Amor
2025,Domingo de Ramos,Huerto,A.M. Redencion de Cordoba en el misterio
2025,Domingo de Ramos,Huerto,Asociacion Musical Utrerana en el Senor Amarrado a la Columna
2025,Domingo de Ramos,Rescatado,B.C.T. Coronacion de Espinas en el Cristo y B.M. Estrella de Cordoba en el palio
2025,Domingo de Ramos,Penas de Santiago,A.M. Gitanos de Sevilla en el misterio y B.M. Golondrinas de Velez-Malaga en el palio
2025,Domingo de Ramos,Vera Cruz,B.C.T. Rosario de Linares en el Senor y B.M. Carmen de Prado del Rey en el palio
2025,Domingo de Ramos,Esperanza,A.M. Pasion de Linares en el Cristo y B.M. Esperanza en el palio
2025,Lunes Santo,Merced,B.C.T. Coronacion de Espinas en el misterio y B.M. Tubamirum de Canete de las Torres en el palio
2025,Lunes Santo,Sentencia,B.C.T. Elevacion de Campo de Criptana en el Senor y B.M. Aguila de Alcala de Guadaira en el palio
2025,Lunes Santo,Redención,A.M. Redencion en el Cristo y B.M. Estrella en el palio
2025,Lunes Santo,Ánimas,Coro de hermanos
2025,Lunes Santo,Vía Crucis,Cuatro tambores roncos enlutados
2025,Martes Santo,Agonía,B.C.T. Salud de Cordoba en el Cristo y B.M. Lora del Rio en el palio
2025,Martes Santo,Universitaria,En silencio
2025,Martes Santo,Sangre,B.C.T. Cautivo de Malaga en el misterio y B.M. Esperanza de Cordoba en el palio
2025,Martes Santo,Buen Suceso,B.C.T. Monte Calvario en el misterio y B.M. Estrella de Cordoba en el palio
2025,Martes Santo,Santa Faz,A.M. Pasion de Linares en el misterio y B.M. Tubamirum en el palio
2025,Martes Santo,Prendimiento,A.M. Cristo de Gracia en el misterio y Asociacion Musical de la Algaba en el palio
2025,Miercoles Santo,Perdón,B.C.T. Coronacion de Espinas en el misterio y B.M. Tubamirum de Canete de las Torres en el palio
2025,Miercoles Santo,Paz y Esperanza,B.C.T. Salud de Cordoba en el misterio y B.M. Municipal de Arahal en el palio
2025,Miercoles Santo,Calvario,B.C.T. Nazareno de Arahal en el Cristo y B.M. de la Esperanza en el palio
2025,Miercoles Santo,Pasión,A.M. Santo Tomas de Villanueva de Ciudad Real en el Cristo y B.M. Amueci en el palio
2025,Miercoles Santo,Piedad,B.C.T. Expiracion de Quesada en el Cristo
2025,Jueves Santo,Nazareno,No lleva acompanamiento musical
2025,Jueves Santo,Caridad,Tercio Gran Capitan n1 de la Legion en el Cristo
2025,Jueves Santo,Sagrada Cena,A.M. Sagrada Cena de la propia hermandad en el misterio y B.M. Tubamirum en el palio
2025,Jueves Santo,Caído,B.C.T. Caido y Fuensanta de Cordoba en el Senor y B.M. Esperanza en el palio
2025,Jueves Santo,Angustias,Banda de Musica de El Saucejo
2025,Jueves Santo,Cristo de Gracia,A.M. Santisimo Cristo de Gracia en el Cristo
2025,Viernes Santo,Buena Muerte,No lleva acompanamiento musical
2025,Viernes Santo,Soledad,Banda de Musica de la Estrella
2025,Viernes Santo,Expiración,Capilla musical Ars Sacra de Ecija en el Cristo y B.M. Carmen de Villalba del Alcor en el palio
2025,Viernes Santo,Dolores,B.C.T. Coronacion de Espinas en el Cristo y B.M. Dos Torres en el palio
2025,Viernes Santo,Descendimiento,B.C.T. Caido y Fuensanta en el misterio y B.M. El Saucejo en el palio
2025,Viernes Santo,Conversión,A.M. Redencion de Cordoba en el misterio
2025,Viernes Santo,Sepulcro,Quinteto de viento Sabit en el Cristo y Coral Polifonica Cantabile de Cordoba en el palio
2025,Viernes Santo,Dolores de Alcolea,B.M. Don Luis de Zufre
2025,Domingo de Resurreccion,Resucitado,A.M. Santisimo Cristo de Gracia en el misterio y B.M. de la Estrella en el palio
