ANIO,DIA,HERMANDAD,PASO,BANDA
2024,Domingo de Ramos,Borriquilla,Música misterio,Agrupación Musical María Santísima de la Estrella |
2024,Domingo de Ramos,Borriquilla,Música palio,Banda de Música Nuestra Señora de Los Dolores
2024,Domingo de Ramos,Santa Cena,Música misterio,Banda de Cornetas y Tambores Nuestra Señora de la Victoria |
2024,Domingo de Ramos,Santa Cena,Música palio,Agrupación Músico-Cultural de la Santa Vera Cruz 'La Pepa' de Alhaurín el Grande (Málaga)
2024,Domingo de Ramos,Maravillas,Música misterio,Banda de Cornetas y Tambores Cristo de la Elevación del Campo de Criptana |
2024,Domingo de Ramos,Maravillas,Música palio,Asociación Musical San Isidro de Armilla
2024,Domingo de Ramos,Despojado,Música misterio,Banda de Cornetas y Tambores Nuestro Padre Jesús Despojado |
2024,Domingo de Ramos,Despojado,Música palio,Banda y Unidad de Música Ángeles de Granada
2024,Domingo de Ramos,Cautivo,Música Señor,Agrupación Musical Nuestra Señora de la Cabeza de Exfiliana |
2024,Domingo de Ramos,Cautivo,Música palio,Banda de Música de Torredonjimeno (Jaén)
2024,Lunes Santo,Huerto,Música misterio,Banda de Cornetas y Tambores de Nuestro Padre Jesús Despojado de sus Vestiduras |
2024,Lunes Santo,Huerto,Música palio,Asociación Musical San Isidro de Armilla
2024,Lunes Santo,Trabajo y Luz,Música misterio,Agrupación Musical Nuestra Señora de las Angustias de Alcalá la Real |
2024,Lunes Santo,Trabajo y Luz,Música palio,Banda de Música Felipe Moreno de Cúllar Vega
2024,Lunes Santo,Los Dolores,Música palio,Banda de Música Nuestra Señora de Los Dolores
2024,Lunes Santo,Rescate,Música Cruz Guía,Agrupación Musical Santa María de la Paz |
2024,Lunes Santo,Rescate,Música Señor,Agrupación Musical Nuestro Padre Jesús del Rescate
2024,Lunes Santo,San Agustín,Música Cristo,Capilla
2024,Lunes Santo,San Agustín,Musical | Música palio,Capilla Musical Santo Ángel Custodio y sexteto Magnum Ensemble
2024,Martes Santo,Vía Crucis,Música Señor,Trío de Cañas 'Äglae'
2024,Martes Santo,Vía Crucis,Música palio,Banda y Unidad de Música Ángeles de Granada
2024,Martes Santo,Lanzada,Música Cristo,Banda de Cornetas y Tambores de Nuestro Padres Jesús Despojado de sus Vestiduras |
2024,Martes Santo,Lanzada,Música palio,Asociación Músico Cultural San Sebastián de Padul
2024,Martes Santo,Esperanza,Música Señor,Banda de Cornetas y Tambores de Nuestro Padre Jesús del Gran Poder |
2024,Martes Santo,Esperanza,Música palio,Banda de Música de Santa María del Alcor
2024,Martes Santo,Cañilla,Música misterio,Agrupación Musical Dulce Nombre de Jesús |
2024,Martes Santo,Cañilla,Música virgen,Asociación Musical San Isidro de Armilla
2024,Miércoles Santo,Los Gitanos,Música Cristo,Banda de Cornetas y Tambores Fe y Consuelo (Martos)
