ANIO,PAG,HERMANDAD,TITULAR_FUENTE,TITULAR,BANDA
2024,4,EL PRADO,VIERNES DE DOLORES 22 DE MARZO,Paso de Misterio,Banda de Música Virgen de las Mercedes de Bollullos Par del Condado
2024,6,LA BORRIQUITA,NUESTRA SEÑORA DE LOS ANGELES,Paso de Virgen,Banda de Música Nuestra Señora de las Mercedes de Bollullos Par del Condado
2024,6,LA BORRIQUITA,DOMINGO DE RAMOS 24 DE MARZO,Paso de Misterio,Agrupación Musical Lágrimas de Dolores de San Fernando (Cádiz)
2024,6,SAGRADA CENA,MARÍA SANTÍSIMA DEL ROSARIO,Paso de Virgen,Banda de Música AMUECI (Écija)
2024,6,SAGRADA CENA,CRISTO DEL AMOR,Paso de Misterio,Agrupación Musical Santísimo Cristo del Amor
2024,8,VICTORIA,NUESTRA SEÑORA DE LA PAZ,Paso de Virgen,Banda Filarmónica de Pilas (Sevilla)
2024,8,MUTILAOS,NUESTRA SEÑORA DE LA PAZ,Paso de Virgen,Banda de CC y TT Santísimo Cristo de la Victoria de León
2024,8,REDENCIÓN,MARÍA STMA. DEL DULCE NOMBRE,Paso de Virgen,Agrupación Musical de la Santa Cruz
2024,10,CAUTIVO,LUNES SANTO 25 DE MARZO,Paso de Misterio,Banda de Música Virgen de las Mercedes de Bollullos Par del Condado
2024,10,CAUTIVO,LUNES SANTO 25 DE MARZO,Paso de Misterio,Agrupación Musical Santísimo Cristo del Amor
2024,10,PERDÓN,LUNES SANTO 25 DE MARZO,Paso de Misterio,Banda Municipal de
2024,10,PERDÓN,MADRE DEL AMOR MISERICORDIOSO,Paso de Misterio,Agrupación Musical de la Santa Cruz
2024,11,TRES CAÍDAS,MARÍA SANTÍSIMA DEL AMOR,Paso de Virgen,Banda Municipal de
2024,11,TRES CAÍDAS,LUNES SANTO 25 DE MARZO,Paso de Misterio,Banda de Cornetas y Tambores de Nuestro Padre Jesús Nazareno
2024,11,CALVARIO,LUNES SANTO 25 DE MARZO,Paso de Misterio,Capilla Musical Madre de Consolación
2024,11,CALVARIO,LUNES SANTO 25 DE MARZO,Paso de Misterio,Capilla Musical Madre de Consolación
2024,14,LANZADA,MARTES SANTO 26 DE MARZO,Paso de Misterio,Banda de Música Municipal de Aznalcóllar
2024,14,LANZADA,MARÍA SANTISÍMA DEL PATROCINIO,Paso de Virgen,Banda de Cornetas y Tambores Cristo Expiración “Salud y Esperanza”
2024,14,SENTENCIA,NUESTRA SEÑORA DE LA SALUD,Paso de Virgen,Agrupación Musical Santísimo Cristo del Amor
2024,15,ESTUDIANTES,NUESTRA SEÑORA DEL VALLE,Paso de Virgen,Banda Sinfónica del Liceo Municipal de la Música de Moguer
2024,15,ESTUDIANTES,SANTÍSIMO CRISTO DE LA SANGRE,Paso de Misterio,Trío de Capilla Gólgota
2024,15,PASIÓN,MARÍA SANTÍSIMA DEL REFUGIO,Paso de Virgen,Banda de Música Nuestra Señora de las Mercedes de Bollullos Par del Condado
2024,15,PASIÓN,MARÍA SANTÍSIMA DEL REFUGIO,Paso de Virgen,Agrupación Musical Cristo de la Salud (Gitanos)
2024,17,EL PRENDIMIENTO,MARÍA SANTÍSIMA DE LA ESTRELLA,Paso de Virgen,Banda de Cornetas y Tambores de Nuestro Padre Jesús Nazareno
