ANIO,PAG,HERMANDAD,BANDA
2025,4,Los Dolores,Banda Municipal de Música de Aznalcóllar (Sevilla) (Palio)
2025,5,El Prado,Banda Sinfónica del Liceo de Moguer (Huelva)
2025,8,La Bendición,Agrupación Musical Santa Cruz (Huelva)
2025,9,VeraCruz,"Banda de la Legión Programa del Grupo Acorazado de Caballería Reyes Católicos de la Legión, procedente de Ronda De 10:30 h a 13:30 h. Cambios de guardias al Señor de la Vera+Cruz en la iglesia de la concepción"
2025,12,La Borriquita,Banda de CCTT de Aracena. (Cruz de guía) Agrupación Musical Santa Cruz. (Misterio) Banda de Música Virgen de las Mercedes. Bollullos Par del Condado. (Palio)
2025,13,Sagrada Cena,"Agrupación Musical Santísimo Cristo del Amor, La Cena (Misterio) Banda de Música AMUECI (Sevilla) (Palio)"
2025,16,Redención,Agrupación Musical Virgen de la Oliva. Vejer de la Frontera (Misterio). Banda de CCTT del Santísimo Cristo de la Expiración (Salud y Esperanza) (Misterio)
2025,17,Mutilados,Banda de Cornetas y Tambores Nuestro Padre Jesús Nazareno (Misterio) Sociedad Filarmónica de Pilas (Sevilla) (Palio)
2025,20,El Perdón,Agrupación Musical Santa Cruz (Misterio) Banda Municipal de Bollullos Par del Condado (Palio)
2025,21,Cautivo,"Agrupación Musical Santísimo Cristo del Amor, La Cena (Misterio) Banda de Música Nuestra Señora del Carmen (Villalba del Alcor) (Palio)"
2025,24,Tres Caídas,Banda de Cornetas y Tambores Jesús Nazareno de Huelva (Misterio) Banda de Música Virgen de las Mercedes. Bollullos Par del Condado. (Palio)
2025,25,Calvario,Trío de Capilla Madre de Consolación
2025,28,La Salud La Lanzada,"Agrupación Musical Santísimo Cristo del Amor, La Cena Capataces Juan Vicente Rivas, Raimundo Gómez y Manuel Márquez"
2025,29,1:35,"Banda de CCTT Santísimo Cristo de la Expiración, Salud y Esperanza (Misterio) Banda Municipal de Música de Aznalcóllar (Sevilla) (Palio) Capataces Francisco Javier Michinina Sánchez (capataz general), Miguel Ángel Rodríguez de la Rosa (Misterio), José Manuel Belmonte Prieto (Palio)"
2025,32,Los Estudiantes Pasión,Trío de Capilla Gólgota (Cristo) Banda del Liceo Municipal de la Música de Moguer (Palio) Capataces Manuel Gómez González (Cristo) Luis Miguel Sánchez Fajardo (Palio)
2025,33,19:25,Agrupación Musical Nuestro Padre Jesús de la Salud de Sevilla (Los Gitanos) (Cristo) Banda de Música Virgen de las Mercedes. Bollullos Par del Condado (Palio)
2025,42,El Prendimiento,Banda de Cornetas y Tambores Nuestro Padre Jesús Nazareno
2025,43,Santa Cruz,Grupo de cuerda y viento y barítonos dirigidos por Emilio Muñoz Jorva
2025,46,Victoria,Agrupación Musical Juvenil Virgen de los reyes (Sevilla) Banda de CCTT del Stmo. Cristo de la Vera-Cruz de Los Palacios (Sevilla) (Misterio) Banda de Música de Nuestra Señora de las Mercedes (Bollullos Par del Condado) (Palio)
2025,47,Esperanza,Banda de CCTT Stmo. Cristo de La Expiración Salud y Esperanza (Cristo) Banda Municipal de Música de La Puebla del Río (Sevilla) (Palio)
2025,50,Oración en el Huerto,Banda de CCTT Ntra. Sra. del Sol (Sevilla) (Misterio) Banda del Liceo Municipal de la Música de Moguer (Palio)
2025,51,23:10,
2025,54,Buena Muerte,"Banda de CCTT Santísimo Cristo de la Expiración, Salud y Esperanza (Cristo) Banda de Música Virgen de Consolación (Virgen)"
2025,55,Los Judíos,Banda CCTT Stmo. Cristo de la Victoria (León) (Misterio Jesús de las Cadenas) Agrupación Musical Santa Cruz (Cristo de Jerusalén) Banda de Música Nuestra Señora del Carmen (Villalba del Alcor) (Palio)
2025,58,Nazareno,Banda de Cornetas y Tambores Nuestro Padre Jesús Nazareno (Cristo) Banda de Música de Nuestra Señora de las Mercedes (Bollullos Par del Condado) (Palio)
2025,62,La Fe,Agrupación Musical Cristo del Amor (Misterio) Banda de Música Hermanos Niños (Moguer) (Palio)
2025,63,Descendimiento,"Stmo. Cristo de la Expiración, Salud y Esperanza (Misterio) Banda Sinfónica del Liceo Municipal de Moguer (Palio)"
2025,66,Santo Entierro,Banda de Música Juvenil de la Cruz Roja de Sevilla (Angustias) Banda Sinfónica Municipal de Huelva (Palio)
2025,67,La Soledad,
2025,70,El Resucitado,Agrupación Musical Santa Cruz
