ANIO,DIA,HERMANDAD,TITULAR,BANDA
2024,SABADO DE PASION,JEREZ,SEÑOR DE LA ENTREGA,BCT Stmo. Cristo de la Fe y el Consuelo (Martos) y BCT Rosario (Cádiz)
2024,SABADO DE PASION,LA BORRIQUITA,CRISTO REY,BCT Rosario (Linares)
2024,SABADO DE PASION,LA BORRIQUITA,VIRGEN DE LA ESTRELLA,BM Maestro Enrique Galán (Rota)
2024,DOMINGO DE RAMOS,LA CORONACION,CRISTO DE LA CORONACIÓN,A.M. La Sentencia (Jerez)
2024,DOMINGO DE RAMOS,LA CORONACION,VIRGEN DE LA PAZ EN SU MAYOR AFLICCIÓN,"A.F. Ntra. Sra. de Palomares (Trebujena, Cádiz) orfebrería realizada por Emilio y Juan Landa, Lorenzo Jiménez Rueda, Manuel Morales de Turón y Viuda de Villareal con bordados son de Esperanza Elena Caro y Carrasquilla"
2024,DOMINGO DE RAMOS,EL PERDON,CRISTO DEL PERDÓN,BCT Ntro. Padre Jesús de los Remedios (Castilleja de la Cuesta)
2024,DOMINGO DE RAMOS,EL PERDON,VIRGEN DEL PERPETUO SOCORRO,"BM Virgen del Castillo (Lebrija, Sevilla)"
2024,DOMINGO DE RAMOS,PASION,SEÑOR DE PASIÓN,BCT Fe y Consuelo (Martos)
2024,DOMINGO DE RAMOS,LAS ANGUSTIAS,VIRGEN DE LAS ANGUSTIAS,Escolanía del Colegio Oratorio Festivo (Jerez)
2024,DOMINGO DE RAMOS,EL TRANSPORTE,SEÑOR DEL CONSUELO,BCT Presentación al Pueblo (Dos Hermanas) y BCT Centuria Romana Macarena (Sevilla)
2024,DOMINGO DE RAMOS,EL TRANSPORTE,VIRGEN DE LA MISERICORDIA,BM Municipal de la Puebla del Río (Sevilla)
2024,LUNES SANTO,LA SED,CRISTO DE LA SED,BCT Coronación de Campillos (Málaga)
2024,LUNES SANTO,LA PAZ DE FATIMA,JESÚS DE LA PAZ,AM La Sentencia (Jerez)
2024,LUNES SANTO,LA PAZ DE FATIMA,VIRGEN DEL REFUGIO,"Asociación Musical Ecijana (Écija, Sevilla)"
2024,LUNES SANTO,LA CANDELARIA,JESÚS DE LA MISERICORDIA,"AM Lágrimas de Dolores (San Fernando, Cádiz)"
2024,LUNES SANTO,LA CANDELARIA,VIRGEN DE LA CANDELARIA,"BM Maestro Enrique Galán (Rota, Cádiz) de Manuel Guzmán Bejarano y el paso de palio posee orfebrería de Manuel de los Ríos con bordados de Carlos del Corral e Ildefonso Jiménez"
2024,LUNES SANTO,AMOR Y SACRIFICIO,AMOR Y SACRIFICIO,No lleva
2024,LUNES SANTO,CRISTO DE LA VIGA,CRISTO DE LA VIGA,Capilla Musical ‘Kyrie Eleison’
2024,LUNES SANTO,CRISTO DE LA VIGA,VIRGEN DEL SOCORRO,"BM Maestro Agripino Lozano (San Fernando, Cádiz)"
2024,LUNES SANTO,SANTA CENA,SAGRADA CENA,"AM Ntra. Sra. de la Estrella (Dos Hermanas, Sevilla)"
2024,LUNES SANTO,SANTA CENA,VIRGEN DE LA PAZ Y CONCORDIA,"BM Ntro. Padre Jesús Nazareno (Rota, Cádiz) gen del a Paz y Concordia es obra anónima (s. XVII). El paso de misterio es obra de Antonio Castillo Lastrucci bajo diseño de Juan Pérez Calvo. El paso de palio de orfebrería es obra de Lorenzo Jiménez Rueda y Villareal con bordados de Esperanza Elena Caro e Ildefonso Jiménez"
2024,MARTES SANTO,BONDAD Y MISERICORDIA,SEÑOR DE LA BONDAD Y MISERICORDIA,Agrupación Musical San Juan (Jerez)
2024,MARTES SANTO,LA CLEMENCIA,CRISTO DE LA CLEMENCIA,AM Stmo. Cristo de la Clemencia (Jerez)
2024,MARTES SANTO,LA CLEMENCIA,SALUD Y ESPERANZA,"BM Municipal de Gerena (Gerena, Sevilla)"
2024,MARTES SANTO,SALUD DE SAN RAFAEL,SEÑOR DE LA SALUD,AM La Sentencia (Jerez)
2024,MARTES SANTO,LA SALVACION,SANTÍSIMO CRISTO DE LA SALVACIÓN,AM ‘Polillas’ (Cádiz)
2024,MARTES SANTO,LA DEFENSION,CRISTO DE LA DEFENSIÓN,BCT Caridad (Jerez)
2024,MARTES SANTO,LA DEFENSION,VIRGEN DE LA O,"BM Ntra. Sra. de la Soledad (Cantillana, Sevilla)"
2024,MARTES SANTO,EL CRISTO DEL AMOR,CAUTIVO,"AM Ntra. Sra. de Valme (Dos Hermanas, Sevilla)"
2024,MARTES SANTO,EL CRISTO DEL AMOR,CRISTO DEL AMOR,BCT Ntra. Sra. de la Asunción (Jódar) del Amor es obra de Juan Mayorga bajo diseño de Dubé de Luque y dorado de Manuel Calvo
2024,MARTES SANTO,LOS JUDIOS DE SAN MATEO,SEÑOR DE LAS PENAS,"AM Ntra. Sra. de la Estrella (Dos Hermanas, Sevilla)"
2024,MARTES SANTO,LOS JUDIOS DE SAN MATEO,VIRGEN DEL DESCONSUELO,"AM Ntro. Padre Jesús de la Redención (Sevilla) Alameda de Solano, 34 · Chiclana de la Frontera · Cádiz · 956 531 929 Conoce más en www.alimentoslapedriza.com ¡Tómate tu tiempo! Gran selección de legumbres y arroces de alta calidad"
2024,MIERCOLES SANTO,EL SOBERANO PODER,NUESTRO PADRE JESÚS DEL SOBERANO PODER ANTE CAIFÁS,Agrupación Musical de la Sentencia (Jerez)
2024,MIERCOLES SANTO,EL CONSUELO,SEÑOR DEL AMPARO,AM La Clemencia (Jerez)
2024,MIERCOLES SANTO,EL CONSUELO,NUESTRA SEÑORA DEL CONSUELO,BM Ntra. Sra. de Consolación (Huelva)
2024,MIERCOLES SANTO,LAS TRES CAIDAS,SEÑOR DE LAS TRES CAÍDAS,Escolanía de niños cantores de la hermandad
2024,MIERCOLES SANTO,LAS TRES CAIDAS,SANTÍSIMO CRISTO DE LA SALUD,BCT Nuestro Padre Jesús de las Tres Caídas (Arcos)’
2024,MIERCOLES SANTO,LAS TRES CAIDAS,MARÍA SANTÍSIMA DE LOS DOLORES,"BM Gerena (Sevilla). María Santísima de los Dolores está atribuida a la mano de Francesco María Maggio, del siglo XVII"
2024,MIERCOLES SANTO,LA FLAGELACION,SEÑOR DE LA SAGRADA FLAGELACIÓN,BCT Caridad (Jerez)
2024,MIERCOLES SANTO,LA FLAGELACION,MARÍA SANTÍSIMA DE LA AMARGURA,BM ‘Julián Cerdán’ de Sanlúcar de Barrameda (Cádiz)
2024,MIERCOLES SANTO,EL PRENDIMIENTO,JESÚS DEL PRENDIMIENTO,AM San Juan (Jerez)
2024,MIERCOLES SANTO,EL PRENDIMIENTO,MARÍA SANTÍSIMA DEL DESAMPARO,"BM Ntro. Padre Jesús Nazareno (Rota, Cádiz) más se pueden escuchar"
2024,JUEVES SANTO,LA VERA CRUZ,SANTO LIGNUM CRUCIS,Capilla Musical Vía Sacra (El Puerto)
2024,JUEVES SANTO,LA VERA CRUZ,CRISTO DE LA ESPERANZA,BCT Nazareno (Utrera)
2024,JUEVES SANTO,LA VERA CRUZ,SANTA MARÍA DE LAS LÁGRIMAS,"BM Ntro. Padre Jesús Nazareno (Rota, Cádiz)"
2024,JUEVES SANTO,LA REDENCION,JESÚS DE LA REDENCIÓN,"BCT Stmo. Cristo de la Elevación (Campo de Criptana, Ciudad Real) me pegas?». Entonces Anás lo envió atado ante el Sumo Sacerdote Caifás”"
2024,JUEVES SANTO,LA ORACION EN EL HUERTO,JESÚS ORANDO EN EL HUERTO,BCT Coronación de Campillos (Málaga)
2024,JUEVES SANTO,LA ORACION EN EL HUERTO,MARÍA SANTÍSIMA DE LA CONFORTACIÓN,"BM ‘Pedro Álvarez Hidalgo’ (Puerto Real, Cádiz)"
2024,JUEVES SANTO,LA LANZADA,SAGRADA LANZADA DE NUESTRO SEÑOR JESUCRISTO,"BM Ntra. Sra. del Carmen (Prado del Rey, Cádiz) escuela valencia, del siglo XIX. Nuestra Señora del Buen Fin, que no procesiona, es obra de Luis Álvarez Duarte"
2024,JUEVES SANTO,HUMILDAD Y PACIENCIA,HUMILDAD Y PACIENCIA,Capilla Musical ‘Calvarium’ (Sevilla)
2024,JUEVES SANTO,EL MAYOR DOLOR,?,AM San Juan (Jerez)
2024,JUEVES SANTO,EL MAYOR DOLOR,NUESTRA SEÑORA DEL MAYOR DOLOR,"AF ‘Nuestra Señora de Palomares’ (Trebujena, Cádiz). Cuando los sumos sacerdotes y los guardias lo vieron, gritaron: «¡Crucifícalo! ¡Crucifícalo!»”"
2024,NOCHE DE JESUS,EL SILENCIO,SANTO CRUCIFIJO DE LA SALUD,No lleva
2024,NOCHE DE JESUS,EL SILENCIO,MARÍA SANTÍSIMA DE LA ENCARNACIÓN,No lleva
2024,NOCHE DE JESUS,EL NAZARENO,CRUZ DE GUÍA,AM Cristo del Calvario’ de Ubrique (Cádiz)
2024,NOCHE DE JESUS,SAN JUAN,?,No lleva
2024,NOCHE DE JESUS,NUESTRA MADRE Y SENORA DEL TRASPASO,?,"BM San José Artesano (San Fernando, Cádiz) se le cantan numerosas saetas, es uno de los momentos históricos y clásicos de la Semana Santa jerezana"
2024,NOCHE DE JESUS,NUESTRA MADRE Y SENORA DEL TRASPASO,JESÚS DE LA VÍA CRUCIS,No lleva
