ANIO,DIA,HERMANDAD,PASO,BANDA
2024,DOMINGO DE RAMOS,Pollinica,Cruz de Guía,"Banda de Cornetas y Tambores Jesús Nazareno (Almogía, Málaga)"
2024,DOMINGO DE RAMOS,Pollinica,Cristo,"Agrupación Musical Stmo. Cristo de la Clemencia (Jerez de la Frontera, Cádiz)"
2024,DOMINGO DE RAMOS,Pollinica,Virgen,"Banda de Música ""Santa Cecilia"""
2024,DOMINGO DE RAMOS,Lágrimas y Favores,Virgen,Banda de Música Municipal de Arahal (Sevilla)
2024,DOMINGO DE RAMOS,Dulce Nombre,Cristo,"Agrupación Musical María Stma. de Los Dolores El Rescate (Linares, Jaén)"
2024,DOMINGO DE RAMOS,Dulce Nombre,Virgen,Banda Sinfónica Virgen de la Trinidad
2024,DOMINGO DE RAMOS,Salutación,Cristo,Agrupación Musical San Lorenzo Mártir
2024,DOMINGO DE RAMOS,Salutación,Virgen,"Banda de Música Jesús Nazareno (Almogía, Málaga)"
2024,DOMINGO DE RAMOS,Humildad y Paciencia,Cristo,Banda de Cornetas y Tambores Ntra. Sra. del Carmen
2024,DOMINGO DE RAMOS,Humildad y Paciencia,Virgen,Banda de Música Cruz del Humilladero
2024,DOMINGO DE RAMOS,Humildad,Cristo,Banda de Cornetas y Tambores del Paso y la Esperanza
2024,DOMINGO DE RAMOS,Humildad,Virgen,Banda de Música “Maestro Eloy García” de la Archicofradía de la Expiración
2024,DOMINGO DE RAMOS,Huerto,Cristo,"Agrupación Musical Nuestro Padre Jesús Cautivo (Estepona, Málaga)"
2024,DOMINGO DE RAMOS,Huerto,Virgen,"Banda de Música de la Vera Cruz (Almogía, Málaga)"
2024,DOMINGO DE RAMOS,Salud,Cristo,Banda de Cornetas y Tambores Ntro. Padre Jesús Cautivo. *
2024,DOMINGO DE RAMOS,Salud,Virgen,Banda de Música Ntra. Sra. De la Paz
2024,DOMINGO DE RAMOS,Prendimiento,Cruz de Guía,Banda de Cornetas y Tambores del Real Cuerpo de Bomberos
2024,DOMINGO DE RAMOS,Prendimiento,Cristo,"Agrupación Musical Virgen de Gracia (Archidona, Málaga)"
2024,DOMINGO DE RAMOS,Prendimiento,Virgen,Banda de Música Ntra. Sra. de la Soledad
2024,LUNES SANTO,Crucifixión,Cristo,Banda de Cornetas y Tambores de Nuestra Señora del Carmen
2024,LUNES SANTO,Crucifixión,Virgen,"Banda de Música Jesús Nazareno (Almogía, Málaga)"
2024,LUNES SANTO,Pasión,Cruz de Guía,"Banda de Cornetas y Tambores Jesús Nazareno (Almogía, Málaga)"
2024,LUNES SANTO,Pasión,Cristo,Banda de Cornetas y Tambores del Paso y la Esperanza
2024,LUNES SANTO,Pasión,Virgen,"Banda de Música Municipal de Arahal (Arahal, Sevilla)"
2024,LUNES SANTO,Columna,Cruz de Guía,"Banda de Cornetas y Tambores Dolores Coronada (Álora, Málaga)"
2024,LUNES SANTO,Columna,Abriendo sección de la Virgen,Banda de Cornetas y Tambores Gitanos
2024,LUNES SANTO,Columna,Virgen,Banda de Música Zamarrilla
2024,LUNES SANTO,Dolores del Puente,Cruz de Guía,"Banda de Cornetas y Tambores Flor entre Espinas (Loja, Granada)"
2024,LUNES SANTO,Dolores del Puente,Cristo,Banda de Música Santa Cecilia
2024,LUNES SANTO,Dolores del Puente,Virgen,Banda de Música “Maestro Eloy García” de la Archicofradía de la Expiración
2024,LUNES SANTO,Cautivo,Cruz de Guía,Banda de Cornetas y Tambores del Real Cuerpo de Bomberos
2024,LUNES SANTO,Cautivo,Cristo,Banda de Cornetas Y Tambores Ntro. Padre Jesús Cautivo
2024,LUNES SANTO,Cautivo,Virgen,Banda Sinfónica Virgen de la Trinidad
2024,LUNES SANTO,Estudiantes,Cruz de Guía,"Banda de Cornetas y Tambores Santísimo Cristo de la Redención (Benalmádena, Málaga)"
2024,LUNES SANTO,Estudiantes,Cristo,Banda de Música Ntra. Sra. de la Soledad
2024,LUNES SANTO,Estudiantes,Virgen,Banda de Música Ntra. Sra. de la Paz. *
2024,MARTES SANTO,Rocío,Cruz de Guía,"Banda de Cornetas y Tambores Suspiros de Pasión de (Alameda, Málaga)"
2024,MARTES SANTO,Rocío,Cristo,"Agrupación Musical Vera Cruz (Campillos, Málaga)"
2024,MARTES SANTO,Rocío,Virgen,Banda de Música de Virgen del Rocío
2024,MARTES SANTO,Penas,Cristo,Banda de Cornetas y Tambores del Paso y la Esperanza
2024,MARTES SANTO,Penas,Virgen,Banda de Música Nuestra Señora de la Paz
2024,MARTES SANTO,Nueva Esperanza,Cristo,"Agrupación Musical María Santísima de los Dolores “El Rescate” (Linares, Jaén), desde la salida hasta Catedral"
2024,MARTES SANTO,Nueva Esperanza,Cristo,"Agrupación Musical Virgen de Gracia (Archidona, Málaga), desde Catedral hasta el encierro"
2024,MARTES SANTO,Nueva Esperanza,Virgen,Banda de Música Zamarrilla
2024,MARTES SANTO,Humillación,Cruz de Guía,Banda de Cornetas y Tambores del Real Cuerpo de Bomberos
2024,MARTES SANTO,Humillación,Cristo,Banda de Cornetas y Tambores Nuestra Señora del Carmen
2024,MARTES SANTO,Humillación,Virgen,Banda de Música “Las Golondrinas” (Vélez-Málaga)
2024,MARTES SANTO,Rescate,Cruz de Guía,"Banda de Cornetas y Tambores de la Vera Cruz (Almogía, Málaga)"
2024,MARTES SANTO,Rescate,Cristo,Agrupación Musical San Lorenzo Mártir
2024,MARTES SANTO,Rescate,Virgen,"Banda de Música de la Vera Cruz (Almogía, Málaga)"
2024,MARTES SANTO,Sentencia,Cruz de Guía,"Banda de Cornetas y Tambores Jesús Nazareno (Almogía, Málaga)"
2024,MARTES SANTO,Sentencia,Cristo,"Agrupación Musical Arroquia Martínez (Jódar, Jaén)"
2024,MARTES SANTO,Sentencia,Virgen,Banda de Música Ntra. Sra. de la Soledad (Mena)
2024,MIÉRCOLES SANTO,Ánimas de Ciegos,Virgen,Banda de Música de la Archicofradía del Paso y la Esperanza
2024,MIÉRCOLES SANTO,Mediadora,Cristo,Banda de Cornetas y Tambores de la Archicofradía del Paso y la Esperanza. *
2024,MIÉRCOLES SANTO,Mediadora,Virgen,Banda de Música Cruz de Humilladero. *
2024,MIÉRCOLES SANTO,Salesianos,Cristo,Banda de Cornetas y Tambores Ntro. Padre Jesús Cautivo
2024,MIÉRCOLES SANTO,Sangre,Cristo,"Agrupación Musical Vera Cruz (Campillos, Málaga)"
2024,MIÉRCOLES SANTO,Sangre,Virgen,Banda de Música Ntra. Sra. de la Paz
2024,MIÉRCOLES SANTO,Rico,Cristo,Banda Sinfónica Virgen de la Trinidad
2024,MIÉRCOLES SANTO,Rico,Virgen,Banda de Música Ntra. Sra. de la Soledad “Mena”
2024,MIÉRCOLES SANTO,La Puente,Cruz de Guía,Banda de Cornetas y Tambores del Real Cuerpo de Bomberos
2024,MIÉRCOLES SANTO,La Puente,Cristo,Banda de Cornetas y Tambores de Nuestra Señora del Carmen
2024,MIÉRCOLES SANTO,La Puente,Virgen,"Agrupación Músico-Cultural de la Santa Vera-Cruz ""La Pepa"" (Alhaurín el Grande, Málaga)"
2024,MIÉRCOLES SANTO,Expiración,Cruz de Guía,"Banda de Cornetas y Tambores Colegio de guardias jóvenes Duque de Ahumada (Valdemoro, Madrid)"
2024,MIÉRCOLES SANTO,Expiración,Cristo,Banda de Música de Antiguos Alumnos de la Archicofradía de la Expiración
2024,MIÉRCOLES SANTO,Expiración,Virgen,Banda de Música “Maestro Eloy García” de la Archicofradía de la Expiración
2024,JUEVES SANTO,Cena,Cruz de Guía,Escuadrón de Clarines de las Reales Cofradías Fusionadas
2024,JUEVES SANTO,Cena,Cristo,Agrupación Musical Nuestro Padre Jesús de la Redención (Córdoba)
2024,JUEVES SANTO,Cena,Virgen,Banda de Música Ntra. Sra. De la Paz
2024,JUEVES SANTO,Viñeros,Cristo,Agrupación Musical San Lorenzo Mártir
2024,JUEVES SANTO,Viñeros,Virgen,"Banda de Música Santa Cecilia (Sorbas, Almería)"
2024,JUEVES SANTO,Santa Cruz,Cruz de Guía,Capilla Musical Caeli
2024,JUEVES SANTO,Santa Cruz,Virgen,Banda de Música “Maestro Eloy García” de la Archicofradía de la Expiración
2024,JUEVES SANTO,Mena,Cruz de Guía,Escuadra de Gastadores y Tambores roncos de la Legión
2024,JUEVES SANTO,Mena,Cristo,Banda de Guerra del Tercio “Don Juan de Austria” III de La Legión (Almería)
2024,JUEVES SANTO,Mena,Cristo,"Banda de Música de la Brigada de la Legión, “Rey Alfonso XIII” con sede en Viator (Almería)"
2024,JUEVES SANTO,Mena,Cristo,Compañía de Honores del Tercio “Don Juan de Austria” III de La Legión (Almería)
2024,JUEVES SANTO,Mena,Virgen,Banda de Música Ntra. Sra. de la Soledad “Mena”
2024,JUEVES SANTO,Zamarrilla,Cristo,Banda de Cornetas y Tambores Nuestra Señora del Carmen
2024,JUEVES SANTO,Zamarrilla,Virgen,Banda de Música Zamarrilla
2024,JUEVES SANTO,Misericordia,Cruz de Guía,Banda de Cornetas y Tambores del Real Cuerpo de Bomberos
2024,JUEVES SANTO,Misericordia,Cristo,Banda de Cornetas y Tambores Ntro. Padre Jesús Cautivo
2024,JUEVES SANTO,Misericordia,Virgen,"Banda Municipal de Música “Maestro Paco Tenorio” de Arriate (Arriate, Málaga)"
2024,JUEVES SANTO,Esperanza,Cristo,Banda de Cornetas y Tambores del Paso y la Esperanza. *
2024,JUEVES SANTO,Esperanza,Virgen,Banda de Música de la Archicofradía del Paso y la Esperanza
2024,VIERNES SANTO,Calvario,Cristo,"Banda de Música ""Santa Cecilia"". *"
2024,VIERNES SANTO,Calvario,Virgen,Banda de Música Ntra. Sra. de la Paz
2024,VIERNES SANTO,Descendimiento,Cruz de Guía,Nazarenos con Timbales
2024,VIERNES SANTO,Descendimiento,Cristo,Banda Juvenil de Música Cruz del Humilladero
2024,VIERNES SANTO,Descendimiento,Virgen,Banda de Música Virgen del Rocío. *
2024,VIERNES SANTO,Amor,Cristo,Banda de Cornetas y Tambores del Paso y la Esperanza
2024,VIERNES SANTO,Amor,Virgen,Banda de Música “Maestro Eloy García” de la Archicofradía de la Expiración
2024,VIERNES SANTO,Soledad de San Pablo,Cruz de Guía,Guardia Romana con Tambores Roncos
2024,VIERNES SANTO,Soledad de San Pablo,Cristo,Banda de Cornetas y Tambores Ntro. Padre Jesús Cautivo
2024,VIERNES SANTO,Soledad de San Pablo,Virgen,Banda Sinfónica Virgen de la Trinidad
2024,VIERNES SANTO,Piedad,Cruz de Guía,Tambores Roncos de la Banda de Cornetas y Tambores de Nuestra Señora del Carmen de Huelin
2024,VIERNES SANTO,Piedad,Virgen,Banda de Música Zamarrilla
2024,VIERNES SANTO,Santo Sepulcro,Cruz de Guía,Nazarenos con Timbales
2024,VIERNES SANTO,Santo Sepulcro,Cristo,Banda Municipal de Música de Málaga
2024,VIERNES SANTO,Santo Sepulcro,Virgen,Banda de Música de la Archicofradía del Paso y la Esperanza
