ANIO,PAG,DIA,HERMANDAD,PASO,BANDA
2023,4,VIERNES DE DOLORES,La Misión,(prosa),Banda de la Columna y Azotes en la cruz de guía y Banda de las Cigarreras en el misterio
2023,4,VIERNES DE DOLORES,Pino Montano,(prosa),"Centuria Juvenil (cruz), Encarnación de San Benito (misterio) y Carmen de Salteras (palio)"
2023,4,VIERNES DE DOLORES,Dulce Nombre de Bellavista,(prosa),Banda de la Redención y Santa Ana de Dos Hermanas
2023,4,VIERNES DE DOLORES,Pasión y Muerte,(prosa),Capilla Musical Gólgota
2023,6,VIERNES DE DOLORES,Cristo de la Corona,(prosa),Capilla Musical Nuestra Señora de la Victoria
2023,6,VIERNES DE DOLORES,Bendición y Esperanza,(prosa),Agrupación musical Fraternitas
2023,6,VIERNES DE DOLORES,Paz y Misericordia,(prosa),Banda de Nuestra Señora de los Ángeles
2023,10,SABADO DE PASION,La Milagrosa,(prosa),"El Rocío (cruz de guía), La Redención (misterio) y la Cruz Roja (palio) El coro de Julio Pardo cantará en la salida"
2023,10,SABADO DE PASION,Divino Perdón de Alcosa,(prosa),"La Resurrección en la cruz de guía, Presentación al Pueblo de Dos Hermanas en el Nazareno y la Soledad de Cantillana en el palio"
2023,10,SABADO DE PASION,Divino Perdón de Alcosa,(prosa),"Banda Juvenil de la Centuria Romana Macarena en la cruz de guía, agrupación La Sentencia de Jerez en el misterio y Banda de las Nieves de Olivares tras el paso del palio"
2023,12,SABADO DE PASION,San José Obrero,(prosa),"Las Angustias en la cruz de guía, Los Gitanos en el paso del Nazareno y la banda de Coria del Río tras el palio"
2023,12,SABADO DE PASION,San Jerónimo,(prosa),Agrupación musical el Nazareno de la Algaba en el Cristo y el Nazareno de Rota en el palio
2023,12,SABADO DE PASION,San Jerónimo,(prosa),Santa Cecilia en el paso del Nazareno y la banda Virgen de las Angustias de Sanlúcar la Mayor en el palio
2023,14,DOMINGO DE RAMOS,La Borriquita,Cruz de Guia,Banda Sagrada Columna y Azotes
2023,14,DOMINGO DE RAMOS,La Borriquita,(prosa),Banda de Nuestra Señora del Sol
2023,14,DOMINGO DE RAMOS,Jesús Despojado,Cruz de Guia,Agrupación Juvenil Virgen de los Reyes
2023,14,DOMINGO DE RAMOS,Jesús Despojado,Primer Paso,Agrupación Virgen de los Reyes
2023,14,DOMINGO DE RAMOS,Jesús Despojado,Segundo Paso,Liceo de Música de Moguer
2023,15,DOMINGO DE RAMOS,La Hiniesta,Cruz de Guia,Infantil de Santa María Magdalena de Arahal
2023,15,DOMINGO DE RAMOS,La Hiniesta,Primer Paso,Agrupación Musical Santa María Magdalena de Arahal
2023,15,DOMINGO DE RAMOS,La Hiniesta,Segundo Paso,Banda Municipal de Mairena del Alcor
2023,16,DOMINGO DE RAMOS,La Cena,Primer Paso,Las Cigarreras
