LOCALIDAD,ANIO,MOTIVO,FUENTE
Sevilla,2020,No hubo salida procesional (pandemia de COVID-19),Consejo General de Hermandades y Cofradias de Sevilla
Sevilla,2021,No hubo salida procesional (pandemia de COVID-19),Consejo General de Hermandades y Cofradias de Sevilla
Malaga,2020,No hubo salida procesional (pandemia de COVID-19),Agrupacion de Cofradias de Semana Santa de Malaga
Malaga,2021,No hubo salida procesional (pandemia de COVID-19),Agrupacion de Cofradias de Semana Santa de Malaga
Cordoba,2020,No hubo salida procesional (pandemia de COVID-19),Agrupacion de Hermandades y Cofradias de Cordoba
Cordoba,2021,No hubo salida procesional (pandemia de COVID-19),Agrupacion de Hermandades y Cofradias de Cordoba
Granada,2020,No hubo salida procesional (pandemia de COVID-19),Real Federacion de Hermandades y Cofradias de Granada
Granada,2021,No hubo salida procesional (pandemia de COVID-19),Real Federacion de Hermandades y Cofradias de Granada
Huelva,2020,No hubo salida procesional (pandemia de COVID-19),Consejo de Hermandades y Cofradias de Huelva
Huelva,2021,No hubo salida procesional (pandemia de COVID-19),Consejo de Hermandades y Cofradias de Huelva
Cadiz,2020,No hubo salida procesional (pandemia de COVID-19),Consejo Local de Hermandades y Cofradias de Cadiz
Cadiz,2021,No hubo salida procesional (pandemia de COVID-19),Consejo Local de Hermandades y Cofradias de Cadiz
Jerez de la Frontera,2020,No hubo salida procesional (pandemia de COVID-19),Union de Hermandades de Jerez de la Frontera
Jerez de la Frontera,2021,No hubo salida procesional (pandemia de COVID-19),Union de Hermandades de Jerez de la Frontera
